,content,,,,,,,,,
64,으아ㅏㅏㅏ 진짜 보고싶어요 완전 무서울듯,,,,,,,,,
65,1,,,,,,,,,
66,방에 누웠는데 혹시나 싶어 벽 두드려봤다...,,,,,,,,,
67,하... 알바님들 덕에 시간날렸습니다,,,,,,,,,
68,이 영화 평점 거짓말이다. 만원내고 본 비용이 너무 아깝게 느껴지기는 처음이다.,,,,,,,,,
69,와 씨 알바들쩌네.  올여름 최대 낚인듯 진짜 개노잼,,,,,,,,,
70,아 이런 알바새끼들 존나 허풍 떨고있네장르가 공포인지 시트콤인지 헷갈리는 영화가 무슨 공포영화라고ㅡㅡ,,,,,,,,,
71,핵노잼이고....진짜 알바 많네 ㅡㅡ,,,,,,,,,
72,유치 그자체. 알바가 많은거 같아서 1점.,,,,,,,,,
73,놀라는 건 놀랐는데 노잼이라 짱나요,,,,,,,,,
74,완전 유치뽕... 학교괴담급,,,,,,,,,
75,그냥 최고다 올 여름 최적합,,,,,,,,,
76,댓글 안달라했는데,,,,,,,,,
77,솔직히 진짜재미없다...,,,,,,,,,
78,평점이 너무 높게 측정된듯... 진짜 돈아까워서 울뻔했음 영화관에 있는 사람들 영화보면서 이게 장르가 뭐냐고 .. ㅋㅋㅋㅋ,,,,,,,,,
79,완전 긴장감 있게 잘봤네요ㅋㅋ,,,,,,,,,
80,중반부 까지는 괜찮았지만 마지막에는 좀 판타지 스럽네요일점까진 아니지만 지금 너무 과한 평점인거 같아 일점드립니다,,,,,,,,,
81,영화관 왔는데 기대중 ㅎㅎㅎㅎ,,,,,,,,,
82,감독이 달라지면 이렇게 되는구나.,,,,,,,,,
83,역시 인시디어스는 앨리스 할매와 두 버스터즈가 있어야해.,,,,,,,,,
84,컴온 비치!! 덤벼 자식아!!,,,,,,,,,
85,절반은 귀가리고 눈감고 봄 ㅜㅜㅜ 진짜 발작을 얼마나 일으켰는지 엄마가 나때매 더 놀라겠다고 ㅜㅜㅜ 네 저 엄마랑갔어요 네 무서웠어요 ㅜㅜㅜ,,,,,,,,,
86,오늘 보고 리뷰다는데 놀라서 팝콘도 엎고 ㅋㅋ완전 잘 만든 영화 같아요^^ 몇몇 사람들이 옆에서 아이고라고 말했는데 웃겼음 ㅋㅋㅋㅋ,,,,,,,,,
87,인시디어스.. 알바 ㅈㄴ많은영화 진짜 인시디어스는 웃면서봄 평론가평도 더 낮았어야되,,,,,,,,,
88,귀신과의 전투를 볼 수있는 영화,,,,,,,,,
89,기저귀찰정도로 무섭다해서 봤더니욕나오네ㅋㅋㅋ 조오온나 무섭네요 지릴뻔했네;;;눈안가리고 다본 공포영화는 첨이에요^_^역시 공포는 일본,,,,,,,,,
90,기대한거에 비해서 너무 재미없었음.. 그냥 몇번 깜짝 놀라다 허무하게 끝나버림...,,,,,,,,,
91,전작들 비하면 공포가 많이 약해진걸 느낌.,,,,,,,,,
92,깜짝깜짝 놀라고 갑니다ㅎ,,,,,,,,,
93,펑좋고 무섭다해서 전편에망햇어도 기대하고 갔는데..역시나...,,,,,,,,,
94,점수주기도 아깝다... 기대하고 봤다가 큰 실망했다 무슨 개그도 아니고... 이거 무섭다는 사람들 돈받고 평점올려주는 사람들같다.. 진심으로 이영화 무섭다고 생각하는 사람은 파라노말 액티비티 1,,,,,,,,,
95,아나 ㅡㅡ 베댓들 보고 낚임 솔직히 무섭다기보다는 깜짝 놀라고 거의 끝날때쯤은 오히려 웃겼음 그래도 나름 볼만은 했음 그래도 ㅋㅋ,,,,,,,,,
96,이런 쓰레기 영화는 태어나서 처음본다 정말,,,,,,,,,
97,영화말고 여자애얼굴을 보다왓음 공포물에서 급개그물로 전환되서 하품만하다가 할머니랑 귀신들이랑 맞짱뜰때 빵터짐 결론은 여자애존나이쁨 입덕할것같다 하,,,,,,,,,
98,전편보다 훨씬 긴장감있게 봤다,,,,,,,,,
99,진심보지마라 12기대하고보지마,,,,,,,,,
100,영화 도입부의 사고씬빼곤 놀란장면도 없음 이게 무섭다는 사람은 밤길은 어떻게 걸어가나싶을 정도. 깜짝깜짝 놀래키려는 장면도 모든 장면이 예상됬음 굳이 영화관가서 보기에는 돈,,,,,,,,,
101,이게 무서워???  난 웃었다,,,,,,,,,
102,이딴건 무서운게 아니라 놀래킨다고 하는거지깜짝깜짝 놀래키는게 딸꾹질 멎게 하는걸로는 딱이네 아주ㅡㅡ,,,,,,,,,
103,인시디어스는 다른영화들과 다르게 매번 실망시키지않음 .. 4편도 기대해볼만함 !! 근데 영원히 고통받는 앨리스 .. 불쌍해 ㅜㅜ,,,,,,,,,
104,시리즈중 최고인 것 같아요~ 역시~!!!절대 혼자 보지 마세요!!!,,,,,,,,,
105,인시디어스의 외전격 시리즈 ,,,,,,,,,
106,3편은 망했어... ㅠㅠ,,,,,,,,,
107,코미디영화 아주 잘 봤습니다^^간만에 유쾌한 영화를 보니 기분좋네요 영화보는 내내 웃음이 끊이질않았습니다.특히 마지막 엘리스와 귀신들의 격투씬이 인상깊군요^^!하.하.하,,,,,,,,,
108,깜짝놀라는 장면만 있는 삼류 쓰레기 할머니 영웅물  노인공경 영화,,,,,,,,,
109,1.2 편에 비하면 확연히 재미없는스토리...,,,,,,,,,
110,인시어디스1편만 만들고 말지...명작을 다 망쳐버리는 3이였다...최악의 영화;;,,,,,,,,,
111,재미보다는 되게 많이 놀래키는 영화네요. 인시디어스 1,,,,,,,,,
112,처음엔 좀 무서웠는데 가면갈수록 유치해지는 영화..나중엔 웃음밖에 안나옴ㅋㅋㅋ,,,,,,,,,
113,3먼저보고 1,,,,,,,,,
114,막판에 귀신이랑 맞짱뜨는거보고 어이없음 ... 1도 안무서움,,,,,,,,,
115,인시디어스 이름만 보고 들어가서 나올때 감독이 바뀌었나? 의심한 영화 인시디어스 특유의 긴장감,,,,,,,,,
116,15세관람 파워레인저 악당을 물리쳐라 히어로영화 굿 개잼잇게봣습니다 엄청 잼있어요,,,,,,,,,
117,진짜 이렇게 안무섭게 만들기도 힘들꺼당 진짜로,,,,,,,,,
118,분명 들어갈때 팝콘사이즈가 L였는데..무서워서 난분명 몇 개 먹지도 않았는데....끝나고 보니 팝콘의 반은 바닥에 반은 남친과 내 옷에...그냥 무섭다 초반빼고 쉴틈없이 무섭다,,,,,,,,,
119,귀신도 메르스가 두려웠나봅니다,,,,,,,,,
120,영화 디센트만큼 긴장감과 놀람의연속!!,,,,,,,,,
121,댓글알바들 ㅉㅉ 방금 인시디어스 보고왔는데 돈아깝고 내용도 진부하다에 넘어서 그냥 막장이에요그리고 깜짝놀라는장면 뿐이라는데 나 한번도 안놀랬고 그냥 재미도없고 소리도 안무서워요 .,,,,,,,,,
122,ㅡㅡ 개열받네 1점도 아까워 여기 댓글들 다 알바임 아오,,,,,,,,,
123,진짜 1점주기도 아까운 영화ㅋㅋ얼탱이가없네..그냥 땅바닥에 이만원 던지는게 나았을듯,,,,,,,,,
124,개그물 보고 싶은 사람은 추천함!!!,,,,,,,,,
125,무서워서 OO 뻔 했다 오죽 쳐 무서웠으면 보다가 중간에 화장실로 도망갔는데 OO 더 쳐무서워져서 영화관으로 돌아가 옆에있던 형 손을 꼭 움켜쥐고 봤다 네이버 평점도 처음 준다 OO 임산부 데리고 이 영화 보러가는 ...,,,,,,,,,
126,진짜 무섭네여ㅠㅠ소리가 사람을 더 미치게 만드네요~,,,,,,,,,
127,너무기대한탓이었을까요..1,,,,,,,,,
128,한국에선 공포영화 하면 그냥 뻔한 종류의 스토리가 가는 편이 많은데 역시 미국 공포영화는 공포에 대한 세계가 남다르네요. 물론 몇작품 빼고 이 영화에서도 세계관이 갖춰져있고 흥미롭게 봤어요. 무서운 강도가 약해서 아...,,,,,,,,,
129,관람객입니다. 네이버 ,,,,,,,,,
130,알바님들 너무 티나요 ㅎㅎㅎㅎ,,,,,,,,,
131,깜짝놀래라 젠장 이게끝,,,,,,,,,
132,이건 말이필요없는거다 밤늦게 혼자볼수있는 강심장아닌이상 기저귀 차고가라,,,,,,,,,
133,태어나서 첨으로 평점쓰는데 그만큼 인시디어스1. 2보고 유체이탈이란 신선함에 좋아하고 3탄을 기대햇던 사람이다. 개봉하자마자 완전 기대에 부풀어서 봤는데 진심 실망했다.중간중간 코미디같은 장면에 웃다가 막판엔 레슬링...,,,,,,,,,
134,1보고 우와,,,,,,,,,
135,1,,,,,,,,,
136,시리즈가 가면갈수록 퇴보한다.,,,,,,,,,
137,이런 집구석 저예산 영화 좀 만들지 마라. 노잼 스트리망 오직 소리 크기로만 공포를 조장하는 다시는 보고 싶지 않은 영화,,,,,,,,,
138,공포영화보고 눈물난적 첨임.. 마지막에 ㅜㅜ,,,,,,,,,
139,존나무섭네 팝콘다떨굼ㅋ,,,,,,,,,
140,하나도 안무섭구만 ㅋㅋㅋㅋ,,,,,,,,,
141,볼까했는데 안봐도 뻔하다...,,,,,,,,,
142,장난하나 ㅋㅋ그냥 웃끼다ㅋ어이가없다 귀신이랑 격투신 잘봣다ㅋㅋ,,,,,,,,,
143,ㅋㅋㅋㅋ 귀신들이랑 싸우는게 실랑이하는거 같아서 웃었다 ㅋㅋㅋㅋ 그리고 또 시리즈 나오냐? 그만좀 만들어라 너무 뻔하다,,,,,,,,,
144,괴물이랑 몸싸움할때 웃겼음ㅋ 그냥 수준낮은 하류 영화임 중간에 너무너무 나오고 싶었음ㅋㅋㅋ,,,,,,,,,
145,전작들 본적없이 3를 처음으로 보고왔는데 정말 돈이아까울정도네요 진짜만들기 귀찮았던건가 집에서 무한도전 재방이나 볼걸그랬어요 평점들 전부 알바들인가보네요,,,,,,,,,
146,진짜 페이스북이든 뭐든 어떤 sns에 이거 재밌다고 무섭다고 한 새끼들은 다 손모가지를 짤라버려야된다 그냥 존나 헛웃음만나옴,,,,,,,,,
147,생각보다 별루 안타깝다,,,,,,,,,
148,할머니가 달려갑니다 공포보다는 액션이군요 개그액션이요,,,,,,,,,
149,애나벨에 이어 제임스 완 감독의 중요성을 느끼게 해준 작품 제임완 감독 메가폰을 잡은 작품들과 비교해보면 알 수 있다.,,,,,,,,,
150,이건무슨 ㅋㅋㅋ 갑자기 할망구가 혼잣말로 책책 무슨책 거리더니 책하나 집어들고 숨겨졌다던 편지 찾고 해결 이게무슨 얼렁뚱땅인가 ㅋㅋ,,,,,,,,,
151,진짜 깜짝 놀래키기나 하고 후반엔ㅋㅋㅋㅋ 개근줄ㅋㅋㅋㅋ여름즐기려고 인시디어스 보려고 하시는분들차라리 인사이드아웃을 보세요 인사이드아웃 존잼 '-'b,,,,,,,,,
152,무섭지만 웃긴영화.무섭게보다 나중에 풀어줌,,,,,,,,,
153,기대되는 영화입니다.~ 인시디어스!,,,,,,,,,
154,역대 시리즈중에 제일 재미없었음완전 핵 비추 남자친구랑 보다가 피식피식 웃음나올정도로노잼,,,,,,,,,
155,진짜 노잼이였다..후..,,,,,,,,,
156,노트북으로 이게 무서븜  하지말고 공포영화는 영화관에서 봐야되는구나 공감해서 진짜 극 노잼 하나도 안무섭고 깜짝놀래키는거 밖에 못하는 영화 진짜 안보는거 추천드립니다 처음으로 리뷰남겨본다 소비자들 지갑 닫게할려고 파...,,,,,,,,,
157,더럽게 재미없다. 공포요소라곤 중반부의 깜놀 밖에 없는데 공포스럽다기보단 스트레스나 짜증만 일으킬 뿐이고,,,,,,,,,
158,어떻게 펑점이 이렇게 높을 수 있는지 궁금함,,,,,,,,,
159,무슨 말이 더 필요할까. 혼자 보긴 억울한 영화.,,,,,,,,,
160,영화보다가 한 10명은 나가더라..진짜 내가 공포영화 못보는데..이렇게 어이없는 영화는 처음봄..영화관에서 이렇게 웅성웅성 거리는 것도 처음 볼정도로..나 뿐아니라 관람객 모두 별로라고 생각한듯,,,,,,,,,
161,보고나니알겠다 알바진짜많구나,,,,,,,,,
162,감독에게 진지하게 요청한다. 나랑 싸우자,,,,,,,,,
163,평점에 속았다여기는 알바가 많다스토리 뻔하다 공포가 아닌듯함영화가 참 난해하다 ㅠㅠ,,,,,,,,,
164,어둠의세계  푸른색으로  표현한것  공포감 조성 좋앗지만요 나중에 코믹유치찬란 ..,,,,,,,,,
165,별로에요 그냥 놀래기만하고안무서움,,,,,,,,,
166,평점이.왜 높은줄 모르겠다.. 재밌지도않고 무섭지도않고,,,,,,,,,
167,졸다옴 재미없음.  1,,,,,,,,,
168,이거 다무섭고 재밋다고하는사람들 영화관계자들이나 알바임?진자 돈아까움,,,,,,,,,
169,감독이 스펙스였네?ㅋㅋㅋㅋ,,,,,,,,,
170,1,,,,,,,,,
171,아 존나 놀랬잖아 넌 모야? CIPAL,,,,,,,,,
172,파라노말 액티비티처럼 단순깜놀영화가 아님. 사람을 심리적으로 코너에 몰아넣은 상태에서 주먹이 아닌 다른 무언가에 심장을 가격당한느낌... 이 고급스런 깜놀은 애나벨이 얼마나 똥망영화인지 알게해줌,,,,,,,,,
173,시급은받고 평점다냐? ?,,,,,,,,,
174,보는 도중도중 김새는 기분,,,,,,,,,
175,진짜 별루다.    이게 뭐람,,,,,,,,,
176,할머니가 각성하는 순간 액션영화가 되었다~ㅋㅋㅋㅋ,,,,,,,,,
177,역시 인시디어스 믿고 봅니다,,,,,,,,,
178,이렇게 긴장감없고 안무서운영화 처음본다 연기도별루고,,,,,,,,,
179,개 유치 짬뽕 영화 ㅋㅋㅋ 마지막엔 슈퍼맨 할머니 버전을 보게 될겁니다.,,,,,,,,,
180,반개도 아까운 개 쓰.레기 영화..화가나서 댓글달러 로그인까지했네 ㅋㅋ베플 쳐맞고싶나,,,,,,,,,
181,그냥 삼류영화에요평점 진짜 뭐냐 알바냐 아니면 혼자죽기 싫어서 그런거냐고스트바스터즈가 더 재밌네요 개인적으로,,,,,,,,,
182,너무 무서워서 귀 막고 봤습니다. 그러다 컴온비치 부터 그냥 봄,,,,,,,,,
183,무서운영화를 내가 못보는데도...이건 그냥 봤다... 중간에 놀라는건 있긴한데 무섭지가않음...노잼..;;이런 공포영화는 처음이네 ㅋㅋ,,,,,,,,,
184,웬만해선 재미없는 영화도 그럭저럭 보는 사람인데,,,,,,,,,
185,무슨 코미디인줄알았네,,,,,,,,,
186,정말 갈수록 실소를 터지게하는....프리미엄관에서 1인18,,,,,,,,,
187,초반부는 따분하게보다가 갈수록 유치해진다 그냥 살짝놀라는장면 있고 돈주고볼영화는 절대안됨 킬링타임용도안된다이건 절대보지마세요 .,,,,,,,,,
188,개 노잼 개 노잼 개 노잼.,,,,,,,,,
189,일단 노잼이다. 그리고 갑툭튀만 바글바글. 보다가 짜증날지경.,,,,,,,,,
190,공포영화 좋아하는데 최소한의 납득할 만한 스토리도 없고... 할 줄 아는건 놀래키는 거 밖에 없고... 작품성도 진짜 없이 뜬금없이 엄마등장하고... 정말 막장 영화다공포영화 좋아하면 이거 보지 마세요!!,,,,,,,,,
191,실망가득한영화.지루하고 잠오고 무섭지않은..,,,,,,,,,
192,이 영화가 어떻게 평점이 7점이나 넘는지 이해가 안됨장르 분류 다시 해야될듯졸면서 봄,,,,,,,,,
193,진짴ㅋ호러물에서 이렇게 어이없는 영화는 첨잌ㅋ보면서 진짜 헛웃음이 나오는영화..참 ㅋㅋㅋ자아알만드심,,,,,,,,,
194,무서운것도있는데 저는 보면서 어찌나 슬픈지  무서웠던거 50% 슬펐던거 50% 그냥 음...머랄까 슬펐고  재밌었어요 ~,,,,,,,,,
195,첨부터 조낸 무섭다가 중간부터 뭐여 하고 나오게 됨,,,,,,,,,
196,최소 심장 멎을뻔....,,,,,,,,,
197,여친이 오줌 싸버려서 헤어짐...ㅠㅠ,,,,,,,,,
198,인시디어스시리즈중에최고인듯..개무섭..ㄷㄷ,,,,,,,,,
199,무서운건 그닥 없고 공포 분위기 조금에 그냥 놀래키는 장면만 가득입니다. 놀래키는게 거의 다에요. 영화관 스피커가 커서 알면서도 놀랄 수 밖에 없네요. 스토리는 아주 잘 가더라구요 산으로 ㅋ 감독이 놀래키는거랑 무서...,,,,,,,,,
200,개인적으로 별로  방금 보고나와서 쓰는데  사운드는 긴장감있지만 나머진별로,,,,,,,,,
201,인시디어스시리즈중 가장 별로였음 뭐 인시디어스 제작진이 만들었단것중에서도 가장 별로였음 그냥 즐거움ㅋㅋ재미?웃음?,,,,,,,,,
202,진짜 보는데 그냥 귀신들이 너무웃기게나와서 너무실망함평점높고 엄청무서운 공포영화라고해서 봤는데 돈아까웠음,,,,,,,,,
203,적어도 극장 안의 사람들의 그 날 밤을 두려움에 떨게하는 데는 성공했다고 생각한다.,,,,,,,,,
204,비급코미디같은 장면도 있었지만 볼만함 재밌음,,,,,,,,,
205,볼만했는데 ㅇ뭔가아쉬웠음 ㅋㅋㅋㅋ 깜짝놀라는건 왜캐 넣어놧데 내가 깜짝놀래놓고 나면 뭔가 허무햇음 ㅋㅋㅋ 소리하난 대따크네,,,,,,,,,
206,웃긴부분이뜬금포로나옴,,,,,,,,,
207,짱 무셔!!! 졸잼 ㅋㅋㅋ,,,,,,,,,
208,영화관에서 영화보다 너무 무서워서 중간에 나가고 싶었던 생각이 들었던 현재까지 유일한 영화,,,,,,,,,
209,심장 쫄깃했던 인시디어스2,,,,,,,,,
210,이것보다 더 무서운게 있을까  잔인한거 빼고,,,,,,,,,
211,재미도 없지만..연출이 너무 ㅋㅋ저급하다,,,,,,,,,
212,1 2편의 명성에 먹칠하는 망작 연출과 대사가 전부 진부함 없어도 될 프리퀄,,,,,,,,,
213,1,,,,,,,,,
214,제임스완 감독의 인시디어스1,,,,,,,,,
215,생각했던것보다 별로..,,,,,,,,,
216,이게뭔가요.. 깜짝놀래키는거외에는.. ㅎ그닥,,,,,,,,,
217,노잼 핵노잼 개노잼 이건 트리플노잼 삼노잼일체길가다 감독 만나면 패 드 립 각ㅡㅡ!!!,,,,,,,,,
218,보다가 잠들뻔햇네요!,,,,,,,,,
219,이건뭐...티비에서 하면 보서요 걍,,,,,,,,,
220,개인적 취향인지는 몰라도..공포감은 찾아볼수 없고 지루해서 잤다...,,,,,,,,,
221,평점보고 바로 예매해서 보러갔는데 많이 무섭다고했는데 별로 안무섭던데 .. 외국공포영화 귀신들은 좀 이상하게 생겼어요 ..,,,,,,,,,
222,그닥 무섭지도않고 깜짝깜짝 놀라기만 함 ㅋㅋㅋ 시리즈중 단언 최악이었던 스토리,,,,,,,,,
223,진짜 핵노잼 노잼이 아니라 내가지금 무슨장르의 영화를보는지 혼동이 올 정도의 진짜 까닭없는 영화 무슨 공포영화를 이따구로만드는지 제작자 두뇌를 보고싶다 정말 돈낭비 오지구요 무섭긴커녕 정색하면서봤습니다 진짜 이거볼바...,,,,,,,,,
224,인시디어스2에 비해 완전허술한 구성 쥐어짜내는듯한 억지스런 결말에 뻔한것도추가 사운도 별로고 우리나라 호러물처럼 놀래키기일수,,,,,,,,,
225,알바한테 속아서봄 너무 화가나서  댓글 처음달아본다 영화보다가 다같이웃은적은또처음이네  깜작놀랐으니까 1점줌,,,,,,,,,
226,경성학교보다 더 쩝니다. 근데 왜 기자들은 경성학교에 더많은 평점을 줬냐고 이게갑인데/... 말도안되,,,,,,,,,
227,지루함 결말허무 노잼 평점높아서1점,,,,,,,,,
228,집 공포를 또 1,,,,,,,,,
229,평점알바?코믹장르아닌가요?판타지아닌가요?역대급쓰렉,,,,,,,,,
230,개유치개유치개유치개유치,,,,,,,,,
231,크게 힘주지 않고도 쭈뼛함을 선사하는 이 시리즈 특유의 공포 직조 능력은 여전하지만,,,,,,,,,
232,진심 격투극이다 후반에는...,,,,,,,,,
233,1,,,,,,,,,
234,진짜 무섭고 재밌긴 한데 깜짝 놀래켜주는게 너무 많네요...,,,,,,,,,
235,노잼... 악령이너무착해요 ...보지마요 진심,,,,,,,,,
236,영화에 10점을 주긴 너무아까운거같다 . 영화가 끝나도 딱히 반전이라고 할만한 장면도 없었고인시디어스2보다 긴장감도 덜하다 내용은 거의 비슷하여대강 이부분엔 이게나올거라는 예상이되엇다.기대를 너무많이해서 기대를 한것...,,,,,,,,,
237,인시디어스3는 솔까 깜놀패던 모르면서보는데 느낌상딱 이게 깜놀패턴이 다눈에보인다..사실상 할머니가 강력했다 해피엔딩인건 좋지만 이건좀 아닌듯,,,,,,,,,
238,후반부에 코믹 드라마로 장르 바뀐건가여,,,,,,,,,
239,그냥 킬링타임으로 볼만하네요,,,,,,,,,
240,스고이스고이스고니수고이,,,,,,,,,
241,ㅋㅋㅋ와 어제 진짜 영화보는내내 쫄깃해서 재밌었음ㅋㅋㅋ 개강추,,,,,,,,,
242,좀 기다리면 바로 다운 가능하십니다... 간만에 공포영화 극장에서 본건데 웃고왔습니다ㅋ,,,,,,,,,
243,우와..ㄷㄷ 재밋겠다..!,,,,,,,,,
244,정말 지린다. 무서움 놀라움 감동 다 갖춘 영화.,,,,,,,,,
245,너무 무서움 절대 보러가지마세요,,,,,,,,,
246,이거보다가 영화관에서 오줌싼 30대 남성입니다. 절대 혼자 보지마세요...,,,,,,,,,
247,고전 호러영화의 미덕을 되새겨보자. 요즘 공포물은 정말 하찮기그지없다내가 만들게. 내한테 돈도  .ㅆ붤거들아,,,,,,,,,
248,고스터 바스터 두 콤비가 나올때 어찌나 안심 되던지~,,,,,,,,,
