,content,,,,,,,,,,,,,
61,지루해 죽을뻔 돈아까워서 봄,,,,,,,,,,,,,
62,어린이 성장 영화  초딩 어벤져스..,,,,,,,,,,,,,
63,디즈니 영화인줄 알았네 진짜 비맞으면서 보러갔더니,,,,,,,,,,,,,
64,공포라기보다는 성장드라마를 본 느낌,,,,,,,,,,,,,
65,방금 보고나왔는데 이것도 영화라고 ㅆ ㅣ발 내돈,,,,,,,,,,,,,
66,갑툭튀가 너무 심한거 아니냐ㅜㅜㅜ 진짜,,,,,,,,,,,,,
67,다굴앞에 장사없다',,,,,,,,,,,,,
68,소년법만 믿고 떼로 몰려다니면서 광대를 괴롭히는 아이들과 당하기만 하는 광대의 슬픈 이야기,,,,,,,,,,,,,
69,끝까지 보기도 너무 힘든 영화,,,,,,,,,,,,,
70,오랜만에 중간에 나가고 싶던 영화임,,,,,,,,,,,,,
71,답답하고 빡친영화이상한 러브라인과 트와일라잇  뺨치는 3각관계귀신 패턴,,,,,,,,,,,,,
72,귀신도아니고 괴물도아니고 사람도 아닌것이 어린애들한테 야구빠따로 뚝빼기 깨지고 다구리 뚜까맞다가 끝나는영화,,,,,,,,,,,,,
73,볼만함. 공포영화이기도 하면서 성장영화임. 그래서 유치할 수도 있는데 볼만은 하다.,,,,,,,,,,,,,
74,이런게 바로 재미난 공포 영화,,,,,,,,,,,,,
75,분위기부터가 장난 아니던데 간간히 유머러스한 부분도 있고 스토리도 탄탄해서 그런지 재밌게 볼 수 있었어요,,,,,,,,,,,,,
76,올해 본 공포영화중에 가장 인상깊은데여,,,,,,,,,,,,,
77,ㄷㄷㄷ광대공포증이 생겨버렸다.. 맥날 광대도 무서운 ㄷㄷㄷ ㅠㅠ,,,,,,,,,,,,,
78,아나벨보다 무섭고 장산범보다 안 짜증났음. 아이들의 성장물로,,,,,,,,,,,,,
79,15세 관람가 ? ㄴㄴ 전체 이용가,,,,,,,,,,,,,
80,개인적인 생각으로는 올해 나온 공포영화 중에 스토리면이나 작품성이나 제일 낫네요,,,,,,,,,,,,,
81,영화 보는내내 가장 무서웠던건챕터 2가 나온다는것이었다,,,,,,,,,,,,,
82,그것은 7인의 슈퍼레인저가 괴상한 광대 코스프레 아동페티쉬 악당을 레이져건도 아닌 쇠파이프 등으로 가격해서 무찌르는 영화(삐에로 맞을때 누가 악역인지 모르겟는....),,,,,,,,,,,,,
83,약간 유치하지만 통쾌ㅋㅋ,,,,,,,,,,,,,
84,평점 낮게 준 사람들 이해안가네 ㅋㅋ주인공들이 애들인점을보고 이해를 하면서 봐야지..ㅋㅋㅋㅋ완전 재밌었음 지루하지않고 !!!,,,,,,,,,,,,,
85,유치해서 미치는줄알았네예고편에 당했다,,,,,,,,,,,,,
86,재밌다고 적은 애들 진심으로 계좌 조회 해보고 싶다.,,,,,,,,,,,,,
87,오늘같은 날씨에 딱 보기 좋았어~~  영화 나이스~~,,,,,,,,,,,,,
88,이거 진짜...하.예고보고 봣는데....장산범이 더 무서움..평바하지말자!!!,,,,,,,,,,,,,
89,굿굿굿 베리굿ㅎㅎ 근데 광대는 왜 애들을 공격했을까,,,,,,,,,,,,,
90,내인생 최악의영화 ..시간아깝고돈아깝고,,,,,,,,,,,,,
91,보는내내 하품하고 안무서움 진짜도중에는 웃김 코믹영화인줄,,,,,,,,,,,,,
92,영화 자체는 더할나위없이 잘만들어졌는데 평점이왜이리낮을까? 로튼토마토 90점인데,,,,,,,,,,,,,
93,It,,,,,,,,,,,,,
94,너무 정말 너무 재미없음,,,,,,,,,,,,,
95,진짜~이건 진짜 너무 별로임초딩들이 봐야될듯한너무 지루해서 혼났어요~,,,,,,,,,,,,,
96,그냥 몰입감이 너무 떨어져서... 내가 보기엔 어린이 공포영화 정도로 생각하면 딱인거같은데,,,,,,,,,,,,,
97,무서움따윈 없다. 온갖 개그요소가 난무한다. 웃겨서 포복절도할뻔.. 삐에로 말춤ㅋㅋㅋㅋ,,,,,,,,,,,,,
98,공포영화마니아인데 내가 단한번도 영화중간에 나간적없는데 태어나서 처음으로 영화관에서 이거보다 중간에 나왔음.,,,,,,,,,,,,,
99,우리의 모험은 이제 시작이야!,,,,,,,,,,,,,
100,살짝 눈가리면서 봤어여;;ㅠ무서운거 못보시면 쫌 긴장하셔야할듯..,,,,,,,,,,,,,
101,처음 동생팔까진 공포였고 그다음부턴 성장드라마 개노잼,,,,,,,,,,,,,
102,공포에서 코믹으로..,,,,,,,,,,,,,
103,갑툭튀로 깜짝깜짝 놀래키기만하고 무서운걸 모르겠다진짜,,,,,,,,,,,,,
104,평점 쓰기도 싫다 이건 그냥 깜짝 놀라는 영화,,,,,,,,,,,,,
105,광대가 애들 납치해서 메달아놓은 개연성도 모르겠고 용가리 괴물 때려죽이고 끝나는 성장 드라마,,,,,,,,,,,,,
106,오늘 밤에 어떻게 자야할지는 고민이지만 재밌었다.. 삐에로공포증이 괜한게 아니었네 싶음 ㅠ,,,,,,,,,,,,,
107,뚱땡이가 아무리 시를 잘써도 여주를 살려도 얼굴은 이길 수 없다는 참혹하고 슬픈 영화,,,,,,,,,,,,,
108,조지가 너무 귀여워조지 하드캐리,,,,,,,,,,,,,
109,해노재에앰정말안보는게나움,,,,,,,,,,,,,
110,무서운것도있고 담으려고했던내용도있으며 이동휘닮은캐릭터가 분위기깨는개그를시도떄도없이해서 재밌었음,,,,,,,,,,,,,
111,포스터가 일 다한 영화화가난다,,,,,,,,,,,,,
112,0.5점 주고싶네여,,,,,,,,,,,,,
113,뚱보 귀여워서 6점 ㅋㅋㅋ,,,,,,,,,,,,,
114,ㅡ진짜 유치하다 시간이랑 돈 아까움,,,,,,,,,,,,,
115,내 인생 처음으로 영화관에서 공포영화보면서 단한번도 눈을가리지 않고 편안하게 본 영화 내가 공포영화를 되게 잘 볼수 있는 사람이라고 착각하게 만들어준 대단한 영화임,,,,,,,,,,,,,
116,짱재밋음 꼭봐야함스토리가 이리저리 휘젓고 개연성없이 왓다리해서 꼭 두편의 영화를 본거같은 기분입니다 ㅎㅅㅎ꼭 돈주고 여친이랑 극장가서 보세요 나오다가 여자친구한테 뺨맞으실수있어요 그런취향가지신분들한테 적극추천드립니다...,,,,,,,,,,,,,
117,진심 핵노잼임.. 리얼루 ..,,,,,,,,,,,,,
118,평점이 왜케높음? 스릴러가 아니고 코메디인데엽기ver. 반올림,,,,,,,,,,,,,
119,어린 아이들의 공포를 먹기위해 찾아오는 광대 하지만 아이들에게 그 공포를 심어 준 건 어리석은 어른들때문,,,,,,,,,,,,,
120,챕터2 나온다는 장면보고 화를 주체할수없었다.,,,,,,,,,,,,,
121,정말 예고편 하고 다릅니다...정말 공포영화도 아니고 무슨 유치한 성장드라마도 아니고 괴롭히는 아이들은 무슨 정신병 걸린것 같고 왜 마을이그렇게 됐는지 무슨떡밥하나도 안던지고 대놓고 2편 나올걸 이야기하고..보다가 ...,,,,,,,,,,,,,
122,눈물나는 성장스토리를 한편 보았습니다.,,,,,,,,,,,,,
123,공포의 정도는 놀이공원 귀신의  집 수준이다 처음  조지가 실종되는 장면이 젤 무서웠음 그 이후로는...그래도 아이들이 주인공인 동화같은 이야기가 나름 매력이 있었다,,,,,,,,,,,,,
124,빌이 너무 귀여워요.ㅠㅠ.. 애기 최고. 팔 뜯겼을 때 진짜 맴 아팠음...,,,,,,,,,,,,,
125,전형적인 미국 하이틴 공포 영화,,,,,,,,,,,,,
126,알바들이많네여..내시간돌려줘요,,,,,,,,,,,,,
127,다들 겁나무섭다고하는데 놀래는부분도 있긴하지만 개인적으로는 컨저링3보단 안무섭네요,,,,,,,,,,,,,
128,여자친구랑 봐서 1점이나 주는거야-_-,,,,,,,,,,,,,
129,진짜 사실대로 말하겠다.그것이라는 이 영화는 정말 재미없고,,,,,,,,,,,,,
130,지금까지 본 공포영화 중 최고였다. 그것의 존재를 알면서도 억압하고 외면하는 어른들이 더 무서웠다. 영화 전반의 기묘한 그로테스크적 요소와 쉴 틈 없이 몰아치는 트릭들.두려움은 감춘다고 없어지는 것이 아니라 맞닥뜨려...,,,,,,,,,,,,,
131,뜬금 악령을 물딜로 다굴쳐서 잡네 ㄷㄷ,,,,,,,,,,,,,
132,내가 본 호러물중에 가장 신선한 작품,,,,,,,,,,,,,
133,없던 광대공포증도 생길판.... 광대ㅅㄲ,,,,,,,,,,,,,
134,팝콘 반이상남긴적 처음,,,,,,,,,,,,,
135,소개팅 첫날 이거봤는데 영화 끝나고 영화에 대해 할말이 없었어요,,,,,,,,,,,,,
136,평점 조절  .  이게 2탄이 나온다는게 공포,,,,,,,,,,,,,
137,무섭다기보단 애들 나오는영화치고 좀 그로테스크한 장면이....,,,,,,,,,,,,,
138,페니와이즈가 춤추는거잘봣음,,,,,,,,,,,,,
139,재미있었음 ㅇㅅㅇ ....,,,,,,,,,,,,,
140,소설책을 먼저 읽어서 그런지,,,,,,,,,,,,,
141,진짜 챕터2 나오면 돈줘서라도 주변사람 안보게할 영화인듯뭔 영화가 이렇게 산만한지 정신을 못차리겠음어디로 튈지 몰라서 무서운 영화 그이상 그이하도 아님...,,,,,,,,,,,,,
142,1점주기도아까울정도.영화보다가 너무화가나고 재미없어서 나오고싶엇던건이번이처음.내용자체가중구난방에 전달하는메세지도뭐도없이그냥 훅훅 튀어나와서놀래키는게다임.영화비9000원다시환불받고싶다절대보지마세요 진짜후회합니다눈배려요...,,,,,,,,,,,,,
143,개 쓰레기 영화입니다 진짜 클ㄹ레멘타인을 잇는 명작임 ㅅ 발,,,,,,,,,,,,,
144,극장에서 본 거지같은 영화는 7광구가 마지막일줄 알았는데,,,,,,,,,,,,,
145,진짜 개노잼이다 감독새끼 감옥에 쳐넣어야된다 시간도둑새끼야,,,,,,,,,,,,,
146,진짜개재밋는데 한국알바 진짜있구나ㅡㅡㅋ,,,,,,,,,,,,,
147,진짜 재미없습니다 보고나왔는데 장산범이 훨 재밌음 그냥 떡잎마을 방범대같은느낌나고 ;뭐하는건지도모르겠고 9000원아까운영화,,,,,,,,,,,,,
148,진짜 더럽게 재미없음 이거 평점은 높은데 왜높은지 모르겠네요 보1지 마세요 광대가 왜나온지도 안가르쳐주고 그냥 다죽입니다 왜죽이는지도 몰라요 그냥 죽입니다 내용이없으니까 보는내내 지루해서 언제끝나나만 기다렸습니다 진...,,,,,,,,,,,,,
149,협동심 함양을 위한 어린이 드라마? 후반으로 갈수록 내가 뭘 보고 있는지 혼돈이 온다.,,,,,,,,,,,,,
150,진짜 1점도 주기 아까워요 진짜 대박 이렇게 노잼인 영화 처음임 보다가 잘뻔함 광대도 진짜 억지스럽고 재미 1도 없어요 영화 볼 돈으로 걍 편의점에서 소주 왕창먹고 만취한다음 깜깜한 새벽에 혼자 골목길 걸어다니는게 ...,,,,,,,,,,,,,
151,ㅋㅋㅋ평점 장난? 영화 끝나고 모두 욕하면서 나가는 진풍경ㅋㅋ 병맛물ㅋㅋ 번역이 문제인가ㅋㅋ 손발이 오그러터지고 감독이여 애들한테 무슨짓이니-ㅁ- 칼로 뱃가죽 찢어져도 덤덤한 아이들ㅋㅋ,,,,,,,,,,,,,
152,이런게 바로 공포영화지 긴장감,,,,,,,,,,,,,
153,심장이 너무 아파요..,,,,,,,,,,,,,
154,내 생애의 최고의 영화 제일좋다,,,,,,,,,,,,,
155,머냐 얘들보라는거냐 어른들보라는거냐,,,,,,,,,,,,,
156,극장에 사람들 꽤나 있었는데 그 흔한 '엄마야!' 소리 한 번 안 나왔습니다. 개연성 없고 어처구니 없는 설정에 다 같이 실소 터지는 장면은 몇 번 있었고요. 어째서 평점이 8점이나 되는지 이해가 가지...,,,,,,,,,,,,,
157,알바들 대잔치 놀아나지마라,,,,,,,,,,,,,
158,기대 하고 갔는데도 상상보다 더 무서웠다...광대공포증 있는 사람이 보면 미칠수도 있는 영화!! 광대의 첫 등장씬은 잊지 못하겠다 빌스카스가드 연기력은 진짜...그냥 광대 그 자체,,,,,,,,,,,,,
159,속편도 나올 것 같은 예감! 존잼!!,,,,,,,,,,,,,
160,내가본 공포영화중에제일나앗던듯 삐에로 뛰어올때 소름ㅋㅋ,,,,,,,,,,,,,
161,스티븐킹 원작 영화는 복불복이 심한데 이 영화는 대박중에 하나였다. 원작 특유의 분위기를 잘 살렸고 아이들의 공포감을 잘 표현했으며 찰진 대사들과 성장 드라마로 재미까지 잡은 올해 제일 맘에 드는 영화였음,,,,,,,,,,,,,
162,1점줄 정도로 망작은 아니던데 배우들이 매력이 넘쳐서 재미있음,,,,,,,,,,,,,
163,최고의 호러라고 해서 봤는데,,,,,,,,,,,,,
164,애들용 공포영화 같음. 성인이 보기엔 음..,,,,,,,,,,,,,
165,공포보다는 성장물에 가까운데 그게 좋았다...,,,,,,,,,,,,,
166,이거 평점 왜이렇게 낮아 ㅠㅠㅠ 난 무서운거 못보지만 좋아하는데 진짜 무섭고도 재밌어서 2편 나오면 꼭 봐야지 했던 영화 ㅠㅠ 이번에 2편 나와서 보러가기전에 1편 또 한번 봤는데 그래도 재밌었던 ㅠㅠㅠ,,,,,,,,,,,,,
167,애들이 봐야 공포영화 어른들이 보면 코믹영화,,,,,,,,,,,,,
168,괜찮네 만족스러운 영화ㅋ 넘 무섭지도 않고ㅋ,,,,,,,,,,,,,
169,기묘한 이야기 보는 것 같아서 집중해서 봤네요 이 영화는 두번째  보는게 진짜인 듯 스토리 좋기만 한데요,,,,,,,,,,,,,
170,기대이하입니다 왠만하면 추천 안해요,,,,,,,,,,,,,
171,공포보다는 초현실,,,,,,,,,,,,,
172,무서움열자다이노무.,,,,,,,,,,,,,
173,노....잼....,,,,,,,,,,,,,
174,그냥 다 떠나서 애들 연기가 장난 아니네 ㅋㅋㅋ 이 정도면 7점은 돼야함 평점 상승을 위해 10점 줍니다.,,,,,,,,,,,,,
175,그렇게 무섭진 않다. 그러나 어른들이 외면한 현실에서 아이들끼리 우정으로 똘똘뭉쳐 결국은 헤내는 모습에 깊은 감동이 밀려온다. 자기들의 목숨을 걸고 함께 나아가는 모습.,,,,,,,,,,,,,
176,결국 산사람이 가장 무서운 거고 살아있는 공포 그 자체,,,,,,,,,,,,,
177,무..무서..워..야..하는데...왜...안무섭냐구..미국식 좌충우돌 성장기  영화그래도 80년대 복고풍과 영상등킬링타임으로 볼만해요,,,,,,,,,,,,,
178,코메디 인가 아가들과 광대가 너무 귀엽다 ㅋㅋ 특히 리치 안경낀 애긔 납치각 아들 삼고 싶다ㅋ,,,,,,,,,,,,,
179,공포보다는 성장 영화에 가까운 스토리다 후반부가 좀 아쉽다,,,,,,,,,,,,,
180,???그렇게재미없나.. 난 개존잼으로 봤는데 게다가 미장센도 오졌음..,,,,,,,,,,,,,
181,애기들 너무 귀엽고 웃기다 ㅋㅋ 강추,,,,,,,,,,,,,
182,난 개꿀잼이던데 ㅈㄴ 윾쾌하더만ㅋㅋㅋㅋ,,,,,,,,,,,,,
183,등장인물이 하나같이 다 짜증나냐..말더듬는애랑 안경쓴애 극혐이네..공포영화가 드럽게 지루해서 흐름 다 끊어먹음..최악,,,,,,,,,,,,,
184,정말 재밌다. 보는 내내 웃김을 선사해준 영화.문제는 이 영화의 장르가 공포라는 건데코미디 하이틴 좋아하는사람들 보면 좋을듯 추천추천. 근데 난 하이틴은 좋아하지 않으니까 별점 반만깎아볼께요.,,,,,,,,,,,,,
185,이게 대체 뭔영화여 내용 전개성도 없고 애들끼리 돌던지고 놀지를 않나,,,,,,,,,,,,,
186,흥미롭게 잘 봤습니다. 공포와 성장물을 잘 버무렸어요,,,,,,,,,,,,,
187,나어릴적이랑 같은세대네ㅋㅋ추억돋네ㅋㅋㅋ판타지 사춘기 성장드라마!공포영화아니예요~,,,,,,,,,,,,,
188,똥꾸멍으로 만들었나. 공포영화가 이렇게 지루한건 첨이다. 무섭지도 않고  뭐하는 건지...이게 평점 7점대라는 것이 참 유감이고 대한민국의 인심이 아직 살아있다는 것을 느낀다,,,,,,,,,,,,,
189,초반엔 재밌었는데 결말이 너무 유치함,,,,,,,,,,,,,
190,장르부터 잘못 됐다 어린이 성장물이나 아동판타지 정도로 했다면 평점 8정도 받겠지만 공포로 알고 봤던 내게는 실망감 때문에 최하점,,,,,,,,,,,,,
191,미국 국뽕 영화구만 ㅋㅋㅋ 저질 b급 개쓰x기 짜깁기 영화 ㅋㅋㅋ 쌍팔년도 시절 구니스가 차라리 훨씬 더 재밌겠다 ㅋㅋㅋ 피떡질 하면 죄다 공포영화냐? ㅋㅋㅋ 별 시덥잖은 영화보고 시간 버리지 말아라 ㅋㅋㅋ 알긋냐?...,,,,,,,,,,,,,
192,내 인생 최고의 공포영화,,,,,,,,,,,,,
193,이야기가 이랬다가 저랬다가.. 너무 길어서 지루하고 졸렸어요 무서운 부분도 없고 죽이는 장면도 너무 기분안좋은 영화에요.,,,,,,,,,,,,,
194,전작인 피의피에로 작품을 보고서 갔었는데 확실히 공포스러운 분위기는 좋았으나,,,,,,,,,,,,,
195,진짜 최악이다.. 스토리는 중구난방에 삐에로는 왜이리 허무하게 죽는지ㅋㅋㅋㅋ최~악~ 남자친구 밤새서 잠깰려고 공포영화 본건데 오히려 더졸렷다넹^^,,,,,,,,,,,,,
196,무섭기도 적당히무섭고 동정심을 찾은느낌..,,,,,,,,,,,,,
197,이것은 진짜일수도. .아닐수도있습니다.현실의경계가 모호한 영화볼만합니다 추천 탕탕,,,,,,,,,,,,,
198,빌이 삐에로로 나오는데 뭔 잘생김타령을 하냐,,,,,,,,,,,,,
199,덕분에 썸남이랑 손잡음ㄱㅅ,,,,,,,,,,,,,
200,영화 그것은 내 그것보다 이상이었습니다..,,,,,,,,,,,,,
201,생각보다....어이없는결말,,,,,,,,,,,,,
202,광대보다 얼굴 일그러진 여자 나올때 더 기겁함,,,,,,,,,,,,,
203,내용도 중구난방이고 도대체 감독이 뭘 의도하고 만든건지 모르겠음 공포였다가 갑자기 애들청춘물이였다가 노답임,,,,,,,,,,,,,
204,스티븐 킹 원작이라는 타이틀만 없었으면 진짜 핵 똥망했을 영화,,,,,,,,,,,,,
205,솔직히 짜임새있게 만든 영화는 아니다.,,,,,,,,,,,,,
206,예고편만 그럴싸한 사기영화 ㅋㅋㅋ다구리맞는 광대는 코미디보다 못하다.그리고 흑인꼬맹이만 광대한테 맞고 날아다님.,,,,,,,,,,,,,
207,이게뭐야? ㅋㅋㅋ 백설공주냐? 키스받고 살아나서 웃겨죽는줄~ㅋㅋ,,,,,,,,,,,,,
208,초반에 어린애가 팔 먹히는거 보고 너무 놀랬음,,,,,,,,,,,,,
209,공포아닌 코메디 광대가 웃겨 죽겠다,,,,,,,,,,,,,
210,어린시절에 한번씩은 무서워했을법한 괴물을 잘 표현한 영화 공포보단 성장영화임,,,,,,,,,,,,,
211,초반까지만 무서웠는데 점점 지루하고 징그럽고 더럽고 어이가 없고 그냥 예고편이랑 언플에 속았습니다. 젤 무서웠던건 이딴것도 곧 시리즈로 나온다는 사실,,,,,,,,,,,,,
212,최악이다 실화 연쇄 살인범 광대 소재로 이렇게 거지같이 찍다니 대단하다 ㅋ이걸 영화라구 공포 영화를 본적 없는 인간이 감독이라고 찍은 느낌진심 공포를 찍고 싶었다면 애들이 중심이 되는 초점보단연쇄 살인마를 중심으로 ...,,,,,,,,,,,,,
213,내용전개가 산으로 가는 병맛퓨전공포물....  ‘공포’에만 집중했어도 이렇게 막장이 되진 않았을텐데 ,,,,,,,,,,,,,
