,content,,,,,,
47,내가 12시에 불끄고봐서그런지 상당히 서있는유모차라던가 걸어나가는장면에서 내가 다 심장이 쫄깃해졌다.. 밤에보면 무서운영화 낮에보면 코믹물. 웃긴장면이좀 많음ㅋㅋㅋ 잠설쳤네요어제,,,,,,
48,인간이 어떨때 공포를 느끼는지를 기가 막히게 캐치해낸 최고의 공포영화. 지금까지 본 영화중에 젤 무서움. + 꽤나 참신했던 결말은 덤.(설명이 좀 필요하지만),,,,,,
49,개인적으로 꿈과 무의식에 관해 멀홀랜드 드라이브보다 명료하고 느낌도 잘 살려서 만든 것 같다. 반전 정말 충격.,,,,,,
50,이 영화 진짜 명작임....이런 영화 이제는 찾아보기 힘들듯 ㅠㅠ,,,,,,
51,이 영화를 본게 중학생때였는데,,,,,,
52,웬만한 영화보다 재밌음. 요즘처럼 액션이나 cg 떡칠한것보다 더 낫다. 미스테리한 느낌과 조용한 공포,,,,,,
53,정말 10점도 안아깝다 다시보았는데 명작임.,,,,,,
54,몇년전에 봤는데도 기억에 남음. 내가 본 공포영화 중에서 젤 무서웠음,,,,,,
55,이건 진짜 ㅋㅋㅋ대놓고 무서운 장면 없어도 영화 특유의 분위기가...진짜 사람 넘 무섭게 만듬 보면서도 진짜 무서웠던,,,,,,
56,옜날에 본건데 다시 봐도 재밌음 여기 할머니가 insidious 할머니구나,,,,,,
57,문제는 케이블에서 방송을 안해줘서 볼 수가 없다는 것,,,,,,
58,몰입감 최고 ! 호러 좋아하는 분들은 놓치면 안될 수작,,,,,,
59,이런게 진짜 공포영화지. 숨은 걸작,,,,,,
60,공포영화중에 손에 꼽는 수작,,,,,,
61,미스테리,,,,,,
62,와 진짜 고어물 봐도 눈 깜짝 안 하는데 15세라 기대 안 하고 봤거든요? 호러물 매니아인 제가 혼자 보다가 무서워서 중간중간 영화 멈추고 그랬어요저예산이고 오래된 영화라 별 생각 없이 봤는데 진짜 긴장감이며 구성이...,,,,,,
63,한명씩 죽어나간다는 설정은 흔하지만 영화 시작 부터 끝날때까지 지겹지 않았다. 두번 세번 보게되는 영화,,,,,,
64,정말 수준높은 공포,,,,,,
65,이런 영화 너무 좋음.악몽을 계속 꾸는 것 같은 무서움.정말 작가가 잘 쓴 작품,,,,,,
66,요즘 공포영화는 무섭다는 느낌이 잘 안들고 그냥 스릴감이 느껴지는데 이건 무섭고 섬뜩하다. 점점 조여온다,,,,,,
67,분위기 쩔고 완전 재밌게 봣음.. 고어 귀신 별로 없는 심리스릴러를 원한다면 강추,,,,,,
68,진짜 명작임  복선과 긴장도  상당히 수작이라고 봄,,,,,,
69,10명도 안되는 등장인물. 연기력과 구성만으로 다이나믹하게 끌고 간다. 숨막히고 괴롭다. 출구 없는 길을 헤매는 듯한 사람의 공감을 이끌어내는 수작이다.,,,,,,
70,공포영화의 명작이다.,,,,,,
71,이정도 영화는 거의 만점에 가까운 소장용.고화질 리마스터 나왔으면 좋겠다~!! 숨어있는 명작~!!,,,,,,
72,상당히 잘만든 수작 ,,,,,,
73,와 이건 무슨.. 이게뭐라고 이렇게 무섭냐 ㅋㅋㅋㅋ 분위기만으로 지림,,,,,,
74,대단한 공포영화입니다..,,,,,,
75,이 영화는 인내심을 가지고 끝까지 봐야 알수 있다..,,,,,,
76,내가 본 공포영화 중 단연최고인데.. 이게 8점이 안된다고? ;;,,,,,,
77,은근 개그코드가 있고 스토리가 의아한부분이 계속 나와서 뭐지 ㅋㅋ병맛영화인가 싶다가도 궁금해서 끝까지 계속 보게된 영화,,,,,,
78,2003년 그때 이 영화 보고 너무 충격을 받아서 한동안 힘들었다 마지막 반전도 정말 강렬했었지 그런 반전은 그 시절 없었기에...인생 최고 공포영화로 기억되는 영화,,,,,,
79,와.. 이건 정말 걸작입니다,,,,,,
80,아직도 가끔 생각나는 영화,,,,,,
81,꼭보세요....진짜 스토리도 탄탄하니 무셔웡ㅜㅜ,,,,,,
82,어릴때 다운받아서 보고 감탄했던 영화. 몇번정도 다시 본듯. 수작임!,,,,,,
83,옛날 영화라는거 감안 안하고 봐도 될듯,,,,,,
84,적은 예산으로도 어떻게 만들어야 공포감을 극대화 시킬수 있는지 보여주는 좋은예..아류작들을 많이 양산할만한 숨겨진 저예산 공포수작..,,,,,,
85,평점이 너무낮은게 이해불가임...최고다진짜,,,,,,
86,보세요. 꿀잼입니다.,,,,,,
87,아주 볼만함 보다보면 피식거리는 조크도 간간히 보이는데 분위기가 은근히 어두움,,,,,,
88,오랜만에 공포영화 중 탄탄한거 하나 본듯싶다. 저예산임에도 개인적으로 굉장히 잘만든 영화중 하나라고 생각함. 단 반전은 없음 ㅋㅋ 영화 초반부에 생각했던게 맞는 영화 ㅋㅋ,,,,,,
89,무엇보다 나를 가장 숨막히는 건. 너무나 고요하리만큼 침묵스러운 도로 위.,,,,,,
90,가끔 머리가 쭈뼛서는 느낌...감독의 공포감 조성 능력이 뛰어남. 함 보세요...,,,,,,
91,이게 공포영화지,,,,,,
92,와.. 밤에 혼자보는데 눈물도 나고 무섭고 반전이 진짜 대박..거기다 마지막 까지..울컥,,,,,,
93,진짜 잘만든 각본 이정도는 되야 공포영화라고 생각하지,,,,,,
94,공포영화지만,,,,,,
95,저예산으로 이런 영화를 만들수 있구나 하고 감탄했던 스릴러영화,,,,,,
96,불 다켜놓고 친구들하고 과자 와삭와삭하면서 쳐봐놓고 안무섭네 어쩌네 까불지들 마세요. 얼탱이 없으니까,,,,,,
97,우왕  다들  비슷하게 느끼는구나악몽꾸면 딱 이느낌인데 말이 안되는데  깨기 힘든 가위눌리는 기분,,,,,,
98,와 진짜 대존잼; 잔인하거나 극한 공포감 없이 무서운 영화,,,,,,
99,완전 꿀잼. 넷플릭스 보고 시간가는 줄 모름,,,,,,
100,우리 아빠도 자꾸 처음 본 길로 가보려고 하는데 그 때문에 몰입감이 장난 아니었다. 아빠에게 꼭 보여줘야지,,,,,,
101,닥 10점이다. 이제야 평점을 올리다니.,,,,,,
102,큐브,,,,,,
103,거창하진 않지만 흥미진진한 영화. 시간가는 줄 모른다.,,,,,,
104,10전인가 봤을때도 방바닥에 팝콘 다엎었었는데 이번에 다시봐도 방바닥에 팝콘이 수북하네요,,,,,,
105,저예산에 도로에서 이정도의 공포 대단하다,,,,,,
106,흥미진진하다고 할까... 큰 공포는 없지만.. 흥미진진한 긴장감 만큼은 일품이다,,,,,,
107,현우 베댓 존웃 ㅋㅋㅋㅋ 이거 진짜 무서움~~~,,,,,,
108,이보다 더 효율적인 공포영화가 있을 수 있을까,,,,,,
109,멍청한 인간들 소리만 질러대는 영화에 비하면 별 10개도 아깝지 않은 명작!!,,,,,,
110,꽤 재밌게 봤습니다~~,,,,,,
111,공포 영화 또 보고싶은 영화 처음잔인함 없이 무서움,,,,,,
112,잘 만든 비급영화!!  깔끔한 공포영화다,,,,,,
113,2009년작 더 로드를 보려다가 헷갈려서 본 작품인데,,,,,,
114,이거 재미없다는 사람은 이런영화 취향이 아닌거지.공포물 열손가락안에 꼽히는 수작임.,,,,,,
115,저예산 영화치고 옛날 공포물 치고진짜 잘 만들었다 스토리 전개 좋음,,,,,,
116,저예선으로 최고의 효율을,,,,,,
117,완젼 괜찮은 영화다. 미스터리공포물. 왜 안알려졌는지.  저예산영화라서 그런가.,,,,,,
118,대단함...꼭! 보시길...,,,,,,
119,도로에 자동차 두 대와 별장 한 채만 두고도 스토리가 탄탄하게 흘러간다. 재밌다. 잘 만들었다.,,,,,,
120,초중딩땐가 봤었는데 어려서 그런가 진짜 역대급으로 그때 너무 무섭게봤어요 진짜 공포스러워서 계속 눈가리고 보고너무 무섭게봤어요 진짜....저때는 반전도 진짜 대단했고 잠을 설칠정도로 무서웠어요 보고나서 후회했습니다 ...,,,,,,
121,개잼!!!! 최고입니더ㅜㅜ,,,,,,
122,심리적 압박감 쩌네 뭐지뭐지 하면서 계속보다 마지막에는 와..,,,,,,
123,지금봐도 몰입감 쩌는.영화,,,,,,
124,졸음 운전을 하지 말라는 경고,,,,,,
125,몇번을 봐도 재밌고 스릴 만점,,,,,,
126,어렸을 때 본 영화인데,,,,,,
127,공포영화의 잘 알려지지않은 수작....마지막 느낀 그 섬찟함을 잊을수없다...,,,,,,
128,10년만에 다시 봤는데 역시 상당히 잘만든 수작이다 영화를 다 보고 나서야 왜 영화의 전반적인 느낌이 그랬는지 알게된다,,,,,,
129,정말 몰입도높고재밋다,,,,,,
130,본 지 오래 됐지만 아직까지 기억에 남는 몇 안 되는 공포영화,,,,,,
131,진짜 어렸을때 봤는데 아직도 충격이 가시지 않음..,,,,,,
132,무서운 장면없이 무서운 영화,,,,,,
133,결말을 알고봤지만 완벽함 당시에 봤다면 얼마나 더 흥미로웠을까,,,,,,
134,막연하게,,,,,,
135,깊게안본걸 후회한다. 생각보다 메세지성이 강했다.,,,,,,
136,아무생각없이 봤다 마지막 까지 긴장감 사운드 옛날분위긴대도 공포 분위기 쩔음 추천,,,,,,
137,내가 본 공포영화중 최고의 영화다.유치한 갑툭튀귀신이 아니고 고어물스런 끔찍한 호러도 아닌,,,,,,
138,예~~~엣날에 잠 깨서 티비 틀었다가 새벽에 다 보고 잤던 영화.. 마지막 반전에 소름돋았었음..ㅋㅋ,,,,,,
139,이건 공포 영화계의 가히 최고라 불릴만하다 내가 본 최고의 공포영화다,,,,,,
140,오... 정말 귀신 무서운거 없이 분위기와 사운드로 압도되다니,,,,,,
141,짜증나게 무서움..나쁘지않음,,,,,,
142,비웃음으로 시작해 함성과감탄으로 끝낸다,,,,,,
143,공포 스릴러로서 상당한 매력을 가진 영화. 야곱의 사다리,,,,,,
144,좀 잔인한 부분도 있지만 꽤 무섭게 봤던 영화,,,,,,
145,공포와 코믹이 이렇게 절묘하게 버무려 있는 영화는 본적이없다정말 최고의 영화라고 보면 된다,,,,,,
146,처음부분에서 원인과 결말을 모두 예상가능..다 예상했어도 등골이 오싹하는 느낌을 받을 수 있음.나름 재밌네요.  한번 보세요~,,,,,,
147,전체적으로 음산한분위기는 甲,,,,,,
148,좋음!,,,,,,
149,나쁘지 않은 공포영화. 특별히 더 말할건 없다.,,,,,,
150,아주 재미있다고는 못본다. 하지만 어두운 밤 도로위의 정적은 실제로도 무섭다,,,,,,
151,영화 전체에 깔린 음산한 분위기.. 마지막에 한방 먹여주는 반전..,,,,,,
152,꽤 볼만함.. 별로 무섭지는 않지만.. 보고나서 자꾸 생각남ㅎㅎ,,,,,,
153,개인차가 있겠지만 재밌게 봤음,,,,,,
154,최고.,,,,,,
155,진짜 잔인한장면 하나 나오지않는데도,,,,,,
156,공포영화가 이정도면 됐지,,,,,,
157,나온당시 봤는데 걍 쩔음 소재나 반전 극의 요소들을 잘 배합시킴..,,,,,,
158,개인적으로 상당히 재밌었다. 호러가 이정도 재밌다면 대만족이다.,,,,,,
159,사후세계를 그린 호러영화. 사후세계탐구는 계속되어야 한다,,,,,,
160,재밌는 영화랄까나,,,,,,
161,지금껏본공포영화중 몰입감 최고2010년에보고 2020에   그때 기억이 남아다시봄   긴장감도있지만 배경음악도 무서움ㅋ 진짜 최고의공포영화,,,,,,
162,대박 이런 공포물 완전좋다.. 약간 코미디도 있으면서 마지막엔 진짜 충격먹었다 너무 재미난다!!! 이런 비슷한 영화 또 없을까,,,,,,
163,재밌어요.끝나고 기립박수를 치고나왔어요.,,,,,,
164,진짜 숨어있는 공포영화의 수작,,,,,,
165,볼만함,,,,,,
166,존나 무서운영화 귀신은안나오지만 살인자의살인하는장면이 많이 무서운영화중 단하나의 공포영화!!!,,,,,,
167,어떻게 하면 사람들이 공포를 느낄수있는지 잘 파악한 영화 그에 걸맞는 연출력,,,,,,
168,영화 진짜 소름돋고 무서웠다. 마지막 반전은 더욱..,,,,,,
169,"이 영화의 교훈 ""졸음운전하지말자!!!""",,,,,,
170,할머니 미쳐버리는 장면부터 진짜 몸에 소름돋았어요 재작년 수학여행 갔다가 숙소에서 기대 안 하고 대충 틀었던 건데 여태 본 공포영화 중 제일 기억에 남습니다... 심리적 공포가 진짜 너무 인상깊었습니다 줄거리는 사실...,,,,,,
171,다시봐도 정말 최고...,,,,,,
172,끔찍한 악몽을 꾼 듯한 느낌,,,,,,
173,생각없이 봤는데 재밌다 잘 만든 영화,,,,,,
174,스릴있고 재밌음 ㅋㅋ 아빠 엄마 졸웃기네,,,,,,
175,"끝내주게 무섭고 깔끔하게 끝나네요보고난 뒤 감상평은""넘 재밌다""입니다",,,,,,
176,졸음운전 공익광고 블랙코미디가 마음에 듬.,,,,,,
177,난 이렇게 간단하게 즐길수있는 공포 영화가 좋더라,,,,,,
178,혼자 보고 생각했을때보다 리뷰 2,,,,,,
179,너무 재밌고 무섭고ㅋㅋㅋ 보길 잘했다,,,,,,
180,이정도면 잘만들어진 영화라 생각해요  아주오래전에 봤었는데 최근다시 봤는데도 무섭더라고요,,,,,,
181,역대급 핵꿀잼 호러 명작 몇 번을 다시 봐도 재밌다ㅎㅎㅎ,,,,,,
182,분위기가 진짜 왠만한공포영화들 이상으로 음산하고,,,,,,
183,대작....추천합니다!,,,,,,
184,저예산 인거 감안하면 최소 8.5이상은 돼야함,,,,,,
185,마지막30초를 위해서 끝까지봐야된다..오늘 잠 다잤다..ㅅ.ㅂ 지린다,,,,,,
186,예전에 엄청 재밌게 봤습니다. 그 후 이런 류의 스릴러 물이 많이 나왔죠.,,,,,,
187,보는 내내 긴장과 허탈함이 반복되다가 엔딩을 보고나서는 이해가 되었고. 조금 쓸쓸함이 남아돌아 보고 나서도 가끔 생각이 나는 영화. 뭔가 애잔하달까..,,,,,,
188,분위기를 굉장히 공포스럽게 잘 연출했다. 영화를 끝까지 다 보고 나면 오싹하고 소름이 끼친다.,,,,,,
189,어렸을땐 벌벌 떨면서 봤는데 지금 보니까 왤케 웃기지 ㅋㅋ 가족들이 다 나사하나씩 빠져있는듯..,,,,,,
190,이야 생각없이 보다가 레알 꿀잼이다.  의외로 중간중간에 대사 받아치는 거나 전개방식 연출도 돋보인다.  그리고 배우들의 호연들에 더 몰입감이 들고 암튼 반전도 괜찮고 강추다.   다시 좀 다르게 리메이크 현대판으로...,,,,,,
191,이승과 저승의 갈림길에서,,,,,,
192,통쾌한 복수가 시작된다  마지막에 그냥 끝낫으면감독 개때릴뻔,,,,,,
193,재밌어요. 긴장감도 적절히 있고.. 그냥 킬링타임용으로 보기에 아주 적절한 영화네요ㅋㅋㅋ,,,,,,
194,평점이 좀더 높았으면 하는 바램으로 10점갑갑한 케릭과 이해안되는 내용때문에 보는중간짜증이 나긴했지만..깔끔한 마무리로 재밌게봤습니다...,,,,,,
195,비슷한 패턴의 영화가 많은 탓에 반전이 너무 쉽게 예상되는 것이 흠이다,,,,,,
196,신경을 슬금슬금 긁고 조이는 심리공포. 그럭저럭 지루하진 않다.,,,,,,
197,충분히 재밌게는 봤는데,,,,,,
198,다른건몰라도 공포분위기 짱임 내생에 최고무서웠던 영화임 진심,,,,,,
199,영화 내용중에 어머니 죽을때가.. 참 골때리는 상상력...ㅋㅋㅋㅋ,,,,,,
200,최근 홍수처럼 나오는 영화중에 수작으로 뽑겠다..영화내내 몰두 할수 있는,,,,,,
201,별점 8.5가 적당한 스릴러 수작,,,,,,
202,내가 손꼽는 공포미스테리영화 디아더스,,,,,,
203,명작입니다~ 인시디어스,,,,,,
204,고어영화 매니아임 고어장면은 많이적으나 내용이 많은 이유를 다룸 교훈도있는것같고 볼만함 이상고어영화 매니아였음,,,,,,
205,두고두고 생각나는 명작.,,,,,,
206,궁금했던 엔딩까지 긴장감이 느슨해지지 않는구나..,,,,,,
207,무섭진않고 코믹한부분도많음ㅎ킬링타임용으로갠찮음,,,,,,
208,2012년 보았던 영화중 손에 꼽을 정도입니다. 전혀 새로운 반전형식에...ㅇ간만에 10점 주고 갑니다.,,,,,,
209,마지막에 충격.귀신영화였나?이런걸 한번에 없애주는..영화이해못하는초딩들이 불쌍..,,,,,,
210,꿀잼이네 평점10점 줄라고 댓글담,,,,,,
211,이종 카페에서 추천받아봤는데 진짜 반전 소름돋네요..충격이..어케 가족으로 이런반전영화를,,,,,,
212,피한방울 보여주지 않고도 지독하게 무서운 영화.,,,,,,
213,,,,,,,
214,,,,,,,
215,스릴 있었고 반전이 생각보다 괜찮았다. 근데 화면이 꼭 70 80년대 영화 보는 느낌. 배우들 분위기도 그렇고.,,,,,,
216,끝 없다는 것을 공포로 만드는 영리함,,,,,,
217,옛날 스릴러를 좋아한다면 최고의 영화,,,,,,
218,공포영화를 좋아한다면 반드시 봐야하는 영화!,,,,,,
219,이런 공포영화 좋아함 보는내내 긴장감 최고,,,,,,
220,끝까지 생각하게 하는 영화인거 같다. 나중에 영화 해석을 한번 찾아보기 버란다.,,,,,,
221,영화가 끝나면 아기 엄마 이름이 뭔지 부터가 궁금해질것이다,,,,,,
222,ㅋㅋ반전에 웃기고 재미난 공포조성에 꿀잼,,,,,,
223,신선하고 재밌고 무서웠다 마지막에 생각도 못했네,,,,,,
224,알고보면 명작이고 모르고보면 이도 저도 아닌 막장영화,,,,,,
225,악몽의 기묘한 기분을 영화로 옮긴 듯한,,,,,,
226,예전에 이거 꽤 잼있게 봤었는데 소재가 상당히 신선했슴,,,,,,
227,반복되는 공간.한정된 인물임에도 몰입하게 만들고 공포스러운 분위기를 만드는 기술이 탁월하다.저예산 작품이라고 하는데 2편이 나오기는 힘든 결말인 듯,,,,,,
228,아 이런썅 괜히새벽에 봐가지고 영화볼때는 그리안무서웟는데 자꾸 생각나고 여운남네 ㅡㅡ 잠어떻게자노,,,,,,
229,그동안 반전영화랑 공포영화를 많이봤고 비슷한 무서운 이야기도 많아서 사이사이에 주는 힌트로 결말을 어느정도는 예측할 수 있었음 하지만 비슷한 소재의 경험이없던 10년전에 본다면 충분히 놀랄만한 영화,,,,,,
230,초반 억지스러움. 속 터지는 답답함. 결말은 괜찮으나 초중반의 찝찝함을 벗어 던질수 없는 영화,,,,,,
231,재밌게본영화^^한6번은본거같네요,,,,,,
232,오래전 재밌게봤던기억이난다 인시디어스보다가 린샤예아줌마어디서봤는데했더니 이영화,,,,,,
233,스릴러 영화를 많이 봐서 그런지 반전은 쉽게 예상할 수 있었다. 하지만 짧고 강렬하게 풀어나간 영화 흐름이 좋았다.,,,,,,
234,생각보다 괜찮은 영화였네요. 볼만하네요,,,,,,
235,아줌마가 더무섭다 끝에 단발머리보고 좀 웃겼다.반전은 예상가능,,,,,,
236,ㅋㅋ 다들 이영화보고 멘붕하셨나.. 평점이 왜이럼..ㅋㅋㅋ새벽에 저젖러대로..,,,,,,
237,진짜 끝까지 봐도 별거 안나오는데 존나 소름끼친다. 매드니스볼때 그기분,,,,,,
238,은근히 섬뜩하고 기괴하며 무엇보다 흥미를 제공해주는 공포영화,,,,,,
239,ㅅㅂ 이거 보고 잠도못잤음 존나무섭네 히바.. 한 1주일동안 잠재대로못잠,,,,,,
240,절때 혼자 보시마셈.ㅠㅠ,,,,,,
241,혼자 불끄고 봐라 그냥 질질싼다,,,,,,
242,공포를 느끼는 사람의 심리를 잘 파악한 듯. 저는 정말 좋았음.!,,,,,,
243,믹케인에 홀딱 바져서 봤었지.ㅋㅋㅋㅋ난 재밌었다 진짜.,,,,,,
244,정말 요런 영화 어디없나요? 넘 사랑합니다 더로드 . 평점 올리고 싶다!,,,,,,
245,죽이네 ㅅㅂ.ㅋㅋㅋㅋㅋ,,,,,,
246,PMP로 세시까지봤는데 무서워 할머니댁갈때 이런길 가는데 무서워서 가지도 못할꺼같,,,,,,
247,리뷰보고 세세한 내용을 알았다. 재미없었단 사람들을 이해할수없다.,,,,,,
248,결말론자들의 평점폭락과는 달리 정말로 숨이 가빠진 공포에 대한 감사또 감사,,,,,,
249,지금까지 본 최고의 공포영화중 최고.. 가벼우면서도 무겁고. 우스우면서도 무섭다.,,,,,,
250,간만에 시간 가는줄 모르고 볼 수 있었던것 같아요.,,,,,,
251,초액기스의 시나리오구성!,,,,,,
252,상당한 노우하우가 있는 영화~,,,,,,
253,시나리오의 승리,,,,,,
254,오랜만에 괜찮은 영화였소! 쿠하하하.분위기도 심상치 않고.,,,,,,
255,이 영화는 보면서 이해를 해야지.. 보면서도 이해 못했다면 결국 너님 지능을 탓하셈ㅋ 개봉 당시 봤는데 최고였다~ 지금 이상한 댓글 다는 얼라들은 영화 볼줄이나 아는걸까ㅋㅋ,,,,,,
256,보는 내가 정신이 이상해지는 느낌,,,,,,
257,저예산 호러영화의 교본,,,,,,
258,진짜 최고로 재밌게 봤던 공포영화,,,,,,
259,공포,,,,,,
260,재밌음. 반전도 개인적으로 좋앗음,,,,,,
261,소리까지 이해하면 더 재미있는 영화. 내가 본 최고의 공포영화 중 하나.,,,,,,
262,내생에 최고의 공포영화,,,,,,
263,베스트 공포물 중 하나 좀 웃기기도하고요,,,,,,
264,아무 생각없이 보는 공포영화를 좋아하는 관객은 슬래셔 무비나 보도록. 이런류의 영화는 그 상황에 직접 몰입이 되어야 한다.,,,,,,
265,6 8 10 약간의 피칠갑은 각오해야 함. 스포일러한테 어택당했다 해도 한번은 볼만한 영화임. 그 특이한 암울함이 인상 깊게 남음.,,,,,,
266,이영화는 기존 공포영화들이 주지 못했던 신선한 공포를 관객들에게 선사한다... 공포영화 매니아라면 오히려 이런영화를 더 좋아해야지...ㅋㅋㅋ,,,,,,
267,산만할때 보지말고 밤에 불끄고 몰입해서 볼수있을때 봐봐 ..어른들도 애처럼 처럼 지린다.ㅋㅋ,,,,,,
268,음침한 뫼비우스의 길에 들어선 가족. 분위기가 좋다.,,,,,,
269,B무비 웰메이드,,,,,,
270,다크한줄 알았는데 생각보다 밝네요ㅋ진실게임 잼있음ㅋㅋㅋ,,,,,,
271,나름 괜찮은 영화.우우,,,,,,
272,고전의 괴기스런 스릴러를 느끼고 싶다면 추천한다,,,,,,
273,끝도 없는 목적지를 향해,,,,,,
274,그럭저럭 볼만했어요~,,,,,,
275,모든 일에 결과에는 다 이유가 있었다.,,,,,,
276,그냥 딱 공포 그 외엔 없는 느낌..  가볍게 보기 좋음,,,,,,
277,,,,,,,
278,애비가 아들 못지않은 꼴통이네. 피는다르지만..,,,,,,
279,깔끔한 디저트 느낌 하지만 여운만큼은 메인 요리,,,,,,
280,,,,,,,
281,정말 무서운 영화입니다.마지막에 흑인은 누구였나요?,,,,,,
282,마지막 장면 1408이랑 비슷하네여 재밌어요,,,,,,
283,2003년에 봤으면 더 재미있었을수도..?,,,,,,
284,깔끔하다. 화려한 장식은 없지만 나름 긴장감 있고,,,,,,
285,2003년작 치고 잘만듬 ㅇㅇ 중반부터 지루한면이 있지만 평타는 치는듯 결말은 초중반부터 대충 짐작은 함,,,,,,
286,독특한소재. 분위기조성,,,,,,
287,딱히 쓰레기라 못느낌2003년 저예산영화인걸 알고보면 잘만든 재밌는 영화라 생각,,,,,,
