,content,,,,,,,,,,
34,역대최고의 무서움과 ㅈ같음이 딜미터기를 폭파시키는 영화,,,,,,,,,,
35,둘째딸 불쌍해 ㅠㅠㅠㅠ,,,,,,,,,,
36,나만당할수 없지하고 10점주려다가 너네들 주머니생각해서 진실된 평점을남긴다,,,,,,,,,,
37,아니 님들 진짜 궁굼해서 그런데 알바하면 얼마 받아요? 저도 급해서,,,,,,,,,,
38,장영남씨 연기가 진짜 쩔어요,,,,,,,,,,
39,아진짜 소름 돋아서 혼났어요,,,,,,,,,,
40,1. 외국 엑소시즘 영화 다 짬뽕돼서 나옴.2. 영어+외국어할때 어색해서 손발이 오글거림.3. 아래 누구말처럼 영화를 만들다가 말았나봄.4. 소리만 큰 영화.5. cg처리 너무 티남.6. 엑소시스트영화 흉내는 냈으나...,,,,,,,,,,
41,잘만들긴햇다~~ 사람 들었나놨다하네,,,,,,,,,,
42,둘째는 딸도 아니냐 왜안찾음 ?,,,,,,,,,,
43,장영남 계란말이 먹방 최고!!영화내내 심장쫄낏!!,,,,,,,,,,
44,연기력은 인정..근데 영화가...뭔가....잘가다가  삐끗한 느낌,,,,,,,,,,
45,1위라서 기대하고봤는데.. 노잼;;평점이 왜 8점인지 모르겠음... 중간에 둘째 딸 없어졌을땐 언급도안하고;; 개연성이라고는 1도 없는영화.. 앞에 도축하는 사람도 대체 왜 나온건지 이해 불가;; 평점 알바하나......,,,,,,,,,,
46,재미뿐만 아니라 가족에 대한 소중함도 꺠닫게 하네요,,,,,,,,,,
47,장난하냐 이게 영화냐진짜 어이가없어서..,,,,,,,,,,
48,그냥 빡치고 싶으면 보면됨 .알바들 땜에 돈버림 ..성동일님 장영남님 이야 워낙 연기 잘하시고배성우님 막판에 소름 돋았음.진짜 배우들 연기땜에 1점이라도 준다.,,,,,,,,,,
49,이거 0점 주는 기능은 없나요?,,,,,,,,,,
50,진짜 무섭고 너무 신선했어요ㅠㅠㅠ,,,,,,,,,,
51,재밌다 역쉬 믿고보는 배성우와 성동일ㄹ~~,,,,,,,,,,
52,이영화 재밌다는 사람이 악마다,,,,,,,,,,
53,한줄요약: 악마를 절대 이길 수 없는 설정악마의 능력1. 염력으로 사람 밀처내고 패대기치기 가능2. 핸드폰 사용해서 음성변조 가능3. 화염공격 가능이거는 그냥 밸런스 붕괴다,,,,,,,,,,
54,백윤식 선생님이랑,,,,,,,,,,
55,엄마 계란 먹방 ㅈㄴ 잘해,,,,,,,,,,
56,가족 영화인데 둘째는 왜 안찾는겨?,,,,,,,,,,
57,둘째너무 방치하네 불쌍한 둘째,,,,,,,,,,
58,역시 공포영화가 짱임 ㅎㅎ,,,,,,,,,,
59,무서운영호 ㅏ잘보는 편인데도 무섭더라구요,,,,,,,,,,
60,시간 순삭...ㅎㅎㅎ 집중도 최고네요,,,,,,,,,,
61,감독이 여기저기서 보고 영향받은건 많은 것 같은데 그냥 그것 뿐이다. 유치하고 헛웃음만 나오는 어이없는 스토리,,,,,,,,,,
62,뭐지....내가 뭘본거지,,,,,,,,,,
63,완전 몰입 쩖 그 악마 씌인 소녀도 연기 너무 잘한다. 연기 구멍이 아에 없음. 다 쩖,,,,,,,,,,
64,허무함의 끝,,,,,,,,,,
65,초반에 좋았는데 갈수록 어리둥절. 결말을 위해서 진행과정을 억지로 끼워 맞춘듯한 느낌.,,,,,,,,,,
66,영화가아니라 똥에가깝다,,,,,,,,,,
67,진짜 보지마세요...믿고 보는 성동일이었는데... 연기는 잘하시는데...진심 스토리며 연출이며...ㅠㅡㅠ,,,,,,,,,,
68,무서우면서 잼나요~~ 내스타일~~,,,,,,,,,,
69,존잼너무재밋어여숫것,,,,,,,,,,
70,성동일 안어울리는 배역맡은줄알았는데 무섭게 잘봤고 스토리가 결말은 좀아쉽지만 흥미진진했음 추리하는재미도있고,,,,,,,,,,
71,절반은 귀 막고 봄.. 배우들 연기가 진짜 오짐,,,,,,,,,,
72,나름재밋엇음 나는~~,,,,,,,,,,
73,겁나 재밋네 ㅋㅋㅋ 진짜 내가 좋아하는 스타일,,,,,,,,,,
74,가족들 연기 진짜 리얼함. 막내아들조차도 빠져든다,,,,,,,,,,
75,둘째가 제일 불쌍 ㅜㅜㅜ,,,,,,,,,,
76,초딩이 만든 막장 영화같네요,,,,,,,,,,
77,둘째좀 찾아주고..너무 많은것을 담으려했음한국영화 특유의 영화감성인지 모르겠는데분위기 전환점으로 코믹을 넣었고종교적인 내용이 담겨있어 신부님의 숭고한 희생을의미하는 장면으로 엔딩도 나오고여래저래 드라마 공포 코믹 다...,,,,,,,,,,
78,기저귀하고가야겟는데?ㅋㅋ,,,,,,,,,,
79,오랜만에 웰메이드 호러영화 굿굿,,,,,,,,,,
80,둘째 너무 안찾는거 아닌가 싶네요....,,,,,,,,,,
81,한국 공포 영화가 이 정도면 많이 발전한거지 최고다,,,,,,,,,,
82,아 지렷다..진짜..ㅋㅋㅋ,,,,,,,,,,
83,항상 새로운 연기를 보여주는 멋진 배우님들,,,,,,,,,,
84,둘째는 왜케 신경들을 안써주는거임?,,,,,,,,,,
85,장영남배우님 식탁에서 계란말이연기소름....,,,,,,,,,,
86,선우가 샤워할때 현주가 갑자기 나타나서 깜놀함,,,,,,,,,,
87,알바상퀴들ㅋ있음ㅋ진짜,,,,,,,,,,
88,강 둘째가 젤불쌍..무섭고 시간가는줄모르고봤는데 왜 허무하지,,,,,,,,,,
89,결말이 살짝 허무할수도 있지만 그래도 국산 공포영화 중 수작으로 꼽힐 작품임에는 틀림없다,,,,,,,,,,
90,영화보는 내내 한숨만 나오는 영화. 게다가 스토리 연출 전부 엉망. 댓글 초반만 보고 영화보고 이런 영화를 왜 무섭다는지 이해안됨. 영화보면서 화장실 가고 싶은 생각과 담배 피고 오고 싶다는 생각한건 처음이다. 연기...,,,,,,,,,,
91,이런 용두사미가 또 어딨냐... 정말 잘나가다 배성우가 다시 집으로 돌아오면서 모든게 와장창 깨져버린다ㅋㅋ 둘째 딸래미가 제일ㅈ불쌍타ㅋㅋ,,,,,,,,,,
92,백윤식 선생님 영어 발음 때문에 분위기 깼어요,,,,,,,,,,
93,도깨비엔딩 오반데....,,,,,,,,,,
94,방금 보고옴.변신이 아니라  그냥 ㅂㅅ인듯...재밌다는분들 이해가 좀....,,,,,,,,,,
95,초반엔 진짜 스릴있고 재밌었는데 후잔에는 개연성이 좀 떨어지내요ㅜㅜ,,,,,,,,,,
96,나쁘지 않았다. 우리나라 공포쪽은 아쉬운게 초~중반까지는 스토리랑 연기력+공포감까지 잘 전달하는데 그 후에 풀어나가는게 너무 밋밋함..,,,,,,,,,,
97,둘째 현주 좀 챙겨 주세요 ㅠㅠ,,,,,,,,,,
98,뒤에서 계속 나불대던년 아굴창눌러주고싶었습니다. 영화관에서 조용히좀합시다,,,,,,,,,,
99,신선하고 재밌습니다. ㅎㅎ,,,,,,,,,,
100,둘째가 불쌍..합니다,,,,,,,,,,
101,가족들 다 거실에 있을때 둘째딸만 없는데 아무도 눈치못채는게 잴 이상함,,,,,,,,,,
102,소문과는 달리 스토리가 탄탄하지못함..,,,,,,,,,,
103,영화 보는 순간 순간 긴장감이 장난아니였어요ㄷㄷ,,,,,,,,,,
104,여기 이영화 안보고 평점다는 놈들 수두둑하네.... 영화 자체는 한국 공포영화중에 손에 꼽힐정도의 작품인거 같다. 입소문타서 300만을 거뜬하게 넘을듯.... 알바들에 무분별한 10점도 문제지만 특히 다른영화 알바들...,,,,,,,,,,
105,역대급으로 노잼이었습니다. 뻔한 스토리에 필요 없는 구성 요소가 많았던것 같습니다.,,,,,,,,,,
106,스크린제도 악이용 오늘도 한국감독꿈을 꿔봅니다,,,,,,,,,,
107,막 별점 1점은 뭐임..? 나 2시간 내내 입틀막하면서 봤는뎅.. 뒤에 있던 남자들도 다 쫄아서 나갔음.. 진짜 1점짜리 영화 절대아니에용 배우들 연기가 진짜 기가막힘 몰입도도 좋고,,,,,,,,,,
108,8시 35분 조조보고 댓글 남깁니다진짜 중반부부터 소름 돋습니다 너무 무서워요그리고 약간 잔인하고 징그러운  장면이 있으니 주의하고 보세요(전 개인적으로 19금 걸고 더 잔인 했으면 좋았을 것 같네용ㅎ),,,,,,,,,,
109,한국판 엑소시즘을 다룬 영화중에 기승전결이 확실하고 심리적으로 뒤흔드는 배우들의 연기도 너무너무 볼만했습니다. 올해 끝여름에 나온 영화중에 가장 재밌었어요! 한국판 엑소시즘이나 공포영화를 좋아하신다면 추천해요!,,,,,,,,,,
110,매우 참신하고 긴장감 넘치는 호러 오컬트 스릴러. 특히 가족들로 나온 배우들의 연기가 압권임. 배성우에게도 대표작이 될듯. 강추!!!,,,,,,,,,,
111,성동일 침대씬 눈빛연기....소름돋음,,,,,,,,,,
112,중간에 탈주 할 생각 두 번 했음,,,,,,,,,,
113,답없는각본,,,,,,,,,,
114,영화내내 긴장해서 어깨 아파죽겟음.. 연기 정말 굿!!,,,,,,,,,,
115,호불호가갈릴영화긴한데 진짜좀만더스토리가탄탄했으면대박인데  확실히 초중반은지렷다 둘째가  첫째한테다가가  죽여버려이때까진 완전몰입이었는데 그뒤엔머냐 멀리서오는차 차사고낼수있는 또라이급악마를 이렇게잡는다고? 애초에그럴거...,,,,,,,,,,
116,얼마전에 본 암전 급은 아녔지만 이 작품도 만만치않은 개연성의 부족이 큰 아쉬움으로 다가왔다. 둘째는 어떻게 되든지 아무도 신경을 안쓰는것 같았고,,,,,,,,,,
117,둘째는 가정에서도 왕따인가 무섭기는 개무서웠는데 스토리는 뭔가 막장을 달리네요 개인적으로 검은사제들이 더 나았던것같아요,,,,,,,,,,
118,백윤식은 왜나온건지 의문이듬..,,,,,,,,,,
119,둘째만 생각나네,,,,,,,,,,
120,둘째딸이 제일 불쌍...,,,,,,,,,,
121,진짜 이게 영화냐조올라스토리 전개부터 CG까지하나도 건질게 없다,,,,,,,,,,
122,1점주기도 아까워요 ㅋㅋ 평점보고 믿고 왔다가 성동일배우까지 점수깍아내리네요 댓글 알바 믿지마세요 진짜 말이 너무 안되요 ㅋㅋㅋㅋ,,,,,,,,,,
123,와 이걸 2시간동안 집중한걸 허무하게만드는 영화..,,,,,,,,,,
124,진심 인생의 최악의 영화였음.사자보고 나니까 이거 진짜 몰입감 1도 없고 그냥 재미없었음,,,,,,,,,,
125,개 조잡함....이 영화 볼바에 걍 떡볶이 사드셈...,,,,,,,,,,
126,이건 정말 가치가없다. 이건 진짜 아니였습니다.,,,,,,,,,,
127,광대 평점조작단에 속았었는데 평점까지 변신 시킬줄은 몰랐네,,,,,,,,,,
128,와 최고  꼭보세요  ㅠㅠㅠ후회안해요,,,,,,,,,,
129,악마가 가족으로 변신해서 가족하나하나를 의심하게 만드는게 좋았음. 근데 너무 엔딩이 급발진,,,,,,,,,,
130,만들다가 감독이 투자자랑 싸워서 뒤집어 엎은 느낌,,,,,,,,,,
131,내 허비한 주말의 두시간과  돈이 더 공포인 영화,,,,,,,,,,
132,성동일님 연기력,,,,,,,,,,
133,연기를 너무 잘해서 무서웠어요ㅠㅜ 밥먹는씬 진짜 소름.. 재밌게 잘 봣습니다!,,,,,,,,,,
134,댓글 알바하면 얼마받죠? 그리고 차는 왜터진거야? 나 이해가 안돼네? 내돈은? 하…,,,,,,,,,,
135,백윤식님 영어대사 연습 좀 더하셨어야;; 그리고 필리핀부분에서 몰입도가 확 떨어짐.이 부분빼고는 정말 좋았음. 연기는 물론이고 미술부분도 신경많이 쓰신거 같음. 호불호 갈릴수 있고 공포 호러쪽 좋아하시면 돈 안아까움...,,,,,,,,,,
136,절대보지마세요 저희 집 앞에 폐가가 더 무서울듯,,,,,,,,,,
137,와 진짜 너무 무서운거 아냐 ㅠㅜ 중간에 망치들고 확 앉을 때 간떨어졌음. 책임지세요,,,,,,,,,,
138,초중만은 진짜 재밌었는데 후반이 아쉽네요,,,,,,,,,,
139,평점 처음 달아봄 이런 쓰레기영화 오랜만에 봄 평점보고 알바 많다는거 실감함 90년대 공포영화보다 못함 처음엔 괜찮게 나가다가 둘째딸 지하 장면에서 ? 혼자 왜?? 꿈이 아니라 진짜? 그 이후로 모든것이 ???감독은...,,,,,,,,,,
140,이거 네이버평점 개사기임 절대 보려도하지마셈  답없음 ㅋㅋㄹㅇ,,,,,,,,,,
141,분노를 틈타 악마는 인간을 지배한다.,,,,,,,,,,
142,겁이 많아서 너무 무서웠어요. 그래도 재밌어요,,,,,,,,,,
143,절대절대 다신 이런 종류의 영화도 안볼겁니다,,,,,,,,,,
144,초반에는 좀 긴장되고 무서울랑 말랑하는듯했는데 중후반부 갈수록 노잼에다가 뻔해지는 스토리... 영화관 가서 볼 영화는 아닌듯.... 걍 티비에서 무료로 틀어주면 보세용 여러분,,,,,,,,,,
145,배우님들 연기가 진짜 대박이에요  맨처음에 나온 소녀 연기하신분 진짜 연기 너무 잘하셔서 기억에 계속 남고,,,,,,,,,,
146,나 조감독인데!! 100번 넘게 보고 또 봐도 재밌네!내돈 주고 또 볼줄이야! 장영남 밥상 보다가 지릴뻔!,,,,,,,,,,
147,스토리힘이  중반이후에 너무 떨어짐,,,,,,,,,,
148,개연성도 없고 뭐 스토리도없고올해 최악의영화,,,,,,,,,,
149,제목 변신 말고 벼ㅇ신으로 하면 딱 일듯인생 최악의 영화 어이가 없어서 말문이 막히는 영화,,,,,,,,,,
150,너무 뻔한 클리셰 덩어리..,,,,,,,,,,
151,진짜 0점 주고싶다 영화 중간에 나가고싶은적 처음이었고 끝나자말자 사람들 입에서 전부다 똑같은 소리나왔습니다 진짜 보러가지마세요 나만당할순없지 하면서 주변사람들한테 추천하지마시고요 진짜 노잼에다가 무서운거 일도없고 ...,,,,,,,,,,
152,근 10년간 본 영화중에 최악.리얼 염력 인랑을 걸렀는데 이걸 못고른게 최대 실수다..,,,,,,,,,,
153,둘째는...? 영화는 재미 있었습니다.,,,,,,,,,,
154,니코밴 누가안했음??,,,,,,,,,,
155,외국오컬트영화 흉내에 개연성없는 결말까지하품유발영화였다,,,,,,,,,,
156,연기력 오짐 ㅠㅜ 몰입햇어요~~검은사제들은 강동원이 쥔공이면 이건 사탄이 쥔공 ㄷ ㄷ,,,,,,,,,,
157,첫 시작 1분만 좋았던 영화,,,,,,,,,,
158,인생최악의  ㅆ ㄹ ㄱ  영화  이게 15세라니  너무 더럽고  가족을  주제로  찍지말아야  상업영화를  만들었다  토나올꺼  같아서  도중에 나옴  절대  보지마세요  ㅜ ㅜ,,,,,,,,,,
159,최악의 한국영화임!!!,,,,,,,,,,
160,공포영화 잘보는데 초반에 좀 무서웠음 ㅋㅋ 영상도 약간 섬뜩하고 분위기도.. 결말은 별로,,,,,,,,,,
161,초반 8 중반 9 후반 1점,,,,,,,,,,
162,재미있었는데 뭔가 아쉽네요,,,,,,,,,,
163,알바들 더럽게 많네ㅡㅡ 아니면 영화보는 눈이 더럽게 낮은건가? 영화 전개가 할말이 없게 만드는데.... 귀신들린연기만 좋고,,,,,,,,,,
164,제발 보지마세요 .부타드립니다 돈아까워요,,,,,,,,,,
165,긴장감은 있으나 개연성은 없다.,,,,,,,,,,
166,좋은배우분들치곤 너무나도기대이하였습니다....댓글알바가진짜 잇는거군요 좋은평많아 더확신하고보았는데  영화보고돈아깝다는적은 처음입니다.. 공포영화가아니라 어이없어 실소가나오는영화였습니다 ㅠㅠ 참고로 저는공포물잘못보는데...,,,,,,,,,,
167,배우들의 연기는 좋았으나 스토리가 너무 허술합니다.하나만 꼽자면 백윤식배우님이 마닐라에서 한국으로 제자를 도우러 왔는데 구마도 못하고교통사고로 병원신세지는 허무한 스토리를넣을 분량으로 스토리구성을 더 보완했으면 어땠...,,,,,,,,,,
168,옆집이야기,,,,,,,,,,
169,중간중간 허술한 부분이 있지만 너무 무서워서 뛰쳐나오고 싶엇음...,,,,,,,,,,
170,재미 1도 없어서 너무 돈 아까워요;,,,,,,,,,,
171,대체 뭘 전달하려는 영화인지... 시간과 비용이 아깝다.,,,,,,,,,,
172,아니 평점 무슨 빽이래요? 난 살면서 이 정도로 허접한 영화 진심 처음 봄. 내용 전개 분장 연기 발음 어쩜 하나같이 핵망... 평점도 처음 남겨 봄 어이없어서 충격적임,,,,,,,,,,
173,최악중에 최악. 감독 은퇴해라.,,,,,,,,,,
174,아니 어떻게 처음부터 끝까지 무서울수있죠?? 이때까지 본 공포영화들은 무서운것도 아니라는..ㅠㅜ,,,,,,,,,,
175,기대안하고 봣었는데 볼만했어요엔딩은 조금 허무했음,,,,,,,,,,
176,초반에 몰입감 쩔었고 후반에 좀 허무한 부분이 많았지만 무섭고 잼 있게 봤습니다,,,,,,,,,,
177,계란말이 먹는 씬 ㄷㄷ 연기 잘하네,,,,,,,,,,
178,보다가 화나더라...,,,,,,,,,,
179,둘째는 왜 안 찾아....,,,,,,,,,,
180,이런일이  일어나서는 안돼요,,,,,,,,,,
181,초반 지루중반 오 재밌네막판 ㅋㅋㅋ 개연성 박살 가족대처 반전 다예측가능하고 ㅋㅋㅋ 강제감동 으하,,,,,,,,,,
182,별로..절대 보지마셈,,,,,,,,,,
183,배성우 쓰러진거 발견됐을 때 개소름,,,,,,,,,,
184,현주가 제일 불쌍함 ㅠㅠ,,,,,,,,,,
185,해피엔딩이길 바라면서 봤는데 딸과 배성우가 너무 안타깝다 ㅠ배성우는 끝까지 희생만 한듯 해서 마음이 아팠던 영화. 공포와 감동,,,,,,,,,,
186,치열하게 만든 티가 여기저기에 묻어있는 잘만든 호러영화. 너무 재밌게 잘봤다.,,,,,,,,,,
187,둘째는 버려지고 대사 각본 완전별로; 무서운것보다 약고어만 있어요.배우들 연기랑 연출이 너무아까울정도; 대사가 거지같은데 배우들이 어떻게든 살리려하는게 보임. 아 그 성동일 (악마)가 작은딸 찾으려 부엌둘러보다 확 ...,,,,,,,,,,
188,v둘째는 왜케 신경들을 안써주는거임?,,,,,,,,,,
189,쌍욕나오는영화. 개연성도없고 ssi발 그냥 감독 면전 대고 쌍욕 태바가지로 날려야하는 영화. 알바 평점들 진짜 쓰래기다. 별점 반개도 아까운.,,,,,,,,,,
190,검은사제들이 얼마나 잘만들어졌는지 깨닫게 되는 영화. 중반부 부터 개연성이 하나도 안맞음. 특히 옆집 얘기는 왜 나온거며 백윤식과 외국인은 왜나온거에요....? 평점에 낚여서 심야영화로 봤다가 같이본 사람이랑 싸웠음...,,,,,,,,,,
191,정확히 영화보는데 시계만 8번봤다,,,,,,,,,,
192,하....근래본 영화중에 최악!!!!,,,,,,,,,,
193,돈 주고 보지 마셈 비추함,,,,,,,,,,
194,진심 심했음 뭔 이딴 영화가; 위 알바들 적당히 합시가,,,,,,,,,,
195,갈수록 화가나는 영화,,,,,,,,,,
196,중반부까지는 재미있는데 후반부 들어서 결말이 별로였음,,,,,,,,,,
197,난해해... 난해해...,,,,,,,,,,
198,막내 트라우마 어쩔꺼냐,,,,,,,,,,
199,벤투가 혼자 다할꺼면 필리핀에서 신부는 왜옴?,,,,,,,,,,
200,중간에 없었어도 아무 상관없었을 장면,,,,,,,,,,
201,진짜무섭게잘밧는데 둘째딸왜안찾음?ㅋㅋ장례식이라도 하고끝내야지 너무급하게마무리한듯?근데 개무서움 ..게속귀막고봄ㅜㅜ,,,,,,,,,,
202,뭐 그냥 그럭저럭임...,,,,,,,,,,
203,영화가 너무 뻔하고 촌스럽다..,,,,,,,,,,
204,둘째가 이뻣는데 가장 고통스럽게 죽네..여튼 처음부터 끝까지 재미있게 관람하였습니다.,,,,,,,,,,
205,끝까지 놓칠수 없는 긴장감. 배우들 연기갑. 한국에서 쉽게 연출할 수 없는 주제를 아주 잘 풀어낸 영화.,,,,,,,,,,
206,배우들 연기들은 최고지만 스토리는 별로,,,,,,,,,,
207,둘째딸 싸가지없긴했지만 제일불쌍하긴했다..,,,,,,,,,,
208,소름돋을정도로 연기력들이  대단하십니다,,,,,,,,,,
209,롯시에서 8 시꺼보고 10시에 나오고 쓰는 후기 변신이 아니라 OO 맞네요.. 개연성도 없고 외국신부는 왜나오고 등장인물은 답답하고 둘째는 외면 받고.. 하..ㅜㅠ 보면서 무섭다는 느낌보다는 하.. 왜 어디선가 봤던...,,,,,,,,,,
210,내가 너희를 구원해주겠다 .보지마라.~킬링타임도 아깝다.,,,,,,,,,,
211,나만 죽을수 없다  이건가.... 다들 댓글이 왜이래....,,,,,,,,,,
212,안 무섭고 재미 없는 영화,,,,,,,,,,
213,집을 벗어나 찜질방이나 숙박업소로 가면 되는건데 집을 고집하는 억지 설정이 아쉬웠음. 차라리 집 밖을 나갈 수 없다던가 하는 장치라도 있었으면 좋았을텐데.. 그래도 소재는 참신하고 연기력도 좋았음.,,,,,,,,,,
214,마무리가 흐지부지되는 느낌. 그나마 배우들 연기가 좋아서 무난하게 봄,,,,,,,,,,
215,와.. 엄마 밥 먹는 장면 진짜 잊혀지지가 않음막 엄청 무서운 장면은 아닌데 뭔가 소름 돋음..요 근래 본 영화 중 제일 시간 안 아까웠음한번 더 보고 싶다..,,,,,,,,,,
216,내 평생 처음으로 영화보다 욕했다. 엉성한 구성,,,,,,,,,,
217,진짜 재미없습니다. 와이프랑 봤다가 둘다 욕하며 나왔네요,,,,,,,,,,
218,웬만한 영화 다 재밌다고 하고 보는데 이건 진짜 아니었다.. 너무 뻔한 전개였고 필리핀 장면은 왜 나온건지 이해불문... 갑자기 교통사고 뭐냐고.. 갑툭튀만 너무 많고 무섭지도 않았다... 그냥 진짜 고어물 영화,,,,,,,,,,
219,초중반까지는 진행도 매끄럽고 스릴있었는데 후반부로 들어서니까 전개가 와장창...,,,,,,,,,,
220,옆집에한마디하러가는데사람뼈랑 십자가거꾸로되잇는걸보고도 그냥 들어가는게이해가안가고웃겼당재밌었음!!,,,,,,,,,,
221,ri개노잼 이걸 본 내가 OO이다,,,,,,,,,,
222,중간에 경악을 금치못할 장면이 있는데 계속 생각나네요 ㅠㅜ 임산부는 절대 보지마세요.,,,,,,,,,,
223,음 그렇게 재미있진않아요 무섭지도않고 많이기대하고봤는데 그냥 그럭저럭입니다,,,,,,,,,,
224,아니 여기 진짜 알바랑 관람객들 구분이 안가네ㅠㅠ 개봉날 아침 7시30분에 조조로 보고 댓글 남기는데 보는 내내 가슴쫄리고 무서웠습니다ㅠㅠㅠ 무서운거 못보시는 분들은 보지마세요.,,,,,,,,,,
225,근래 본 영화중 최악개인적으로 진짜 일도 안 무섭고 재미 감동 액션 일도 없음반전이 주는 약간의 희열감이 있었지만 휴 이 영화 진짜 에바,,,,,,,,,,
226,성동일이나 장영남의 소름끼치는 빙의 연기나 섬뜩한 연출이나 미술,,,,,,,,,,
227,진짜 올해본 영화중 역대급,,,,,,,,,,
228,혼영했는데 뒤에 있던 남자가 소리를 질러서 그게 더 무서웠음ㅜㅜ,,,,,,,,,,
229,재미있었으나 둘째가 불쌍한듯,,,,,,,,,,
230,한국영화의 한계를 봐서 그닥,,,,,,,,,,
231,영화 초중반 흥미진진 결말이조금 아쉽지만 볼만하네요.그리고 제발 영화보면서 속닥 거리지좀 말아요.시끄럽고 영화몰입방해되요.영화보는 중에 왜이리 떠들죠?영화볼땐 다른사람도 생각합시다.제발,,,,,,,,,,
232,내가보기엔 진심 리얼 삼류영화임 ㅋㅋㅋㅋ 처음에만 깜짝깜짝 놀래키지 가면갈수록 스토리 개연성 OO없고 뜬금포 개많음 ㅋㅋㅋㅋ 결론은 그냥 보지마셈 제발 진짜 보지말라고 극혐이라고요 ㅠㅠ,,,,,,,,,,
233,배성우 웃을때 개깜짝놀랬네 진짜,,,,,,,,,,
234,분노하지말자 사탄이 가장 좋아하는 거래,,,,,,,,,,
