,content,,,,,,,,,,,,,,,,,
66,오늘 아침에 보고 왔습니다.감독이 자기가 천재라고 착각하며 심각하고 뭔가 있는 척 예술영화인 척하며 찍은 중2병 같은 영화. 너무 심오해보이려고 해서 오히려 유치하기까지 합니다. 예전에 싸이월드에 흔했던 허새 가득한...,,,,,,,,,,,,,,,,,
67,감독이 존나 신난게 느껴지는 영화,,,,,,,,,,,,,,,,,
68,정상적인 사람이 147분동안 정신병에 걸려볼수있는 정신병 간접 체험 영화. 단순한 공포 영화를 찾는거라면 보지 말라고 강력히 권고할 수 있다.,,,,,,,,,,,,,,,,,
69,상실의  고통과  불안으로  몸을  가눌  수  없을 때  어쩌면  정상에서  한바퀴  돌아버린  세상이라도  날  따뜻하게  받아준다면 .  처음엔  변태적  발상과  연출이 신선했는데  산산조각난  마음을  표현...,,,,,,,,,,,,,,,,,
70,주인공들이랑 같이 스웨던 광신도 체험한 기분,,,,,,,,,,,,,,,,,
71,나쁘지는 않은데 추천드리긴 힘들어요. 확실히 대중적인 영화는 아니네요. 공포영화라기 보다는 다큐멘터리에 가깝습니다. 꼭 보시려거든 친한 사람과는 관람하지 마시고 혼자 보러 가세요.,,,,,,,,,,,,,,,,,
72,공포보다는 기분나쁜 코미디,,,,,,,,,,,,,,,,,
73,감독의 정신상태가 역대급이네요!!,,,,,,,,,,,,,,,,,
74,재밌게 보긴 했는데 이런영화를 보는 사람들이 더 늘어나선 안됨,,,,,,,,,,,,,,,,,
75,자연과의 조화를 따르던 고대 인류를 만난 현대인들의 공포를 다룬 느낌이랄까 감독의 쇼트 구성과 밝은 마약같은 이미지의 느낌들이 계속해서 남는 작품,,,,,,,,,,,,,,,,,
76,기대했던 것 이하였습니다. 집단광기를 주제로 한 다른 영화의 클리셰적인 요소를 그대로 따르고 있었습니다. 주인공 그룹들이 행동이 이해가지 않아 개연성이 부족했던 것 같습니다.,,,,,,,,,,,,,,,,,
77,절대보지마라 돈 아까우면,,,,,,,,,,,,,,,,,
78,호흡이 길지만,,,,,,,,,,,,,,,,,
79,도대체 무엇을 보여줄려고 했는지 모르겠음,,,,,,,,,,,,,,,,,
80,소재 딱히 신선하지않음. 원래는 원시인이었던게 그냥 스웨덴으로 바뀌었을 뿐 그냥 뻔함. 그런의미에서 연출은 기가 막혔던거 인정. 그 얼마 없는 이야기에 뭔가 있어보이게 만들어줬으니. 역겨운 장면 쓸때없이 많고 끝부분...,,,,,,,,,,,,,,,,,
81,어떤 곳에 소속감을 갖아야만,,,,,,,,,,,,,,,,,
82,아무리 그로테스크해도 음악과 연출로 커버한다,,,,,,,,,,,,,,,,,
83,이 영화는 스웨덴에 고소당해야한다진짜 중간에 영화보다 토할뻔함정신병걸릴뻔스웨덴에 고소당해서 지구상에서 없어져라,,,,,,,,,,,,,,,,,
84,유전만큼은 아니었지만,,,,,,,,,,,,,,,,,
85,내 살다살다 이렇게 드럽고 기분 나쁜 영화는 처음보네요 절대 보지마세요 잔인하고 기이하고 그냥 아주 참....,,,,,,,,,,,,,,,,,
86,호불호 너무 너무 갈릴 영화. 유전이 정말 내 스타일이다 싶으신 분들만 보세요 ㅋㅋ 저도 유전 좋아했는데 이건 더 충격적이네요. 그래도 감독색깔 뚜렷하니 좋아요.,,,,,,,,,,,,,,,,,
87,현장감이 굉장한 영화. 드립이 아니라 진짜 마약한 것 같은 영화.,,,,,,,,,,,,,,,,,
88,감독이 진짜 변태임 유전에선 청각으로 긴장을 조성했고 미드소마에선 시각으로 긴장을 조성함,,,,,,,,,,,,,,,,,
89,사람 기분나쁘게 하는데 도가 텄다 앞으로 계속 이런 영화를 내주면 좋겠다. 오직 이 감독만 가한 재주,,,,,,,,,,,,,,,,,
90,이영화는 원시신앙의ㅈ같음을 다넣었음 근친/난교.마약.인신공양 그걸 가능케하는 집단가스라이팅/집단세뇌. 영리한인물들은 인신공양으로 쉽게 죽이고. 어리석고 자아도취만을 잘하는 인간들만 모아놓고 그딴게 집단의 안정적인 모...,,,,,,,,,,,,,,,,,
91,서스페리아 급으로 기분 나쁘지만 이게 더 불쾌함. 고어틱한건 헬보이에 준한다.,,,,,,,,,,,,,,,,,
92,토할거같고 불쾌해요...,,,,,,,,,,,,,,,,,
93,"영화 감독 데이비드 린치 - ""나는 이 영화를 분석하려는 생각을 포기하고  보았다. 올해 가장 영리한 영화로 뽑고 싶다""",,,,,,,,,,,,,,,,,
94,보다가 중간에 나왔습니다.. 시작부터 늘어지는 전개에 예상 그대로 진행되는 줄거리.. 그저 기괴한 사운드와 영상만으로 독특함을 추구하려 하지만 불쾌하기만 하고 무섭거나 신선한 느낌은 전혀 안 듭니다...,,,,,,,,,,,,,,,,,
95,감독이 공포의 본질을 정확하게 건드렸어요. 오랜만에 제대로 된 공포물 본 것같아요. 더 무서운건 실제 과거에 저런 마을이 있었고,,,,,,,,,,,,,,,,,
96,유전을 재밌게 본 나로써 이 영화가 너무 재미있었다.. 하지만 확실히 호불호가 갈릴듯,,,,,,,,,,,,,,,,,
97,플로렌스 퓨 연기는 단연 최고다 정말잘한다,,,,,,,,,,,,,,,,,
98,요앙원에서 남은 일생을 보내며 죽는 노인보다 모두가 지켜보는 높은 절벽에서 떨어져 죽는 노인의 죽음이 더 값진 죽음일까?  그것은 신념과 죽음 이후에 대한 믿음에 대한 차이이다 일반 사람이 사이비에 빠지게되는 과정을...,,,,,,,,,,,,,,,,,
99,멀리서 보면 희극 가까이서 보면 비극,,,,,,,,,,,,,,,,,
100,감독의 의도는 알겠지만,,,,,,,,,,,,,,,,,
101,화사하면서 끔찍하고,,,,,,,,,,,,,,,,,
102,기괴한 느낌이 강한 영화입니다.,,,,,,,,,,,,,,,,,
103,관람 전에 어느 정도 마음의 준비가 필요하다. 생각 없이 보러 갔다가 멘탈 탈탈 털리고 나왔다. 핰ㅋㅋㅋ,,,,,,,,,,,,,,,,,
104,영상미 자체는 좋네요,,,,,,,,,,,,,,,,,
105,개인적으로 유전을 재밌게 봐서 보고 왔는데 전편보다 숨겨져있는 표현들 찾는 재미가 있었어요. 호불호 갈린다는 평 듣고 갔는데 완전 극호입니다 추천이에여,,,,,,,,,,,,,,,,,
106,이 영화보고 구역질이 나서 저녁도 걸렀습니다. 한시간 동안 속이 울렁거렸고요.... 고어는 원래 그런 맛에 보는 거지요.,,,,,,,,,,,,,,,,,
107,보고 나서 정신이 너무 피폐해졌어요...배경음악부터 스토리,,,,,,,,,,,,,,,,,
108,영화 보고 왔는데 하~아~ 하~아~ 밖에 기억이 안 난다ㅋㅋ,,,,,,,,,,,,,,,,,
109,무섭다기보다 소름끼치는...,,,,,,,,,,,,,,,,,
110,3시간 인줄도 모르고 봤음 몰입도 장난아님나도 축제에 참여한 기분보는도중 울렁울렁한 기분을 잊을수가없다능,,,,,,,,,,,,,,,,,
111,최고 썸남잊는데 도움됨,,,,,,,,,,,,,,,,,
112,북유럽 스타일의 지옥이 궁금하다면,,,,,,,,,,,,,,,,,
113,감정선을 따라가면 무섭다,,,,,,,,,,,,,,,,,
114,기빨리고 나온 느낌ㅠㅠㅠ,,,,,,,,,,,,,,,,,
115,홍보를 공포영화로 하지 말았어야..,,,,,,,,,,,,,,,,,
116,와....진짜 내가 뭘본거지.... 고통스럽지만 끝까지 보고싶게 만드는 묘한 매력의 영화,,,,,,,,,,,,,,,,,
117,거의 얘넨 마약상이야 별 약들이 다 있네,,,,,,,,,,,,,,,,,
118,비위 상해요. 뭘 먹이는거야,,,,,,,,,,,,,,,,,
119,안본 뇌 삽니다.  아 영화보니까 이 말조차 고어스럽네.. 대체 왜 봤지 내가,,,,,,,,,,,,,,,,,
120,솔직히 이거 찍은 감독은 지가 뭐 잘났다고 생각할 것 같은데.. 평점들 보면 기대하는 사람들 있을텐데 그냥 미친사람들 과 정상인 ,,,,,,,,,,,,,,,,,
121,적당히 해야지.. 참...,,,,,,,,,,,,,,,,,
122,내가 아무리 수많은 영화를 봤지만 이영화 만든 작각 감독 연출가 이런걸 연기한 배우들 모두 미쳤다 돌아도 한참 돌았나보다 남는건 이거 만든 사람들 돌아도 완전 돌았네 라는 생각뿐,,,,,,,,,,,,,,,,,
123,정상적인 사고방식을 가지신분은 보지마세요. 정신 피폐해집니다.;,,,,,,,,,,,,,,,,,
124,소방관씬이 제일 숨막힘 브금 색감 구도 표정 울음소리까지 완벽하게 머리속에서안지워짐 ㄹㅇ트라우마걸릴거같음 나머지는 쏘쏘함,,,,,,,,,,,,,,,,,
125,개인적으로 그렇게 재밌게 못 본 영화.. 호불호가 확실히 갈릴 거 같고 처음부터 끝까지 텐션이 똑같고 지루한 영화. 고어틱하며 영화의 장면이 울렁거리는 게 많아서 다 보고 나왔을때 속이 울렁거렸습니다...,,,,,,,,,,,,,,,,,
126,(호러팬) 재미없음. 한명씩 사라지는데 이상해하지도 않고논문으로 쓸정도면 정상이 아닌마을이란건 잘알것같은데.개인적으론 그냥 호러 고어물로 가버리지 이도저도아닌듯.,,,,,,,,,,,,,,,,,
127,또라이감독이 만든 미친영화!,,,,,,,,,,,,,,,,,
128,이게 재밌다는 사람을 이해할 수없다. 스킵없이 끝까지 본 내가 레전드,,,,,,,,,,,,,,,,,
129,10년 된 영화 더 워커맨을 봐라. 이 영화가 대놓고 베꼈다. 그런데 10년 영화가 더 낫다. 이건 너무 나간 영화.,,,,,,,,,,,,,,,,,
130,감독 포트폴리오를 본 기분이지 좋은 영화를 본것같진 않다. 연출도 좋고 감독만의 작품 분위기는 살렸지만 영화 자체는 유전때보다 복선도 얕고 개연성도 떨어졌다. 그리고 자궁에 대한 남예술가들의 지겨운 집착은 언제 사라...,,,,,,,,,,,,,,,,,
131,돈주고 역겹고 메스꺼운 영화볼거아니면 보지마세요 내용 너무 뻔하고 음향,,,,,,,,,,,,,,,,,
132,신안으로 여행가지마라 이 영화처럼 된다. 다단계하는 친구의 꼬임에 넘어가면 벌어지는 이야기를 잘 담은 영화다 강추! 오랜만에 연락온 친구가 교대에서 보자고하면 백프롭니다,,,,,,,,,,,,,,,,,
133,개노답영화감독이 뭘말하고싶은건지,,,,,,,,,,,,,,,,,
134,정신병자체험 영화 돈아까움,,,,,,,,,,,,,,,,,
135,태어나서 본 최악의 쓰레기 영화아무리 감독이 의도하고 싶은게 있어도 이런 쓰레기 같은 영화는 처음이다꼭 이런 영화 재밌다고 극찬하면 영잘알인줄 아는 애들 있던데 그러지 말기를,,,,,,,,,,,,,,,,,
136,집단이란게 이렇게 무서운거구나다시한번 느끼게 된다.이 영화를 보고나서 머리가 아파온다.나의 뇌를 깨워준다.평생 느끼지 못할 그런 기묘한 느낌을 받고싶으신분에게 딱 좋은 영화.,,,,,,,,,,,,,,,,,
137,주인공들과 같이 마약에 취한 느낌.,,,,,,,,,,,,,,,,,
138,아항~  아항~   아항~  아항~~,,,,,,,,,,,,,,,,,
139,유전 보고 감독 신뢰 1000,,,,,,,,,,,,,,,,,
140,또라이영화 보고나서도 골이아프다,,,,,,,,,,,,,,,,,
141,솔직후기ㅡ영화매니아인데 참신함1도 없음.하물며 재미도 없음.끝까지 모하나 나오겠지하고 버텼음.신선함도없고 기분만 더러움.천재감독같은소리하네.이런영화로 천재감독이니모니하니까 지금 영화시장이 이지경이지.유전은 그래도 볼...,,,,,,,,,,,,,,,,,
142,시간.돈.정신 모든걸 잃어버린 영화,,,,,,,,,,,,,,,,,
143,영화전개는 쓸데 없는 고어함과  역겨움이 함께했다 별반개도 아깝다고 느낀것도 간만이다,,,,,,,,,,,,,,,,,
144,괜히 봤다는 생각밖에.. 짜증나는 영화,,,,,,,,,,,,,,,,,
145,재밌다...진짜 짱 ㅠ 백색 공포,,,,,,,,,,,,,,,,,
146,허허 이거 보고 오신 분들에게 작은 응원 드립니다.,,,,,,,,,,,,,,,,,
147,중2병 걸린 감독이 중2병 + 평론가병 걸린관객들을 위해 헌정한 영화 .유치하기 짝이 없는 상징들+ 진부한 스토리역겨운 표현들이  참신한 영상미와 오프닝을 전혀살리지 못한 괴작.,,,,,,,,,,,,,,,,,
148,왜 0점을 못 주게 돼있지. 진짜 최악이다. 내 인생 최고로 구역질 나는 영화였다.,,,,,,,,,,,,,,,,,
149,아 정말 기분 드럽다보지마세요,,,,,,,,,,,,,,,,,
150,서스페리아의 백야 버전을 보는 것 같았어요.,,,,,,,,,,,,,,,,,
151,아리 아스터 팬이라면 지금 가세요.,,,,,,,,,,,,,,,,,
152,이상한 영화.. 베드신 개웃김,,,,,,,,,,,,,,,,,
153,공포라지만 다큐에 가까운 오컬트 영화. 뻔한 헐리우드식 전개가 아닌 게 색다르지만 그래도 뻔함. 이런 영화는 어차피 주인공들이 거의 다 죽을 거라는 걸 알기에 식당하다. 굳이 2시간 40분의 긴 러닝타임이 필요했을까...,,,,,,,,,,,,,,,,,
154,이 영화는 쓰레기 입니다.,,,,,,,,,,,,,,,,,
155,난생 처음으로 보다가 영화관에서 나오게 된 영화. 이걸 보고 긍정적인 감정을 느낀 사람은 진지하게 정신과 가야됨. 선을 넘는 바람에 유전에 비하면 망작.,,,,,,,,,,,,,,,,,
156,사이비 관점vs일반인 관점. 처음에는 일반인 관점이었다가 점점 사이비 세계로 빠져드는 내 자신을 발견...  여주 또한 어느 순간 춤추다 즐거워하고 마지막 장면에 미소짓고 끝나는 이 의미는 이미 종속되어 이성적 판단...,,,,,,,,,,,,,,,,,
157,스웨덴 정부는 이딴 쓰레기를 보고도 가만있냐,,,,,,,,,,,,,,,,,
158,가족공동체의 공포. 전작도 그렇고 아리에스터 이사람은 안전하고 서로 의지하는 집단의 공포를 아주 찝찝하게 만드는데 천재적인 능력이 있다.,,,,,,,,,,,,,,,,,
159,보다 나왔음. 앞으로도 이런영화를 안보는 나로 살아가고싶다.,,,,,,,,,,,,,,,,,
160,개노잼에 보는 이를 불쾌하게 할 뿐인 영화. 내가 보면서 졸았던 영화는 이게 최초였다. 진짜 중간에나가고 싶었다.예술성도,,,,,,,,,,,,,,,,,
161,신선하지도 않고 소름이 끼치지도 않고 쓸데 없이 잔인하기만 함.. 스토리도 엉성하고 디테일도 개판. 유전을 아주 재밌게 봤어서 기대가 컸었는데 이 영화에 들인 돈과 시간이 아깝다,,,,,,,,,,,,,,,,,
162,초반은 지루하나 갈수록 몰입감은 있음....정신병 걸릴것같은 영화,,,,,,,,,,,,,,,,,
163,"이 영화를 제대로 이해할 수 있는 사람이 얼마나 될까? 당연히 말도 안되는 미친 상황을 조금씩 받아들여가며 마을 안에 남아있는 사람들... ""말도 안돼. 나라면 당장 뛰쳐나왔을 거야!"" 하지만 결국 대...",,,,,,,,,,,,,,,,,
164,재미가 있다없다를 떠나 호불호가 극히 갈릴만한 영화네요.나는 정말 최악의 영화고 누구도추천하고싶지않네요.정말 기분나쁜 영화,,,,,,,,,,,,,,,,,
165,여자주인공 바지가 너무 짜증난다ㅋ,,,,,,,,,,,,,,,,,
166,ㅋㅋㅋ유전때 감독이 마니 참았네 ㅋㅋ와 엥간한거 마니봤는데 이건 좀 쎄네  ㅋㅋㅋ단체정신병원갔다온  느낌,,,,,,,,,,,,,,,,,
167,유전보다 느린 호흡으로 완벽한 결말을 향해 달려간다.,,,,,,,,,,,,,,,,,
168,아니 공포는 둘째치고 뭔 의미인지 모르겠다긴장감은 1도 없고 개인적으로 최악의 영화다 솔직히 평점이 지금 7점이나 나온다는게 놀라울 따름,,,,,,,,,,,,,,,,,
169,이게무슨...진짜 지루하고 개노잼 잔인한것도 별로 무섭지도않고 그냥 미친놈들 사이비단체같음,,,,,,,,,,,,,,,,,
170,어지간하면 이런 글 안 남김. 태어나서 딱 두 번 째임. 이 영화는...완전 OOO기 시간 낭비 지대루인 영화. 메시지,,,,,,,,,,,,,,,,,
171,엉덩이 장면은 완벽하나 남주의 특정부분이 초라해서 일점 낮춰 9점,,,,,,,,,,,,,,,,,
172,멘탈이 약한 사람은 보지마세요.,,,,,,,,,,,,,,,,,
173,충격적인 영화.. 이런 영화는 처음이었다..,,,,,,,,,,,,,,,,,
174,아리 에스터도 피할수없는 소포모어 징크스,,,,,,,,,,,,,,,,,
175,내 취향엔 맞지만 남에게 추천하긴 어려운 영화,,,,,,,,,,,,,,,,,
176,연출 괜찮고 OST도 괜찮고(특히 강강술래 이후부터),,,,,,,,,,,,,,,,,
177,이감독 영화는 사람이 어떻게 피폐해지고 망가지는지 잘보여준다,,,,,,,,,,,,,,,,,
178,어떤 믿음을 2시간 30분 동안 그저 보여준다. 믿든지 말든지는 관객의 마음.,,,,,,,,,,,,,,,,,
179,사탄의 영화 같았다. 좀 심한데??,,,,,,,,,,,,,,,,,
180,이영화를 보고 코로나사태에 왜 스웨덴이 집단면역이라는 희대의 방식을 채택했는지 알것같았다 노인들을 치료하지 않는  이유도,,,,,,,,,,,,,,,,,
181,진지하게 감독 정신상태가 의심스럽다,,,,,,,,,,,,,,,,,
182,감독이 생각하는 컬트와 비주류,,,,,,,,,,,,,,,,,
183,기억남는건 베드신과 해머,,,,,,,,,,,,,,,,,
184,유전 너무 재밌게 봤는데 역시 유전 감독 ㄷ,,,,,,,,,,,,,,,,,
185,별루... 전작에 비해 의미는 뭔가 많이 있는척 하는거 같은데 너무 지루함,,,,,,,,,,,,,,,,,
186,호불호 갈리겠지만 초반부 연출에 감탄하고 후반부는 템포가 느린 느낌은 있지만 분위기에 압도되는 영화였습니다.,,,,,,,,,,,,,,,,,
187,영화보는거 좋아하고,,,,,,,,,,,,,,,,,
188,1. 토 나오는 상상력. 2. 공동체 의식이라는 개념을 더럽히지 않았으면. 3. 0점은 못주나봐요... 어제봤는데 아직까지 힘들어요 ㅠㅠ,,,,,,,,,,,,,,,,,
189,호불호가 갈린다고? 절대적인 불호다. 예술에 심취해 미치면 도달하는 두가지 양상이 있는데 하나는 위대한 예술가이며,,,,,,,,,,,,,,,,,
190,사이비 종교의 역겹고 더럽고 추악하고 잔인한 모습을 보여줘서 영화 보는 내내 굉장히 불편했다.. 그리고,,,,,,,,,,,,,,,,,
191,영화보고 ㅈ같아서 예고편 봤는데 예고편 장면 영화에 생략된 거 엄청 많음 고어스러운 거 가짜티나서 하나도 안 무서움 여기 호평 댓글 무조건 알바임 처음중간끝 너무 재미없어서 관객 지치게 함 개노답 영화 수어사이드 스...,,,,,,,,,,,,,,,,,
192,갑자기 스웨덴이 가기 싫어졌다.,,,,,,,,,,,,,,,,,
193,사탄보다 사람이 무섭다-,,,,,,,,,,,,,,,,,
194,무슨일이일어나고있는거야하는동안 영화가 끝남,,,,,,,,,,,,,,,,,
195,공포영화인데 장면 하나하나가 아름다워서 더욱 기괴한 느낌,,,,,,,,,,,,,,,,,
196,두 시간이 놀라울 정도로 빠르게 지나간다. 예상 가능한 결말로 향해가지만 한 장면도 뻔하지가 않다.,,,,,,,,,,,,,,,,,
197,유전보다 특이하지만 무섭진 않다,,,,,,,,,,,,,,,,,
198,싸이코+도라이+사이비+포르노+정신이상 영화 남녀 성기 다러내고 뭘 말하려고 하는지공포감이라고는 0,,,,,,,,,,,,,,,,,
199,147분의 미친축제. 문득 나의 평범한 삶이 소중하다고 느껴진다,,,,,,,,,,,,,,,,,
