,content,,,,,,,,,,,,,
23,가능한지 아닌지의 운명을 정하는건 자기의 몫이잖아?,,,,,,,,,,,,,
24,10점밖에 못 준다는게 참..인터스텔라 보고나서의 감동보다도 더 훨씬 진한..감동을 느꼈습니다. 화려한 cg필요없이 완벽한 색감.. 아 할말이 없네요 인터스텔라.. 그 이상입니다 정말,,,,,,,,,,,,,
25,미국 영화는 현재 나오는것보다 옛날영화들이 더재미있는거 같다,,,,,,,,,,,,,
26,난 고작 몸을 빌려줫을 뿐인데. 넌 꿈을 빌려 줬잖아. 캬... 수 십번을 봐도 명작.,,,,,,,,,,,,,
27,유전자로 모든것이 평가되는 세상을 아주 잘 보여준 SF명작. 이게 진짜 사이언스 픽션이다.,,,,,,,,,,,,,
28,재개봉 혹은 리메이크가 시급한 영화입니다.,,,,,,,,,,,,,
29,런닝머신 뛸때  밝혀질까봐 완벽히 뛰고 숨어서  헉헉거릴때 ..캬...,,,,,,,,,,,,,
30,많은 것을 느끼게 해 주는 영화.,,,,,,,,,,,,,
31,인간의 영혼에는 유전자가 없다.,,,,,,,,,,,,,
32,16년전 이 영화가 만들어 졌다. 그리고 16년이 지난 지금 이 영화는 우리에게 엄청난 교훈과 감동을 주고 있다. 이것은 과연 무엇을 의미하는 것일까?,,,,,,,,,,,,,
33,처음에 이게 머냐 라고 봤는데... 어머... 대박.. 완전 대단하던데?,,,,,,,,,,,,,
34,"일상의 가운데서 인간의 무한한 가능성을 느끼게 해주는 영화 ""난 되돌아 갈 힘을 남기지않아서 널 이기는거야""는 정말 명대사",,,,,,,,,,,,,
35,제롬 모로우의 목에 걸려있던 그 은메달은 그의 마지막 순간,,,,,,,,,,,,,
36,모든 일의 결과를 재보고 섣불리 나를 판단해서 일이 불가능할거라 생각해왔던 것을 후회한다,,,,,,,,,,,,,
37,이 영화를 이제 보다니..!!,,,,,,,,,,,,,
38,말로 다 할수 없는 감동이 있었던 영화인 것 같다,,,,,,,,,,,,,
39,요즘 sf시장이 잘못되어가고있는걸 깨닫게 해주는 영화   비주얼이 좋으면 1류 비주얼이 나쁘면 b급 sf영화에 그래픽이 들어가지않으면 독립영화 흥행도 비주얼순으로 ... 재개봉 되라,,,,,,,,,,,,,
40,좋은 영화...하지만 태아의 유전자까지 수정할 수 있으면서 제롬의 다리는 고쳐줄 수 없었을까??,,,,,,,,,,,,,
41,믿는 대로 된다 꿈에 대한 확고한 믿음으로 노력한다면 꿈을 이룰 수 있다는 희망적인 메세지 감동적이예요 요즘에 미래가 불안하고 답답해서 부정적인 생각이 떠올랐는데 다시 한 번 굳은 마음 가져봅니다,,,,,,,,,,,,,
42,빌린사다리 혹은 위장자 라고 표현하는게 생명기술이 발달한 우리의 미래를 보여주는것만 같아 씁슬했다,,,,,,,,,,,,,
43,넌 다시 바닷가로 되돌아갈힘을 남겨뒀지만 나는 되돌아갈 힘을남겨두지 않았어 나는 무엇하나에도  최선을 다했을까,,,,,,,,,,,,,
44,내 인생의 영화. 인간의 진정한 가치는 무엇인가?,,,,,,,,,,,,,
45,되돌아갈 힘을 남기지않는다... 왜 나는 항상 회피적이었던걸까,,,,,,,,,,,,,
46,진한감동 인간애 노력 열정 최고!,,,,,,,,,,,,,
47,연기,,,,,,,,,,,,,
48,인간의 한계를 미리 규범하는 것,,,,,,,,,,,,,
49,이 영화를 보고 어떤 말을 써야할지 생각 못하는 나의 뇌도 유전이겠지,,,,,,,,,,,,,
50,20년이 지난 지금 봐도 명작이다...,,,,,,,,,,,,,
51,죽기전에 꼭 봐야할영화.깨달음이라는 표현을 감히 쓰기도 부끄러울만큼많은것을준다,,,,,,,,,,,,,
52,바다를 헤엄치는 둘의 모습이 정자같다. 무한한 공간을 오로지 앞을 향해 헤엄쳐 나가는 둘. 사람이 모두 다양하고 불완전한것은,,,,,,,,,,,,,
53,4번 봤는데... 일어날 힘이 없을 때마다 찾아 보는 그런 아름다운 영화,,,,,,,,,,,,,
54,이 영화는 순간순간의 임팩트보다는 깊은 여운으로 승부하는 것 같다. 이렇게 엄청난 여운을 주는 영화를 보는 건 정말 오랜만이다...ㅠㅠ,,,,,,,,,,,,,
55,세상은 가타카를 본자와 보지않은자로 구별된다,,,,,,,,,,,,,
56,가타카 대사하나하나 씬하나하나 버릴게없다,,,,,,,,,,,,,
57,크리스찬 베일의 이퀄리브리엄의 분위기만 비슷한 듯 다른 꿈과 노력에 대한 영화. 선천적인 것도 중요하나 후천적인 노력으로 꿈에 도달하는 인간. 조용하면서 긴장감도 있는 수작.,,,,,,,,,,,,,
58,우리가 진정으로 극복해야 할 두려움은 주변의 의식과 나를 향한 잣대가 아니라 그 시선에 어느새 익숙해져가는 나 자신이 아닐까 싶다. 온갖 장애물로 가득차 있는 삶에서 꿈을 향해 노력하고,,,,,,,,,,,,,
59,누구도 타인의 삶을 결정지을 수 없다. 그 와중에 세 주인공 너무 잘생김,,,,,,,,,,,,,
60,소장하는 영화,,,,,,,,,,,,,
61,흑인.동양인.여자. 빈센트 모두 우주선에 오른 모습이 인상깊었다. 98년에 이런 영화가 만들어졌다니....정말 최고의 영화다,,,,,,,,,,,,,
62,클래식하고 반모던적인 분위기가 마음에 든다. 신 계급 사회가 주는 쓸쓸함과 오래전의 향수를 느끼게 해주는 영화,,,,,,,,,,,,,
63,재밌고 주드로 너무 잘생겼다ㅠㅠㅠ원래 제롬의 결말이 많은 생각을 하게 만든다.,,,,,,,,,,,,,
64,내 생애 본 영화 세손가락 안에 꼽는다..97년작이라는게 믿기지 않을 정도로 세련되고전하는 메시지도 분위기도 그냥 모두 만점이다,,,,,,,,,,,,,
65,소재,,,,,,,,,,,,,
66,2019.08.18. EBS에서 보는 중이신 분? 가타카. 심오하며 깊이있고,,,,,,,,,,,,,
67,극중 배우들의 스펙은 가히 우성인자 다운 아우라입니다. 특히 우마서먼...,,,,,,,,,,,,,
68,인간은 인간을 구성하고 있는 DNA를 뛰어넘는 영혼을 가졌다That's how I did it,,,,,,,,,,,,,
69,내용도 엄청나는데 연기자들 외모가 모두 뛰어나서 보면서 감탄했다,,,,,,,,,,,,,
70,마지막 수영씬은 진짜 잊을 수가 없다....,,,,,,,,,,,,,
71,SF 영화가 아니네. 휴머니즘 영화네요.,,,,,,,,,,,,,
72,최고,,,,,,,,,,,,,
73,신선한 소재에 소름,,,,,,,,,,,,,
74,우마 이쁘다 >.< 난 되돌아갈 힘을 남겨두지않았어ㅡㅜ 의사 우주선타기전..ㅡㅜ,,,,,,,,,,,,,
75,빈센트의 우주를 향한 꿈이 이뤄지는 순간,,,,,,,,,,,,,
76,꿈을 끝까지 지키는 방법 '되돌아갈 힘을 남기지 않는다',,,,,,,,,,,,,
77,누군가의 인생을 바꿀 수도 있는 영화. 빈센트의 열정에 나도 다시 꿈을 꾼다.,,,,,,,,,,,,,
78,이 영화를   볼수있게 해 준  넷플릭스가 정말 고맙다~~,,,,,,,,,,,,,
79,주드 로를 처음 알게 해준 영화. 아직도 기억함. 최고. 그냥 최고.,,,,,,,,,,,,,
80,어마어마한 영화를 봤다,,,,,,,,,,,,,
81,가능한지 아닌지의 운명을 정하는 건 자신의 몫이다.,,,,,,,,,,,,,
82,죽기전에 꼭 봐야하는 명작....,,,,,,,,,,,,,
83,꿀잼 이런게 영화지...,,,,,,,,,,,,,
84,마지막 장면에서 오열했다....ㅠㅠ,,,,,,,,,,,,,
85,2000년도 전에 나왔던 영화라는 점이 놀랍고,,,,,,,,,,,,,
86,소름... 벌써 두번째 보지만.. 정말... 이게 97년도 영화라니....소름.. 지금 현재와 더불어 바로 곧 있을 우리 미래 이야기... 심지어 지금 개봉한다고 해도 전혀 놀랍지 않을 영화..,,,,,,,,,,,,,
87,하... 진짜 이런게 영화구나 싶네요.,,,,,,,,,,,,,
88,놀랍고 신기하고...가까운 미래는 이렇지 않았으면 싶다.,,,,,,,,,,,,,
89,이 영화는 말한다 평점은 그저 수치에 불과하다  하지만 나는 평점 10점을 주고 싶다,,,,,,,,,,,,,
90,최고,,,,,,,,,,,,,
91,이게 진정한 영화이다. 근래 본 영화들 중에 가장 볼만했던 영화였다. 그 시대에 저 생각을 했다는 것이 참 신기한 영화이다. 10점보다 더 높은 점수가 있다면 무조건 줘야하는 영화다!!!!근래 영화다운 영화를 보지 ...,,,,,,,,,,,,,
92,나이가 들어서 다시 보니 제롬에 동화가 많이 되네요.. 은메달 밑으로 내려갈 수 없는 입장과 과거에 사는 사람,,,,,,,,,,,,,
93,몇년전 어릴때 본거와 지금 볼때의 느낌이 많이 다르다 명작은 볼때마다 새롭다. 나라면 운명에 순응하며 살거같은데 빈센트의 의지가 대단하다.의지또한 유전자 선천적이라는데 그렇게 보면 빈센트야말로 우월한거아닌가. 마지막...,,,,,,,,,,,,,
94,소름돋는 장면의 연속이지만 가장 소름이 돋은 것은 빈센트가 우주로 떠날 때 울고 있는 나 자신이었다.. 나는 그토록 원하는 꿈을 내 한계에 가두어 살고 있지는 않았는가..?,,,,,,,,,,,,,
95,아직 고등학생이지만 지금까지 본 영화중 이보다 더 대단한 영화가 없었고,,,,,,,,,,,,,
96,평점이 더 올라야 하는 영화,,,,,,,,,,,,,
97,아주잘봤습니다....주드로의 연기가 자꾸 맴도네요,,,,,,,,,,,,,
98,운명을 정할 수 있는 유전자는 없다. 그러기에 인간은 위대하다.,,,,,,,,,,,,,
99,꿈이 있는 사람이 꼭 봤으면 하는 영화,,,,,,,,,,,,,
100,마지막 장면에 만감이 교차한다. 꿈을 빌렸다는 말이 그렇게 슬프게 되뇌어질지는 생각못했다. 누군가의 꿈을 바라보고 격려해줄수 있는 삶. 나도 그렇게 살 수 있을까.,,,,,,,,,,,,,
101,모든 고정관념과 사회적 통념을 박살내버린 빈센트의 '의지'.  그는 실로 너무 아름다웠습니다.,,,,,,,,,,,,,
102,몇번울 봐도 명작. 영화 한편에 많은게 담겨있다.. 눈시울을 적시고... 가슴은 뜨거워진다,,,,,,,,,,,,,
103,인생영화 등극입니다ㅠㅠ,,,,,,,,,,,,,
104,#NAME?,,,,,,,,,,,,,
105,애초에 정해진 운명따위는 없었다.그리고 모든것을 과학적으로 증명할수 없는 중요한 가치가 존재한다.,,,,,,,,,,,,,
106,와.. 보고나서 눈물나려고 합니다.. 이렇게 감동적일줄이야....,,,,,,,,,,,,,
107,이보다 '크게' 내가 살아온 모양새를 뒤돌아보게 한 영화를 다시 만나게 될까 모르겠다.,,,,,,,,,,,,,
108,정말 최고의 영화다 주제도 신선하다.,,,,,,,,,,,,,
109,98년도 영화였다니 ㅎㅎ 최근에 느끼지 못한 스릴과 주인공들의 열정이 좋았다,,,,,,,,,,,,,
110,여운이 많이 남는다. 열성을 우성으로 바꾸어버린 인간의 의지력 운명은 개척해 나가는 것이라는 걸 다시한번 깨닫게 해준 영화,,,,,,,,,,,,,
111,난 돌아갈힘을 남겨두지않아!,,,,,,,,,,,,,
112,열성과 우성,,,,,,,,,,,,,
113,부적격자 아들을 둔 검사관이 마지막 검사 통과시켜줄 때 눈물이 나왔다. 열성유전자가 꿈을 이긴다는 메세지를 SF장르로 표현한 영화,,,,,,,,,,,,,
114,SF영화가 아니라 철학 영화네. 기술의 발전은 도덕철학의 문제이다.,,,,,,,,,,,,,
115,꿈을 빌린 제롬. 빈센트는 제롬에게 살아갈 이유를 주었고 이제 그 이유가 사라지니 제롬은 흔적없이 사라졌다. / 열정과 노력이 사람의 수식어를 결정한다는 걸 다시 한 번 느꼈다.,,,,,,,,,,,,,
116,인간이란 무엇인가 인간이 가진 힘이란 한계가 없다는것을 말하는 영화이다.마음을 먹은 사람은 무엇이든 할수있고 해낼수있다.꿈을 가진 사람들이 자신과  맞지않는 상황으로 인해 좌절하지않고  강한 신념을 가지고 나아갔으면...,,,,,,,,,,,,,
117,인간이 만든 시스템,,,,,,,,,,,,,
118,어렸을때봤는데 정말 많이 울었습니다. 좋은영화입니다. 꼭 한번보세요,,,,,,,,,,,,,
119,갓무비 에단 호크와 주 드로의 필모그래피를 따라가보자;,,,,,,,,,,,,,
120,나의 인생의 반환점이된 영화,,,,,,,,,,,,,
121,20년 전이라고는 믿을 수 없는 연출이었다 짜임이 너무 좋다,,,,,,,,,,,,,
122,계속긴장되고  또 심오하고 최고,,,,,,,,,,,,,
123,두 제롬의 이야기 모두 좋았다 최고의 영화,,,,,,,,,,,,,
124,최고명작10선에 들만한 명작인듯,,,,,,,,,,,,,
125,내가 널 이길 수 있는 이유는 되돌아갈 힘을 남기지 않아서야,,,,,,,,,,,,,
126,주인공들이 무엇보다 맘에 들어요.,,,,,,,,,,,,,
127,잔잔한데 지루하지 않고 몰입해서 볼 수 있는 영화! 아 그리고 다들 너무 잘생겼음. 개안 가넝,,,,,,,,,,,,,
128,에단호크 진짜 잘생겼다,,,,,,,,,,,,,
129,마지막 소변 검사때 의사? 가 자기 아들 얘기하면서 부적격 적격으로 바꿔줄때 눈물날뻔...,,,,,,,,,,,,,
130,꿈을 이루기에 어느 부족한 부분이 장애가 되지 않는다는 걸 느꼈다. 훌륭한 영화다.,,,,,,,,,,,,,
131,시간이 지날 수록 더 빛나는 영화가 있다. 이영화처럼,,,,,,,,,,,,,
132,에단호크.. 주드로.. 최고의 배우들과..주옥같음 명대사들.. 화려하진 않지만. 모든장면들이 의미가있고 색깔이있다. 최고의 작품,,,,,,,,,,,,,
133,진짜 진짜 진짜 진짜 진짜 진짜 진짜 명작. 눈물 날 뻔 했습니다,,,,,,,,,,,,,
134,에단호크랑 우마서먼 둘이 결혼했었구나.. 중학교때 쌤들이 추천했는데 관심없다 30살이되고 보니 감회가 새롭네요,,,,,,,,,,,,,
135,요즘영화보다 훨씬 나은 역대급 영화,,,,,,,,,,,,,
136,인생은 둘로 나뉜다. 가타카를 보기 전과 후로,,,,,,,,,,,,,
137,난 살면서 이토록 무언가를 위해 최선을 다한 적이 있는가..,,,,,,,,,,,,,
138,과학의 발전에 따른 생명윤리의 딜레마에 대하여 생각할때 빠질수없는 SF영화. 근 25년이 지난 지금 봐도 많은 생각을 하게 해준다. 정말 최고의 영화 그리고 주드로의 지금과는 사뭇 다른 머리숱..,,,,,,,,,,,,,
139,무방비 상태에서 이렇게 훅 들어와야 명작인듯 합니다. 기대 없이 봤는데... 별10개,,,,,,,,,,,,,
140,영화리뷰 처음인데... 무기력한 사람들에게 추천해주고싶다. 현재 내 문제들이나 한계라고 생각했던 모든것들이 아무것도 아닌것처럼 느껴지게 하는 영화였다. 나는 무한한 가능성이 있고,,,,,,,,,,,,,
141,다른 의미에서 유전자의 '한계',,,,,,,,,,,,,
142,인간의 성찰을  영화라는 매체를 통해  전달하는 위대함,,,,,,,,,,,,,
143,완벽한 몰입감 감동 전개 모든것이 휼륭하다,,,,,,,,,,,,,
144,인생 영화 하...ㅠㅠ,,,,,,,,,,,,,
145,이런 생각을 해냈다는게 놀라웠고 90년대에 만들어진 영화라는 것을 알고 한번 더 놀랐다. 정말 상영시간 내내 몰입해서 본 영화. 주드로의 리즈시절을 볼 수 있었던 것도 좋았다.,,,,,,,,,,,,,
146,몇 번을 다시 봐도 매번 경이롭다,,,,,,,,,,,,,
147,모든것이 첨단화 되어가고 우월한 유전자만이 인정받는 사회속에서 내면의 유전은 열등하지만 꿈만큼은 누구보다 우월하고 강력한 한 남자의 멋진 도전기,,,,,,,,,,,,,
148,최고의 SF 영화 였습니다. 정말 감동. 영상이나 음악 등 다른 부분들도 영화의 요소들인 것은 알지만,,,,,,,,,,,,,
149,왜 이영화를 미루고 미루다 지금 보았나싶다. 누군가 인생영화를 추천하라면 이영화를 추천하리,,,,,,,,,,,,,
150,이 영화를 보게 된건 행운이었다.,,,,,,,,,,,,,
151,시간이 지나도 곱씹게 만드는 영화,,,,,,,,,,,,,
152,중학생 때 보고 지금 다시 봐도 세기의 명작,,,,,,,,,,,,,
153,특수효과가 없는 SF영화. 많은 질문을 던진다.,,,,,,,,,,,,,
154,필연적인 운명은 필사적인 한 인간의 의지 앞에서 반드시 거꾸로 흐른다,,,,,,,,,,,,,
155,나도 되돌아갈 힘을 남겨두지 않을정도로 어딘가에 몰입하고 싶다,,,,,,,,,,,,,
156,두말하면 잔소리 최고!,,,,,,,,,,,,,
157,97년도 영화라는 게 믿기지 않는다. 모든 부분에서 요즘 영화를 압도한다는 생각이 든다.,,,,,,,,,,,,,
158,저 높이 있는 별에 이르기 위해당신은 얼마나 최선을 다해 노력 해 봤는지를 물어보는 영화.이 영화를 보고 누군가는 다시 꿈을 꿀것이다.,,,,,,,,,,,,,
159,영화가 전달하고자 하는 메세지를 스토리의 흐름을 잃지 않고 아주 훌륭하게 연출해는 것에 감탄했다. 아이러니하게도,,,,,,,,,,,,,
160,23년전 영화지만 지금 봐도 소름돋네요. 이런게 진정한 명작임.,,,,,,,,,,,,,
161,인간의 의미에 대한 담담한 질문,,,,,,,,,,,,,
162,몇번을다시봐도 진한감동을 주는영화,,,,,,,,,,,,,
163,되돌아갈 힘을 남겨두지 않기 때문에 널 이기는거야 이 대사에서 폭풍 눈물 흘렸습니다...ㅠㅠ 매일 매일 대충 살아가는 저에게 큰 감동이 된거 같습니다.,,,,,,,,,,,,,
164,인생의 지침서로도 손색없는 대작.,,,,,,,,,,,,,
165,내가사랑하는 최고의 영화,,,,,,,,,,,,,
166,명작!,,,,,,,,,,,,,
167,배우와 스토리 너무 좋은 영화,,,,,,,,,,,,,
168,배우들 리즈시절이라 눈이 즐겁고 수저론 유전자론이 판치는 시기에도 걸맞는 작품,,,,,,,,,,,,,
169,인간은 무엇으로 탄생하는가...유전인가 도전인가,,,,,,,,,,,,,
170,운명을 정하는 건 자기 몫,,,,,,,,,,,,,
171,빈센트 들킬까봐 매 순간 조마조마 했다. 그리고 주드로 죽는 장면에서 놀람..,,,,,,,,,,,,,
172,꿈을 가로막는,,,,,,,,,,,,,
173,꿈의 바로 옆에 가면 비로서 꿈이 얼마나 멀리 있는지 알 수 있다 와..,,,,,,,,,,,,,
174,최고의 역작 . 인생영화 중에서도 손꼽을 작품.,,,,,,,,,,,,,
175,돌아갈 힘을 남기지 않아 운명의 끝에 있는 새로운 문을 열어젖힌 빈센트보다는,,,,,,,,,,,,,
176,훔친 인생이냐 개척한 성공이냐?멧 데이먼의 [리플리]와 많이 대조적이다.둘다 같은 흙수저지만 한쪽은 불의와 싸웠고 다른 한쪽은 타협했다. 전반적인 분위기는 조지오웰의 1984와 닮아 있다.비슷한 영화로는 크리찬 베일...,,,,,,,,,,,,,
177,백마디 말보다 위로가 된다. 내 인생은 이 영화를 본 것 만으로 어느정도의 가치를 증명했다고 본다 지구상에서 이보다 대단한 영화는 없다고 생각한다 정말로. 저 먼 나라의 배우가 20년 전에 찍은 영화 대사 하나가 누...,,,,,,,,,,,,,
178,Sf영화가 이렇게 감동적이어도 되는건가요정말 여운이 너무 짙게 남는 영화,,,,,,,,,,,,,
179,난 되돌아갈 힘을 남겨두지 않아서 널 이기는거야. 평생 가슴 한편에 남아있을 최고의 감동과 여운,,,,,,,,,,,,,
180,미친 97년도 영화에 2020년 감상평이 왜케 많아?  머선 일이고,,,,,,,,,,,,,
181,주드로,,,,,,,,,,,,,
182,빈센트가 그토록 열망하던 우주비행이라는 ‘꿈’이 없었다면 아무런 미련 없이 살아갔겠지. 유진과 빈센트의 노력이 너무나도 가상하다. sf의 탈을 쓴 엄청난 드라마 영화... 이토록 울컥하게 만드는 내용일 줄이야.......,,,,,,,,,,,,,
183,23년전 영화임에도 빈틈없는 연출,,,,,,,,,,,,,
184,누가 감히 한계를 정할수 있을까,,,,,,,,,,,,,
185,이 영화가 지루하다거나 재미없다는 사람들의 수준이 궁금하다,,,,,,,,,,,,,
186,내 인생 최고의 영화.인간을 움직이는건 의지이다.,,,,,,,,,,,,,
187,97년작임에도 요즘봐도 몰입도좋고 문제의식도 좋다. 훌륭한 영화,,,,,,,,,,,,,
188,97년도 영화라는 게 믿기지 않을 정도로,,,,,,,,,,,,,
189,내 인생은 나의 것이며 결국엔 오로지 나만의 것이다,,,,,,,,,,,,,
190,왜 이제서야 보게 되었을까... 한순간이라도 빈센트처럼 살아보았던가...,,,,,,,,,,,,,
191,리메이크됐으면... 내 인생 최고의 영화다,,,,,,,,,,,,,
192,삶이 고단할 때 비로소 많은것을 느끼게 해주는 영화,,,,,,,,,,,,,
193,뒤로 돌아갈 힘을 남겨두지 않는다... 천재를 이길 유일한 비밀을 알아갑니다.,,,,,,,,,,,,,
194,꿈과 희망을 주는 SF장르가 있다면 적어도 100년은 0순위에 오를 영화. 운명과 의지에 대한 깊은 통찰력. 원작소설 없이 감독 자신의 각본이었다는 데서 한번 더 놀람,,,,,,,,,,,,,
195,여러분 인생이 달라질 수 있는 106분입니다,,,,,,,,,,,,,
196,나도 빈센트처럼 살고 싶다,,,,,,,,,,,,,
197,인생영화...본영화중 가장 감명깊음,,,,,,,,,,,,,
198,97년작이란게 놀라울뿐...글고 이제야봤다는게 ..,,,,,,,,,,,,,
199,어린 시절 크리스마스 트리에 추억이 얽혀있다면,,,,,,,,,,,,,
200,다른말 필요없고,,,,,,,,,,,,,
201,내 인생 최고의 영화 몇번을 다시 봐도 새로운  영화. 노력은 타고난 재능을 이길 수 있다.,,,,,,,,,,,,,
202,난 되돌아갈 힘을 남기지 않아서 너를 이기는거야같은 열성인자로 동질감을느끼면서 감동의 파노라마를 겪은영화다. 모든 문제점들을 극복하는것은 내 자신에게 달려있고,,,,,,,,,,,,,
203,최고 인간의 한계를 뛰어넘는 노력,,,,,,,,,,,,,
204,꼭 봐야 할 영화. 특유의 분위기를 잊을 수 없는 영화다,,,,,,,,,,,,,
205,SF이지만 있을법한 이야기이고 많은 생각을 하게 해주는 영화예요. 그리고 구성도 탄탄하고 흥미진진합니다. 정말 명작이에요!,,,,,,,,,,,,,
206,딱 이 영화에서만 느낄 수 있는 무언가가 있다. 단지 공상과학영화가 아닌 한 사람이 그 세계에서 살아남고자 했던 이야기가 담긴 영화,,,,,,,,,,,,,
207,97년도 영화임에도 요즘 영화들보다 훨씬 퀄리티있고 감동적이네요 명작입니다,,,,,,,,,,,,,
208,이 평점은 정확하다.  영화에  관심있고 탐구하는 자세를 가질때 비로소 찾아가는 것들이랄까 꼭 보시길 추천해려요,,,,,,,,,,,,,
209,정말 정말 후회없는 영화입니다!!!,,,,,,,,,,,,,
210,깔금한 영상속에 속이 꽉찬 연출..인간의 꿈과 존엄을 다시한번 생각케한다,,,,,,,,,,,,,
211,난 되돌아갈 힘을 남겨두지 않아서 널 이긴거야,,,,,,,,,,,,,
212,지금에서야 알게됐는데 재밌네요 마지막 비행선이 날아오르는 장면이 인상깊어요...,,,,,,,,,,,,,
213,와.... 정말 연출과 내용에 놀랍니다. 꼭보세요.,,,,,,,,,,,,,
214,다시보고 또 다시봐도.. 좋은 내용에 대한 얘기들만 하는데 사실 영상과 연출,,,,,,,,,,,,,
215,sf관련된 영화를 하루 한편씩 보고 있는데,,,,,,,,,,,,,
216,내 인생에 최고의 영화가 아닐까 생각든다.,,,,,,,,,,,,,
217,여운이 오래갈 것 같다. 이런게 명작이구나.,,,,,,,,,,,,,
218,미래에 대한 최고의 영화,,,,,,,,,,,,,
219,진짜 최고다..아직도 멍하다,,,,,,,,,,,,,
220,색감도 좋고 얘기하려는 주제도 와닿았다,,,,,,,,,,,,,
221,수저 계급론이 대두되는 시대 타고난 자들과 타고나지 못한 자들의 이야기를 담아낸 영화.니온지 20여년이 되어가지만 몇 번을 봐도 볼때마다 새로운 것들을 배워간다.,,,,,,,,,,,,,
222,한시도 눈을 뗄 수 없다!!  자신을 믿으면 세상이 바뀐다.,,,,,,,,,,,,,
223,시간이 지났어도 좋은 유전자들로 만든 영화는 달랐다.,,,,,,,,,,,,,
224,노력과 의지로 운명을 바꾸다,,,,,,,,,,,,,
225,인생영화 중 하나 입니다.,,,,,,,,,,,,,
226,지금보는중 흥미로움 2부ㄱ,,,,,,,,,,,,,
227,....말이 필요 없음,,,,,,,,,,,,,
228,거의 모든 점에서 영화라는 예술의 정통을 추구한 작품,,,,,,,,,,,,,
229,이런영화를 이제야 봣다니... 정말 명작..,,,,,,,,,,,,,
230,다시보길 잘했음!....,,,,,,,,,,,,,
231,정말 대단하고 감동적이다,,,,,,,,,,,,,
232,이 시대에 이 영화 ..정말 엄청나다 ..분위기 내용 연출력 .뭐하나 흠잡을곳이 없는 마스터피스,,,,,,,,,,,,,
233,대사 하나하나가 주옥같은 명작.. 에단호크와 주드로의 전성기 미모를 볼 수 있는 수작임,,,,,,,,,,,,,
234,자연 그대로는 가공된 그 무엇보다 훌륭하다,,,,,,,,,,,,,
235,19년이나 된 영화인데 요즘 영화보다도 더 감명깊어요진짜 미래에 실현될 것 같기도 하고..근데 마지막에 유진은 대체 왜 자살한건지 궁금해지네요~,,,,,,,,,,,,,
236,왜 이걸 이제야 봤는지 정말 훌륭한 아니 대단한 영화다.,,,,,,,,,,,,,
237,그냥... 봐야댐 이건.. 최고 명작,,,,,,,,,,,,,
238,아이언맨이나 어벤져스 같은 쓰레기 영화보지 말고 이런 영화를 봐라.,,,,,,,,,,,,,
239,돌아갈 힘을 남겨두지 않을만큼 열심히 한적이 있던가 그정도는 해보고 불평하자,,,,,,,,,,,,,
240,인생  최고의  영화. 제롬의 마지막 장면은 늘 ㅠㅠ,,,,,,,,,,,,,
