,content,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
33,이영화는 액션만 봐도 놀라워서 10점 줘야하는데 실제로 철학적으로 잘 만든 영화라 대학 교양수업 때 이영화로 수업하고 논문도 이영화에 대해서 엄청나게 쓰여진다는 사실. 안타깝게도 위쇼스키 형제에서 남매가 된 이후로 ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,20세기마지막 sf문화유산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,인셉션하고 비교하다니.. 외국에서도 인셉션은 매트릭스랑 비교대상으로 쳐주지도 않음. 더 나중에 나왔다는걸 무시하고 그냥 비교해도 철학적 깊이에서 상대가 안된다. 인셉션은 잘 짜맞춘 플롯을 능숙하게 연출해낸 오락영화일...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,최고의영화.... 100번 봤음....,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,난 이 영화가 별로라는 사람들이 혐오스럽다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,말로표현할수없다 진짜 멋있는영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,네오역에 키아누 형님이 아닌 다른 사람은 상상조차도 할 수 없다. 즉 키아누 형님이 네오고 네오가 키아누 형님이다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,What is real?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,뻥이 아닌 진짜진짜 최고의 영화...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,그냥봐라 인간이면. 역대영화 베스트 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,그 당시 획기적인 카메라 촬영 기법,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,전화들좀 빨리 받아라좀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,시뮬라크르 & 시뮬라시옹을 읽어보고 영화를 다시 한 번 봐보라. 전율이 일어날 것이다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,옛날영화인데도 이 영화 뛰어넘는 영화 못본듯 하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,이게 1999년? 미쳤다!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,한 20번은 봤을 거다 아마... 연출,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,유명한 영화는 이유가있는 법이군,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,11점주고싶다 11점왜없어,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2015년에 봐도 멋지네 ㅎㅎ내가 사는 세상은 진짜일까?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,안본사람은 잇어도 한번만 본 사람은 없는 희대의 걸작,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,판타지는 반지의제왕! SF는 매트릭스!! 영원히 전설로 남을 것이다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,몇번을 봐도 정말...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Sf추천 꼭봐야할최고의 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,촬영기법,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,20세기를 마감하는 기념비적 SF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,전후무후할 최고의 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,sf영화의 혁명입니다.워쇼스키남매는 이후로 쭉 내리막이죠.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,나는 매트릭스 시리즈는 도저히 이해가 가지는 않지만 명작을 개인적인 원한으로 평점을 깍는건 안된다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,이걸 어떻게 1999년에 만들었냐? 감독 미래에서 온거 아님?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,진짜 완벽한 영화이다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,아무리 여기저기서 영향을 받았다고는 하지만 액션,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,SF 영화는 매트릭스의 전과 후로 나뉘어 진다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,워쇼스키의 역작이자 넘어서야 할 큰 산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,이 영화를 극장에서 못보고 늦게 태어난 급식충들에게 말한다.  '음와하하하 난 극장에서 봤지롱',,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,철학적 물음과 스릴액션을 동시에 잡아낸 수작,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,시대를 초월한 명작. 17년전 영화라는게 믿어지지 않을정도로  다시봐도 세련된 영화. 브레이드러너와 함께 내 인생영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,매트릭스 그냥 미친영화임,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,일본 애니메이션의 피와 헐리우드 자본의 골격을 가지고 동양사상의 뇌로 버무려진 너와 나의 이야기,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,모든 것을 다 갖추었다. 길이길이 기억되리,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,이 세상엔 스미스요원 같은 주어진 세상에 안주하게하는 암적인 존재들이 많지..2015년 한 해는 나의 노력,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,마스터피스 더이상의 설명이,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,액션씬 이렇게 간지나는거 처음 봄,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,언제봐도 미친듯한 연출과 짱짱한스토리..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,오아시스의 1집이 생각난다. 세계최고의 대뷔앨범인 definitly maby. 노엘갤러거 자신도 1집이 너무 뛰어난 나머지 자신들도 그걸 뛰어넘을 앨범을 만들수 없다했다. 워쇼스키 형제에겐 매트릭스가 그런 작품이다....,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,16년이 지났다. 클라스는 변하지 않는다. 단순 SF 액션물이라고 보면 오산. 많은 물음과 의미를 담는다. 연출이나 액션도 하나도 녹슬지 않았다. 정말 세련미의 극치 최고!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,이 영화는 홀로그램유니버스를 그리고 있습니다. 실제 일부 물리학자들은 우리의 현 세상이 진짜가 아니라고 얘기하고 있습니다. 지금 현재가 진짜인지 가짜인지 분명하지 않으나 진짜와 가짜의 경계와 구별이 모호한 세상으로 ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,철학적 사유와 시각적 쾌감,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,20년도 더 넘었지만 완벽에 가깝다는 말이 맞는 것 같다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,내가 명작으로 판단하는기준:다시볼때 잠이안옴,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,대사 하나하나가 진짜 가관임. 당시 감독이 신내림받고 살짝 미쳐서 만든 영화가 아닐까 싶을정도로. 세기의 명작,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,워쇼스키 최고의 영화!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1999년도 영화라는 것을 감안하든지 그렇지 않든지 간에 정말 어마어마한 영화입니다. 짜릿하고 놀라운 줄거리와 장면들이 계속 나오는 천재적인 명작!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,SF영화로서 최고봉이 아니라. 영화역사상 최고의 영화 아닐까? 스토리의 심오함과 기상천외함. 연출. CG. 액션. 오락적 요소. 뭐하나 빠지는 게 없는 괴물같은 영화.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,우리는 현재 매트릭스 속에 살고있다...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,보는내내 악마에게 영혼이라도 팔고 만든것인가? 라는 생각뿐..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,무슨 장르인지 조차 모르고 사전 정보 전혀 없이 영화관 갔다가 충격 받았음.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,모든 면에서 압도적인 영화였죠...물론 현재도 유효합니다. 이걸 능가할 시나리오가 있을까요.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,매트릭스는 1편이 진리! 이 영화가 개봉했을 당시 엄청났던 사회파장이 아직도 생생함,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,99년도영화지만 아직 우리나라는 이런영화 못만든다 2030년쯤엔 우리도 이런 영화 만들수있을까,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,지금까지도 이 영화를 뛰어넘는 sf는 안나오고 있다 ㅡ워쇼남매도 이거 만들고 기력쇠퇴 ㅡ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,정말 완벽이란 단어가....티끌 하나 없을만큼 완벽하다 절대적인 수준이다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,50번은 봤네요어쩜 이렇게 잘만들었을까,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,이걸 제가 지금 봤다고요? 오늘부로 내 인생영화 매트릭스1로 바뀜ㅋㅋ 진짜 소름끼치게 완벽함저시대때에 저런 멋있고 완벽한 영화가.. 이름은 유명해서 알고 있었는데 이걸 이제서 보다니.. 소름끼치고 너무 멋있고 걍 개...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,이 영화가 99년에 나온 거라는 게 믿어지나? 20년이 지난 지금 딱 이렇게 되어 가고 있다. 어떤 미래학자보다 선견지명이 있었다. 워쇼스키는 천재다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,세계관에 놀란다ㅠㅠㅠ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,최고의 영화 이 영화만 10점받을 자격이 있다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,현실이 되어가는거 같아 무섭다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,이영화에 10점을 주지 않았다면... 영화를 이해하지 못했다는 뜻.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,내인생의 영화.. 보고나서 망치로 얻어맞은 듯 일어나지 못했었다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,무덤까지 가져갈 오직 단 하나의 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,이 영화는 액션도 액션이지만 세계관이 정말 네트워크를 다루는 사람의 입장으로서 소름돋게 한 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,이후에 나온 SF영화는 매트릭스를 빛내줄 뿐...인셉션? ㅋ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,매트릭스가 명작맞네여,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1999년 5월. 지금은 사라진 신사역 앞 시네마천국에서 이 영화를 시사회로 봤다. 그때는 너무 어려서 이게 뭔 소린지는 모르겠지만 엄청나게 멋지고 대단하다는 생각만 들었다. 그로부터 22년이 지난 지금 이 영화를 ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,와.. 영화관에서 봤는데 할말을 잃었다..역시.. 명작은 시대를 초월하는구나..이거 90년대 영화라니지금 영화들보다 훨싸 낫다..여배우 너무 멋있고 키아누리브스도 간지 폭풍이네..후대 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,20세기에 만들어서 21세기 SF영화에 패러다임을 제시한 작품,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,진짜 현실을 향한 지독한 서사,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,무엇을 상상하든 그 이상을 보게 될것이다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,진짜 아무 생각없이 보면 안되는 영화.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,진짜 너무 재밌음. 매트릭스에 비해 지금 영화들이 오히려 촬영기법이 후져진듯. 액션이며... 정말 완벽함,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,이야 벌써17년이나 됐어? 기술은 발전하는데 이런영화가 왜 안나오는지가 의문이네 옛날영화가 어캐더 잘만들어,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,99년도 작품임을 감안해도 엄청난 작품. 워쇼스키 남매의 최고 걸작. 수많은 패러디 장면을 탄생시킨 독특한 카메라 기법. 배경음악도 멋있음.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,매트릭스 시리즈 중 최고,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,감히 매우 충격적인 영화스토리에 충격 연출에 충격 영화 제작년도에 또 충격키아누 리브스 잘생김에 충격 놀라움을 그치지 못하는 완벽 가까운 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,진짜 기대안하고 봤는데 명작들 지금 넷플릭스로 도장깨기중입니다. 괜히 유명한 영화가 아닌거 같아요. 이 영화는 정말로 이 세상 영화가 아닙니다. 키아누리브스의 전성기. 저 선글라스도 구매하고 싶네요. 간지라는게 폭발...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,역사적인 영화에 관람객평을 남기는거 자체가 영광.. 이 이상 완벽한 상업영화를 만드는거 자체가 불가능하지 않을까 한다. 볼거리,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,다시봐도 역시 최고의 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,99년 당시 극장에서 봤는데 그 당시 기준에선 황당한 장면들에 관객들이 어의없는 웃음소리가 자주 터졌다 극장을 나오면서 만화같은 황당한 영화라고 생각했는데 몇달 후 비디오를 빌려서 두번째 보고나서야 이 영화에 감탄했...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,20세기에 만들었지만 21세기를 지배한 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,진정한 명작. 스토리,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,말이 필요한가? 이 명화는 누구나 다 알고 있다 그만큼 최고 라는거지..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,개봉한 지 15년 가까이 지난 이 영화를  뛰어넘는 영화가 아직도 안 나오고 있다. 완벽에 가까운 영화. 다시 볼 때마다 새로운 사실이 하나씩 나와서 감탄을 거듭하게 만드는 영화.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,누구나 한번쯤 막연하게 상상해보는 것을 잘실현한듯,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,그냥 영화가 신기하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,무에서 유를 창조한,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,이영화에 흠잡을데가 있나?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,이영화를 정말 제대로 본다면 흠잡을대가 없다. 정말 최고의 영화.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,레전드 영화 다 . ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,여태껏 가장 많이 본영화~ 보고 또 보고 또보고 또봐도  재밌는 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,16년전 내가 이걸 극장에서 봤었다니하지만 그땐 이해도 안되고 지루 하고 액션씬만 기억에 남았는데 지금 다시보니 우와~  이게 16년전 영화야?  시대를 앞선다는게 이런거 인듯,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,99년에 이걸 극장에서 봤을 사람들이 너무 부럽다 ㅠㅠ 정말 충격이였을듯.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,천재..최고...  이건혁명이었다..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,이천년에도 적수가 없을만큼의 최고의 sf영화 없던걸 창조해낸 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,매트릭스와 터미네이터2 SF 영화에서의 2개의 대작.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,최고인영화.. 평점을매길수준이아님..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,이것이 과연 20세기에 나온 영화가 맞는가?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,인생은 매트릭스를 보기 전과 후로 나뉜다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,매트릭스에 1점 준 새기들은 영화접어라 걍...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,아무것도 몰랐을 때는,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,재미,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,영화가 1999년에 개봉했는데 2020년에 처음부터 제대로 봤습니다 유물로 남겨질 영화네요,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,20년이 지나도 개띵작,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,단언컨대 SF영화의 최고봉.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,크아 엄청나드아아아아,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,상상력의 끝을 봤다. 볼때마다 새롭다.ㅅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,100년이 지나도 촌스럽지 않을 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,와 가상현실을 정말잘표현했따..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,몇 번을 봐도 새롭다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,모든 영화에 흥미를 잃어가고 있던 내눈을 번쩍 띄게 한 작품. 각종 철학과 동화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,이런게 최고지. 설정과 내용과 상상력과 캐릭터와 스토리와 액션 등 모두 최고다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"단순하게 해석이 되지 않는 ""매트릭스""를 단순하게 해석하는 순간 제대로 보인다 !! 그래서 이 영화가 매트릭스이다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,평점들 보니 죄다 10점인데 왜 메인에는 9.36이지??역시 이런 명작에도 관종 OOOO 별점테러 색휘들이 존재하는구만,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,이게1999년에나온영화라니...전세계에나온 모든영화들보다 그래픽이 앞서갔어ㄷㄷ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,새로운 것을 창조하며 만든것이 아니라 기존에  존재하던  모든것들을 맞깔스럽게  맞추었을 뿐이나,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,12세 관람가지만 12세들은 이해못할 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,워쇼스키 형제였을 때 영화... 벌써 20년 됐네. 고작 전화 모뎀으로 인터넷을 연결할때 이런 스토릴 만들다니... 경이롭다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,지금 개봉해도 웬만한 영화보다 훨 재미나는듯..개연성,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,이 영화를 보고 세상밖에나오니 느낌이 다르다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,99년도에 처음나올때 진짜 충격적이였다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,2020년인 지금에서야 이 영화를 제대로 보았다. 인공지능과 4차원 5차원이 나오며 시간과 공간의 개념을 다시 정립해보는 이시점에 99년에 나온 이 영화는 인간의 상상력에서 나온 영화가 아니라는 생각밖에 안든다. 분...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,가끔 이 세계가 진짜가 아니라 가짜일수도 있겠다라는 생각이 든다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,20세기에 출시된 21세기 이상의 테크놀로지,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,이런 영화가 3D로 재개봉한다면 얼마나 좋을까,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,역대 최고의 영화중 하나라고 생각하는 영화~~,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,이 영화를 영화관에서 처음봤다는것에 감사합니다..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,재개봉 덕분에 이 명작을 영화관에서 볼수 있음에 감사합니다. 이걸 1999년 개봉일에 분들은 얼마나 쇼킹했을까,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,이번에 하는건   제봉 인가...  너무 잼 있음...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,20번 이상 본 영화.  어떻게 저런생각을 할 수있을까? 다른 sf영화에 견줄 만한 게 없다.  지금봐도 대단한영화.  미적감각.  의상마저 지금봐도 세련. 진짜 천재야.  시나리오 최고,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,지금이라도 평점 주고싶어서 왔음 말이 필요없지...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,지금이라도 봐서 정말 다행이야 ㅜㅜ 어린왕자 책처럼 볼때마다 새롭고 두고두고 봐야 할 대작 ㄷㄷㄷ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,작품성+볼거리 최고!! 하지만 영화내내 좀 지루한 분위기가 지배함,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,완벽한 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,이 영화 제작시기가 1900년대라는 게 더 소름,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,모든 영화는 10점 만점으로 평가할 수 있다. 단,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,경찰,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,내용의 심오함도 그렇지만 일본만화 식의 액션을 유치하지 않게 이보다 잘 실사로 구현할순 없을 것이다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,영화 속 컴터그래픽만이 90년대 영화인걸 말해줌. 시대를 한참 앞서간 영화 진짜 재밌어,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,지금 ocn으로보고있는데 완전 몰입중이게90년대영화라니..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,20년 만에 다시봐도....역시....,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,매트4 보고 다시 보는 매트1..역시 원작만한 속편이 없우,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,99년도 딱 스무살이던 그 때와 지금 영화는 너무나도 다르게 다가오네요. 우리가 사는 이 세상이 어쩌면 매트릭스 일지도 모른다는 상상을 해봅니다. 지금봐도 엄청나네요.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,말이 필요없다. 지금봐도 오지는데  그 당시는 세기말 분위기도 겹쳐서 더 오졌었지.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,어렸을적 매트릭스는 그냥 재미있던 액션 영화 어른이 된 후에 보게 된 매트릭스는 아름다운 예술,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,문화 황금기였던 세기말을 상징하는 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,이 명작을 내가 2020년에 본게 맞나?? 여러모로 대단,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,알약을 선택한 니오와 같은 사람들이 늘어나는,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,20년이 넘은 영화인데 지금봐도 미래에서 만든것같이 개연성 있고 촬영은 프레임하나 버릴거 없이 훌륭하다..철학과 세계관 오락을 모두 담은 감독이 약빨고 만든 천재적인 작품.... 이 작품이 재미없는분은 단지 오락영화...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,길을 아는 것과 직접 걷는것의 차이,,,,,,,,,,,,,,,,,,,,,,,,,,,,
