,content,,,,,,,,,,,,,,,,
29,프로메테우스를 좋아했던 이유는 기존의 에일리언과 다른 신선함 때문이었다. 여러가지 떡밥들이 상상력을 불러일으켰지만 적어도 이번 커버넌트에서는 엔지니어와 관련된 떡밥들을 해결해주었어야했다.. 1편에서 바로 3편으로 넘...,,,,,,,,,,,,,,,,
30,뻔히 예상되는 반전은 반전이 아니다.,,,,,,,,,,,,,,,,
31,프로메테우스 보다는 재미가 떨어지네요,,,,,,,,,,,,,,,,
32,에일리언보다 데이빗이 더 무서웠다.,,,,,,,,,,,,,,,,
33,지배할 수 없는 악마를 만들었다 멍청한 창조주가,,,,,,,,,,,,,,,,
34,에이리언 좋아했다면 그냥 보세요. 보고 얘기 합시다. 굿굿!!,,,,,,,,,,,,,,,,
35,프로메테우스에서 두동강난 마이클 패스벤더도 잘생겼었지만 역시 풀바디 패스벤더형님은 간지 그 자체..,,,,,,,,,,,,,,,,
36,우주탐사선 승무원씩이나 되면서..뭔 세발자전거 탄 애들도 아니고 뭔일만 터지면 허둥지둥 우왕좌왕에 비명만 질러대냐..어이가 없다- -;;,,,,,,,,,,,,,,,,
37,너무 예상되는 결말이었어요ㅜ 반전도 다 예상됐음,,,,,,,,,,,,,,,,
38,제노모프 네오모프 보다 더 무서운건 따로있다.,,,,,,,,,,,,,,,,
39,프로메테우스보다 좀더 고어틱하고 무서움. 그런데 전작이 더 낫네요,,,,,,,,,,,,,,,,
40,반전은 이미 예상..프로메테우스 세계관 실종,,,,,,,,,,,,,,,,
41,에일리언의 기원이 밝혀지는 순간...,,,,,,,,,,,,,,,,
42,엘리자베스 쇼는 대체 무슨 끔찍한 일 을 당한거지?! Take me home을 왜그리 구슬프게 부르는가? 3편이 갓작이 될거같다.,,,,,,,,,,,,,,,,
43,15세보다는 청불같고.. 근데 15세인데 초딩데리고 오는 빡대가리들은 왜 사는지 모르겠다.. 무섭다고 울고불고 집에 간다고 울고불고... 짜증난다 진짜,,,,,,,,,,,,,,,,
44,15세였다니... 나체 나오고 잔인한데 ㅋㅋ,,,,,,,,,,,,,,,,
45,이게 15세라고? ㅋㅋㅋㅋ 물론 내용은 재밌음,,,,,,,,,,,,,,,,
46,사전심의와 각종 규제 완화를 위해 노력해 여기까지  왔는데 15세 관람가에 피좀 나오고 한다고  예전 시대로 돌아가려 하네요;; 요즘이 인터넷만 치면 다 나오는 세상인데;; 좀 그러지 마세요  애들도 그정도 분별력은...,,,,,,,,,,,,,,,,
47,프로메테우스 재미있게 보고 ,,,,,,,,,,,,,,,,
48,1. 절대 15세 아님. 19세임. 애들 데리고 가지 마세요.2. 에이리언 2편이 생각나는 건 나뿐?3. 스캇옹님 만수무강 아니,,,,,,,,,,,,,,,,
49,1편때문에 기대하신분들은 실망한영화고,,,,,,,,,,,,,,,,
50,A.I가 머리가 자라고 눈물을 흘리며 사랑타령하는 것도 어처구니가 없지만 애초의 인류의 기원을 찾아나선다는 프로메태우스의 대명제는 저하늘로 날려버렸다. 에일리언의 등장도 실소를 터트리고 뜬금없는 외계인의 전멸,,,,,,,,,,,,,,,,
51,병0같은 x의 0신짓 으로 초반 개 별로였는데,,,,,,,,,,,,,,,,
52,평점이 너무 높아요. 인류의 기원 프로메테우스의 떡밥은 그냥 다 버려두고 에일리언 시리즈로 편승하는 건가요? 반전도 쉽게 예측이 가능하고.,,,,,,,,,,,,,,,,
53,프로메테우스보단 훨씬 매끄럽고 재밌었다. 그러나 잔인함,,,,,,,,,,,,,,,,
54,프로메테우스에서 외계 신이 인간을 왜 창조했고 다른 행적이 무엇인지 자세히 묘사하지 않아서 후속작에서 이를 기대했습니다. 상업성을 위해서인지 전작과 큰 연결고리가 없으며  그냥 우주에 떠다니는 터미네이터 영화입니다....,,,,,,,,,,,,,,,,
55,인간의 창조물이 창조주가되어 돌아오는... 정말 이영화 시나리오작가는 대단하다.,,,,,,,,,,,,,,,,
56,기대하고 갔는데 재미는 있는데 뭔가 허무 하달까 이건 사람마다 다른데 에일리언 나오는거 좋아하시면 볼만하고여 그렇지 않고 그냥 아무것도 모르고 보신다면 별로 재미없을지도 모르겠습니다.,,,,,,,,,,,,,,,,
57,별 한개도 아까운 영화.. 엘리자베스 쇼는 AI한테 숙주당하고 죽은게 끝...프로메테우스의 인류의 기원을 알아보려한 기대감은 어디다 던져버렸나?,,,,,,,,,,,,,,,,
58,개인적으로 별로였음 인간을 왜 창조했는지 창조주(엔지니어)를 다죽여서 영화의 철학적 가치를 상실한 느낌... 프로메테우스의 기대를 한순간에 무너뜨림,,,,,,,,,,,,,,,,
59,분명 뛰어난 영화인건 맞는데.. 프로메테우스를 기대했다면 전혀 다른 영화에 실망할 수도 있음. 프로메테우스보다는 기존 에일리언시리즈 느낌,,,,,,,,,,,,,,,,
60,왠일 요새 본 영화중에 젤 잼따,,,,,,,,,,,,,,,,
61,태어나려는 자는 알을 깰지어다,,,,,,,,,,,,,,,,
62,알바들넘많네 심오한프로메테우스에비해 줄거리하나도없지요 다른행성갈려다가 에일리언한테숙주당하기 끝,,,,,,,,,,,,,,,,
63,아침에 조조로 재밌게 봤네요. 다음 편도 기대됩니다.,,,,,,,,,,,,,,,,
64,진정한 창조주는 누구인가.에이리언 시리즈를 다시 정주행하고 싶게끔 만드는 영화,,,,,,,,,,,,,,,,
65,난생처음 본 행성에서 피크닉 차림으로 돌아다니다 감염되는 설정이라니... 노답ㅉㅉ,,,,,,,,,,,,,,,,
66,10년이 지났는데 행성탐험하는 장비는 왜 100년이 퇴보하냐?하이바도 없고 산소통도 하나 없이 탐험하는게 말이되냐? 2천명 목숨 신경끄고 위험비행 하는것도 어이없음. 그리고 착륙선 운전 졸라 못함 ㅡ,,,,,,,,,,,,,,,,
67,방금 보고 나왔네요~ 기대가 너무 컸나요? 실망입니다. 너무나도 뻔한 내용,,,,,,,,,,,,,,,,
68,진지하고 심오한척하다가 대충 마무리짓는 허술한 스토리. 기억에남는 등장인물1도 없고 프로메테우스 수술신같은 명장면도 없고... 쓸데없이 길기만한 실패작,,,,,,,,,,,,,,,,
69,프로메테우스 한번 더보고 보세요.세계관이나 떡밥들도 알고 보면 훨 잼남개꿀잼,,,,,,,,,,,,,,,,
70,프로메테우스를 너무 잼있게 봐서 기대를 했으나..짜임새에서 실패작느낌입니다. 전문적이지않은 개척자들,,,,,,,,,,,,,,,,
71,프로메테우스를 별로라 여겼는데 어제부로 명작이 되었습니다. 임무를 망각한 찌질이 승무원들이 2000명의 생명을 숙주로  들어바치는 영화임. 과학기술과 승무원의 체력과 정신,,,,,,,,,,,,,,,,
72,프로메테우스도 충격적이었는데 이번엔 진짜… 휴 ㅎㅎ,,,,,,,,,,,,,,,,
73,실망스러운스토리. 전우주적인 얘기를 할것같은 분위기를  잡아놓더니 고작 인공지능이라니.,,,,,,,,,,,,,,,,
74,역시 리들리스콧 흠 근데 15세라기엔 너무 잔인한데?,,,,,,,,,,,,,,,,
75,프로메테스 후편이라 봤어요 대실망입니다 설득력이 넘 떨어져요,,,,,,,,,,,,,,,,
76,감독님이 영생을 누렸으면 좋겠다,,,,,,,,,,,,,,,,
77,인공지능+인간 vs 에일리언의 혈투를 바랬지만 스토리상 아직 에일리언은 초기단계라 이해하겠음 깜놀부분 많음모두가 예상한대로 데이빗은  싸이코패스임,,,,,,,,,,,,,,,,
78,에이리언1하고 프로메테우스만 보고 가면 되나요?,,,,,,,,,,,,,,,,
79,5년만에 돌아오다니ㅠ 감동,,,,,,,,,,,,,,,,
80,도대체 평점 10점 쓴사람들이 이해가안되는 영화,,,,,,,,,,,,,,,,
81,역시 에일리언2가 최고다...,,,,,,,,,,,,,,,,
82,지금까지 나온 에일리언시리즈중 단연 수준이하내용도 넘 지루하고 무슨 메세지를 보내려는건지원...쩝하여간 비추중에 비추입니다.,,,,,,,,,,,,,,,,
83,인간을 왜 창조했고,,,,,,,,,,,,,,,,
84,이건 아니지. 프로메테우스 를 에이리언 시리즈로 끌고 가는건..전작의 퀄리티를 단박에 나락으로 떨어뜨려버리네..,,,,,,,,,,,,,,,,
85,상상력 부족이 빚어낸 유혈낭자 대참사.  프로메테우스에서 보여준 우주탐사 인간기원을 찾아 떠난 과학적 사명감은 어디다 갖다 버렸는지. 엘리자베스 쇼 박사는 단순한 생체실험 마루타로 전락,,,,,,,,,,,,,,,,
86,진그러워요 ㅠㅠ십오세노노,,,,,,,,,,,,,,,,
87,약40년전의 에어리언이 낫다. 항상 혼자다니다가 죽고,,,,,,,,,,,,,,,,
88,에일리언 스리즈를 안본건 있지만 스토리가 너무 똥임 아무것도 정보없는 행성에 내려가서 지구인것 마냥 행동하는것이 너무 어이 없고  실수 하는것 또한 너무 의도적으로 하는것이 보임 마지막으로 로봇 세대가 2세대나 벌어...,,,,,,,,,,,,,,,,
89,에일리언 팬으로써 프로메테우스 팬으로써... 대단히 실망... ㅠㅠ 프로메테우스 떡밥들은 다 걍 공중분해되고 그냥 에일리언됨...,,,,,,,,,,,,,,,,
90,이런 영화는 극장에서 봐야지 제대로 진가를 발휘할 수 있습니다,,,,,,,,,,,,,,,,
91,전 편 프로메테우스 를 꼭 보시고 상영하시길 바랍니다. 전편에 대한 지식이 없으면 조금 난해할수 있는 줄거리이고 고어한 장면이 많이 나옵니다.,,,,,,,,,,,,,,,,
92,프로메테우스 떡밥 회수 하기에는 부족하네요,,,,,,,,,,,,,,,,
93,종합: 19세 등급 영화 ,,,,,,,,,,,,,,,,
94,엘리자베스 쇼 박사 나오나요?  캐스팅 배우엔 있는데... 정작 영화엔 안나옴,,,,,,,,,,,,,,,,
95,15세라 그런지 보호자 있으면 초딩도 볼수있었던거 같은데 진짜 초딩쉐리덜 시체영화 첨보나 비명 꽥꽥 지르고 진짜 패버릴라다 참았다.,,,,,,,,,,,,,,,,
96,정말 오랫동안 프로메테우스2를 기다렸습니다. 너무실망이네요. 프로메테우스 세계관은 다실종되고 이야기가 벙떠서 에일리언으로 넘어가버립니다. 이도저도아닌 노잼영화가되었네요.,,,,,,,,,,,,,,,,
97,저만 재미없었었나요? 기존 에일리언 생각하고 봤는데 긴장감이라고는 전혀없고 쓸데없는 장면으로 시간을 너무잡아먹으며 기승전결이 아니라 기~~~~결의 느낌의 영화였네요....  기존 에일리언 생각하고 보시면 긴장감 없을...,,,,,,,,,,,,,,,,
98,보지마라 절대 보지마라 배우들 답답하고 승질난다 예고편도 평점도 다 믿지마라 너희가 상상하는 모든건 안나온다.,,,,,,,,,,,,,,,,
99,최신 미래형 우주선을 타고 요즘 쓸거같은 총을 쓰는 배우들. 그리고 승무원으로써의 책임감이나 규칙따윈 무시하고 애인부터 챙기는 마인드. 인공지능 마더는 가짜 승무원도 구분못하고 태아칸에 다른것을 넣어도 아무 이상없고...,,,,,,,,,,,,,,,,
100,해드릴 말씀이 없네요 정말 할 말이 없어요....,,,,,,,,,,,,,,,,
101,혹시나 에일리언과의 밀당을 기대하는 분들에게는 실망을 줄것입니다. 그냥 이 영화느 AII끼리의 혈투 음모 배신임,,,,,,,,,,,,,,,,
102,작금이 어떤 시대인지,,,,,,,,,,,,,,,,
103,조금 아쉽다.그래도 역시다,,,,,,,,,,,,,,,,
104,에일리언 본편인 원래 감독판으로 복귀한 듯한 묵직함,,,,,,,,,,,,,,,,
105,믿고보는 스콧감독 믿고보는 에일리언시리즈 그저 감동ㅇ,,,,,,,,,,,,,,,,
106,최초 감염자를 수송선에 태우고,,,,,,,,,,,,,,,,
107,오리지널에 대한 집착 프로메테우스보다 한참 아래임,,,,,,,,,,,,,,,,
108,프로메테우스가 재밌었던 떡밥들 대거 무시.  그냥 대충 만든 filler 에일리언 시리즈.  영화 평점 8점은 너무 높음,,,,,,,,,,,,,,,,
109,에일리언의 활약은 매우 멋있었지만,,,,,,,,,,,,,,,,
110,재밌음 좋아 프로메테우스 보고싶다,,,,,,,,,,,,,,,,
111,알바들 주탱이 날리고 싶다,,,,,,,,,,,,,,,,
112,프로메테우스 보고 엄청 욕 했는데 이거 보고 나니 프로메테우스가 명작이었음을 깨달았다. 린델로프 존경한다,,,,,,,,,,,,,,,,
113,에일리언 역시 재미있네요,,,,,,,,,,,,,,,,
114,이도저도아닌 기대만컷던영화... 개실망함,,,,,,,,,,,,,,,,
115,기본도 없이 제작하니 재미가 없지 기술발전이 그만큼 됐는데 비상시 메뉴얼이 있을거고 흥분하지 않고 가장 최상의 선택을 하도록 훈련 받았을건데 이건머 개나소 우주로보내고 억지성 개연성 만들려고 별짓을 다하니 재미가 있...,,,,,,,,,,,,,,,,
116,쫌 으스스한느낌?ㅎㅎ 마이클 패스벤더의 1인2역연기 짱이었음.,,,,,,,,,,,,,,,,
117,이제 에일리언 2에서 에일리언 퀸에게 이 썅X이라고 했던 그 썅X이 누가 될지가 앞으로 관심사군..,,,,,,,,,,,,,,,,
118,승무원들은 훈련도 받지 않은 일반인...저 승무원할래요 하면 어 너 우주선 책임지는 승무원해 훈련은요? 응 없어.. 그냥 타면 되 이러면 모든 내용이 이해간다..,,,,,,,,,,,,,,,,
119,우주여행이나 우주에서의 신대륙 개척은 금물입니다.. 그동안 영화한 소재들이 이따금씩 현실로 이루어지고 있음을 볼 때 머지 많은 장래에 충분히 일어날 수도 있지요.. 외계인 징그러워요... 유전자 조작 등 비자연적,,,,,,,,,,,,,,,,
120,난 에어리언 전시리즈를 사랑한다. 그래서 이영화 스탭롤이 올라오고 난 그자리에서 일어나지 못했다. 너무나 어이가없고 화가 치밀어왔다.에이리언의 타이틀을 달고 나온 전 시리지중에 제일 감동,,,,,,,,,,,,,,,,
121,기대가 컸다....,,,,,,,,,,,,,,,,
122,아무리 지구형 행성이어도 어떤 세균 바이러스가 있을지도 모르는데 맨몸으로  뛰어드는  멍청이들 80년대 영화도 아니고 초반의 엉성한 설정이 영화 몰입을 떨어트린다,,,,,,,,,,,,,,,,
123,최악의 에이리언 영화... 새로운 행성에 갔는데 마스크도 안하고 2천명의 목숨보다 지 마누라 챙긴다고 위험을 감수하고... 하여간에 당나라군대가 따로 없음,,,,,,,,,,,,,,,,
124,왜 엔지니어는 인간을 창조했고,,,,,,,,,,,,,,,,
125,인조인간이 외계인 행성에 우주선 타고 가서 에일리언 알로 외계인 전멸 시킴...아마도 프로메테우스 2 만들다 실패해서 에일리언으로 바꾼듯...아무튼 식상합니다. ,,,,,,,,,,,,,,,,
126,앞으로 펼쳐칠 이 영화의 이야기가 더욱 기대되는걸?,,,,,,,,,,,,,,,,
127,리들리 스콧감독님 오래사셔야합니다.. 이번 영화도 대박났으니 6편 다 만드셔야죠!ㅎㅎㅎ,,,,,,,,,,,,,,,,
128,하...에이리언. 시리즈 중 최악이다. 정 보려면 나중에 다운받아 봐라. 극장은 가지 마라.,,,,,,,,,,,,,,,,
129,프로메테우스의 이야기가 이 영화가 기대된 이유인대 뭔 개뜬금없는 전개로 당황스럽네 거인들 대학살. 엘리자베스 어미로 죽고. 데이빗은 개싸이코되고. 전편에 싸질러논이야기 대충 몇컷으로 얼버부려 버리고 에일리언 뛰노는것...,,,,,,,,,,,,,,,,
130,이건 뭐 프로메테우스도아니고 에어리언도아니고..킬링타임용도아니고 엄청 지루합니다. 뭔 주구장창 설명만 미친듯이길고 강의 수업듣는줄암.. 한 10분 재밌음,,,,,,,,,,,,,,,,
131,뻔한 전개 예측가능한 반전. 인물들의 개성도 없고 그냥 뭍혀가는 느낌? 인물들의 상식밖의 행동으로 억지스런 스토리 전개. 기대만큼 실망도 컷다. 로봇이 쇼박사 도와서 뭐라도 할 줄 알았건만 그냥 돌아미쳐서 날뜀 에일...,,,,,,,,,,,,,,,,
132,답답,,,,,,,,,,,,,,,,
133,전작과의 개연성 전혀 없으며 반전은 모두 예상가능함...연출은 나름 스타일리쉬하지만 그게 전부.  이럴거면 프로메테우스를 왜 만듬??,,,,,,,,,,,,,,,,
134,쓸대없이 잔인하기만하고 이야기로 전개질질쳐끌고  에이리언분량 10분정고밖에안됨 부분뻬면 씹지루,,,,,,,,,,,,,,,,
135,패리스년은 암걸릴것 같고(전염 우려있다고 문 안열어줘놓고 왜 다시 기어들어가서 뒈지고) / 선장은 데이빗이 괴물키운거 알아놓고 동료들한테 알리지도 않고 졸졸 따라가 뒈지고. / 데이빗 뻔한반전 / 마지막으로 그 상황...,,,,,,,,,,,,,,,,
136,이것으로 에어리언 시리즈는  완전히 망했다고 보면 되겠다. 일말의 기대도 호기심도 사라졌다. 데이빗이  원하는 것이 결국 저런 것이었다면 더 볼것도 없다. 떡밥만 뿌렸던 프로메테우스가  결국  아무것도 아니었음을 증...,,,,,,,,,,,,,,,,
137,122분동안 예고편만 보다 온 느낌,,,,,,,,,,,,,,,,
138,순수한 백치들로 구성된 항해단. 저런 것들을 믿고 목숨을 맡긴 2000명이 대단함.,,,,,,,,,,,,,,,,
139,프로메테우스 세계관과 이어지지 않는 도로 에이리언5,,,,,,,,,,,,,,,,
140,여윽시 리들리스콧 근데 이게왜 15세관람가?,,,,,,,,,,,,,,,,
141,잔인하고징그럽고스토리약하그,,,,,,,,,,,,,,,,
142,길가다 바스락 거리는거 밟으면 소름돋음...,,,,,,,,,,,,,,,,
143,1편 떡밥의 불친절한 해소. 마니아로서 만족은 하나 대중성은 떨어짐,,,,,,,,,,,,,,,,
144,개척을 목적으로 한 우주선에 뽑힐 인물들이면 뛰어나야하지않냐? 1명1명 경쟁률 몇만몇십만대1이고 우주선 띄우는데도 몇십 몇백조 들어갔을텐데? 뛰어나긴 커녕 보통수준도 안되는 저능아들만 탓다는게 말이되? 리들리스콧 늙...,,,,,,,,,,,,,,,,
145,음 영화관에서 보면서 욕나올 정도 수준 ㅋㅋ 어떻게 저런 지능을 가진 사람들 한테 우주개척 임무을 줄까  버섯에 코갔다 되는 OO에 탐사하면서 담배를 피지안나  원인 모를 출혈하는데 얼굴드리밀고 ㅋㅋ 에어리언은  끝...,,,,,,,,,,,,,,,,
146,와 진짜 개노답으로 만들었네.. 1편의 그 장황함은 없어지고 전형적인 할리웃 시리즈물로 바꼈음,,,,,,,,,,,,,,,,
147,창조주가 어쩌고 프로메테우스가 어쩌고 개소리 찍찍들 싸대는데 결국 회로 고장난 ai가 지가 생명체 창조하고 싶어 에일리언 만들었단 내용... 설정상의 헛점과 개연성,,,,,,,,,,,,,,,,
148,깔았던 소재를 다 회수하지도 못하고 허무하게 끝.. 좀 시갘 아까웠어요 저는,,,,,,,,,,,,,,,,
149,2114년 이라면서 무기라고 있는 게 총 뿐이여?게다가 보호구도 없고,,,,,,,,,,,,,,,,
150,신이 되고픈 미친 로봇을 통해 감독이 말하고자 하는 바는 알겠다. 근데 돌방상황의 대응 매뉴얼이 있으면 지켜라. 통신 시 횡설수설하지 말고 정확히 상황전달해라. 미지의 개체와 함부로 접촉하지 마라. 조준하고 사격해라...,,,,,,,,,,,,,,,,
151,완전 쓰레기 영화.. 스콧이 노망이 났나.. 앞뒤도 안맞고 상식도 읍고,,,,,,,,,,,,,,,,
152,노잼 ...기대햇는데 ;;,,,,,,,,,,,,,,,,
153,프로메테우스의 그 위대한 떡밥들은 다 어디로 가고 진부한 이야기가 지속된단 말인가...,,,,,,,,,,,,,,,,
154,잔인하기만 잔인하고 진짜 내용도 재미도 없는 영화. CG는 덕덕지 발랐지만,,,,,,,,,,,,,,,,
155,AI는 인간에게 선물일까 독일까,,,,,,,,,,,,,,,,
156,평론가들이 사람들 다 버렸네 ㅋ,,,,,,,,,,,,,,,,
157,개노잼이다 살면서 영화보다가 도중에 나가고 싶었던건 처음인듯,,,,,,,,,,,,,,,,
158,머야‥ 끝날때 개허무함‥ 남자배우는 멋있는데 그게 다임시고니위버의 에이리언이 훨 낫네요 실망요‥,,,,,,,,,,,,,,,,
159,프로메테우스가 아깝다.,,,,,,,,,,,,,,,,
160,프로메테우스 치밀한 스토리랑 거리가 멈..책임자들의 마누라 설정 정말 짱남..,,,,,,,,,,,,,,,,
161,시리즈중 최악! 돈주면서 보라해도 거부할정도...인물들은 하나같이 멍청해서 공감할 대상은 한명도 없고 싸이코패스가 승리자가된다유영철같은 연쇄살인마가 주인공인데 검거할 능력의 경찰은 없고 모두가 유영철한테 농락당하다...,,,,,,,,,,,,,,,,
162,프로메테우스의 떡밥들을 어떻게 풀어낼지 두근거리며 갔는데...인조인간 싸이코 드라마를 그려내면 어쩌나요...완전히 예상 가능한 반전 아닌 반전에 스토리까지...만들기 싫으면 만들지 말지..에어리언 시리즈 전체 중 가...,,,,,,,,,,,,,,,,
163,아니이딴걸 영화라고만듬? 재밌다,,,,,,,,,,,,,,,,
164,영화는 보통인데 엔지니어 내용이 좀 구체적으로 나왔음했는데 너무 아쉽네요 그냥 병균투하로 엔지니어 떡밥은 마무리... 전편 여주는 뭐.. 프로메테우스 떡밥을 기대하고 가면 대실망입니다 이럴거면 처음부터 에일리언 프리...,,,,,,,,,,,,,,,,
165,딱히....전편이더재밌었고 결말허무하고반전 뻔하고 별로였음글고이게15세임? 노출쩔고 잔인함..최악까진아니고 볼만하긴한데 기대해서그런지 실망,,,,,,,,,,,,,,,,
166,에이리언 전편 시리즈에 비하면 8점대는 과대평가ㅡㅡ,,,,,,,,,,,,,,,,
167,지루함...뭔가 좀 더 있어야 할거 같은데 끝나버림....닥터 쇼는 왜 뺀거야.... 막장 드라마 출연자 빼듯이 죽은 걸로 빼버림...,,,,,,,,,,,,,,,,
168,커버넌트가 프로메테우스보다 평점이 높다는건 정말 말도 안되는 이야기임,,,,,,,,,,,,,,,,
169,심형래감독의 용가리를 본듯한...,,,,,,,,,,,,,,,,
170,1점도 아깝다. 처음 가는 행성 맞냐? 복장이나 장비는 허술하고 전문가는 있기는 한건지...비명만 꽥꽥질러대고...  sf인지 단순 호러인지 구분도 안갈정도로 수준미달수준의 설정이다. 영화제작에 우주관련 전문가가 참...,,,,,,,,,,,,,,,,
171,데이빗땜에 트라우마 생길듯,,,,,,,,,,,,,,,,
172,시고니위버의 1탄을 따라가기엔 무리가 있고 카메론의 2탄도 무리임. 프로메테우스보다는 못하며 재미는 있는데 5프로 허술함. 정말 좋아하는 시리즈인데 뭔가 아쉬움. 엘리자베스쇼 꼭 그렇게 했어야했나!!ㅠ,,,,,,,,,,,,,,,,
173,아아아아 재미없어 데이빗인거 이미알고 있었다,,,,,,,,,,,,,,,,
174,스콧영감님.. 이젠 좀 쉬세요..보일러 놔드릴께요,,,,,,,,,,,,,,,,
175,투표 끝나고 관람 인증 ㅎㅎ이거 보고 싶어서 아침일찍 투표하고옴 ㅎㅎ,,,,,,,,,,,,,,,,
176,아니 이게 어떻게 평점이 8점대지? 솔직히 3점정도가 적당하다고 생각합니다.ㅠㅠ 태어나서 지금가지 영화관에서 본 것중 가장 재미없고.. 잔인하고.. 철학적인 내용을 말하려다가 만 느낌입니다. 솔직히 영화관까지 가서 ...,,,,,,,,,,,,,,,,
177,재미없었다.액션씬도많이없고 에일리언도 다합쳐서5마리도안나온다,,,,,,,,,,,,,,,,
178,역시 오또케 오또케로 우주선 하나 날려잡수심 ㅋㅋ,,,,,,,,,,,,,,,,
179,진짜 재미없었어요 저는...,,,,,,,,,,,,,,,,
180,아니 제발 전우조좀 지키면서 다녀라....ㅠㅠ,,,,,,,,,,,,,,,,
181,다들 영화보고 평점 다는거겠지만,,,,,,,,,,,,,,,,
182,엔지니어가 사는 별에 무혈 입성 부터 시나리오가 이상함.비확인 비행체가 난입하는데 중간에 격추해야하지 않나?,,,,,,,,,,,,,,,,
183,7광구 미국판이다.. 리들리 스콧이 이런 개망작을 만들줄이야 ㅡㅡ;; 이건 뭐 딱히 스포일러도 아니고 특히 영화 후반에 데이빗 월터 체인지 반전은 ㅅㅂ 설마.. 제발 아닐거야... 아니겠지? 하면서 봤는데 이런 ㅄ같...,,,,,,,,,,,,,,,,
184,아,,,,,,,,,,,,,,,,
185,케이블에서해도 안봄....,,,,,,,,,,,,,,,,
186,영화의 교훈: 항상 전우조와 함께다녀라,,,,,,,,,,,,,,,,
187,너무 기대했나봄. 전작에 비해 너무 지루하고 재미가없고 에어리언 1편 오마주임,,,,,,,,,,,,,,,,
188,에어리언 시리즈중에 최악 정말 재미없었다,,,,,,,,,,,,,,,,
189,엘리자베스 쇼 박사는 창조주들에게 인간을 창조한 이유를 물었을까? 묻지 못했을까..?,,,,,,,,,,,,,,,,
