,content,,,,,,,,,,,,,
6028,이 땅에서 숨 쉬고 걸을 수 있다는 것만으로도 감사하게 만드는 영화다. 몰입도는 그 어느 영화보다도 뛰어나다.,,,,,,,,,,,,,
6029,뭐하나 빼놓을게 없네... 만점이다;,,,,,,,,,,,,,
6030,근래 보기드문 sf명작. 2001 스페이스 오딧세이 다음으로 열광했던 우주영화. 긴장감과 몰입감은 극에 다달았고 마치 내가 우주에 조난 당한듯 어지러움과 산소 부족마져 겪게 되었다.,,,,,,,,,,,,,
6031,음.. 신선하긴 했지만.. 뭔가가 부족한...고전영화 아폴로13,,,,,,,,,,,,,
6032,살짝 고평가 되고 있는 듯..,,,,,,,,,,,,,
6033,4d나 아이맥스3d아님 그냥그럴듯,,,,,,,,,,,,,
6034,수준이 낮은건가요 눈이 높은건가요,,,,,,,,,,,,,
6035,이 영화는 과학적인 공포영화입니다.,,,,,,,,,,,,,
6036,실감나는 우주 노동자의 하루,,,,,,,,,,,,,
6037,한마디로 경이로운 영화. 초반부 잠깐의 지루함을 지나치고나면 경이로움이 찾아온다. 3D 효과는 화재 불꽃과 위성 파편이 날아오는 영화 후반부가 거의 다라는 아쉬움. 태아를 연상케하던,,,,,,,,,,,,,
6038,개인적으론,,,,,,,,,,,,,
6039,3D로봣는데 그냥보는것과 그리다름을느끼지못햇습니다. 말그대로SF.  우주에서 지구로오는과정  그사이에 주인공이느끼는 긴박함 은잘전해진듯하나 감동이나 재미는 얻지못해서 아까웟습니다.  3D라도아니엿다면 지루해서어떻게볼...,,,,,,,,,,,,,
6040,꼭 아이맥스 쓰리디로 보세요! 눈물납니다,,,,,,,,,,,,,
6041,우주의 무한함..경이롭다,,,,,,,,,,,,,
6042,아바타 이후에 제대로 된 영화를 찾았다.,,,,,,,,,,,,,
6043,너무도 아름다웠다.  90분 동안 난 하늘저편의 우주에 있었다.,,,,,,,,,,,,,
6044,CG 로 느끼는 무중력의 공포.,,,,,,,,,,,,,
6045,다크나이트이후 오랜만에 느껴보는 전율이었다. 내가 정말로 우주에 있는 듯한 경험을 해주게 해준,,,,,,,,,,,,,
6046,잘했으요.10점에많점.,,,,,,,,,,,,,
6047,이렇게 진한여운은 몇년만이다.. 감독 쩌는구나 진짜..,,,,,,,,,,,,,
6048,진짜 아름답고 감동적이고 그냥 말 안나오는 영화 진짜 쩐다,,,,,,,,,,,,,
6049,국내평점알바들이 점수깎는중인듯 ㅋㅋ 외국은 극찬하는데 우리나라만 점수가 8.5가 뭐야 ㅋㅋㅋ,,,,,,,,,,,,,
6050,정말이지 너무 잘 봤네...,,,,,,,,,,,,,
6051,굿이런게 영화지 ㅎㅎㅎ,,,,,,,,,,,,,
6052,짱!!!! 짱이다!!!,,,,,,,,,,,,,
6053,심심하다..영상미로 모든걸 커버하기에는,,,,,,,,,,,,,
6054,대박.. 이게 재미가 없으면 국내영화 알바인증아닌가?,,,,,,,,,,,,,
6055,사람들이 재미있다고해서 보러갔는데....재미를 넘어선 영화.. !!!!대박....,,,,,,,,,,,,,
6056,내가 얼마나 행복한 사람인지 알게되었다. 삶은 누구에게나 주어지는이유가 있으니 열심히살자! 라는 느낌과 엄청난 감동을 받았다!,,,,,,,,,,,,,
6057,꼭 3D로 보시길 Do you copy?,,,,,,,,,,,,,
6058,시작부터 숨이 막히고 몸이 무중력공간에 떠 있는 기분이었다. 고요하다 아름답다 그만큼 무섭다 영화보고 쌀국수먹고 있는 지금 이 순간이 믿겨지지 않을 정도다. 꼭 봐라 꼭 3,,,,,,,,,,,,,
6059,이걸어떻게 만드셨는지 정말 놀라워요. 가끔씩 나오는 코믹한 내용도 너무 웃기고 정말 신기해요. 진짜 우주에서 일어난거같애요.. 보다가 3D인줄.. b,,,,,,,,,,,,,
6060,이영화는 최소 3D,,,,,,,,,,,,,
6061,나뢘만하면 짜게 주는데 별여섯개가 없다,,,,,,,,,,,,,
6062,진짜 경이롭네요.너무 현실감 넘치는 장면들 앞에서 하나하나 집중이 될수 밖에 없고,,,,,,,,,,,,,
6063,거두절미 봐라 죽이는영화다 인간은 먼지같은 나약한...,,,,,,,,,,,,,
6064,처음부터 끝까지 숨막히게 아름다운 영화,,,,,,,,,,,,,
6065,아름답고 끔찍하다.. 3d로 보길 잘한듯,,,,,,,,,,,,,
6066,말이 필요없네요. 최고! 아이맥스 3D 관람 필수!!,,,,,,,,,,,,,
6067,정말 여운이 많이남는 영화 주인공혼자이끌어 가는 영화지만 부족하다는 느낌이 전혀들지 않았다.,,,,,,,,,,,,,
6068,자막없이 봐도 감동일듯한 연출력연기력은 아쉽다,,,,,,,,,,,,,
6069,살아있는 자체가 행복한지 일꿔워주는 영화인듯 그리고 자신에대한 강한 신념이 얼마나 중요한지 일꿔어준 영화평가 하고 싶네요..,,,,,,,,,,,,,
6070,꿀잼 5%부족 그래도 꿀잼!,,,,,,,,,,,,,
6071,리얼 최고 영화. 아름다운 화면과 고도의 긴장감.,,,,,,,,,,,,,
6072,이건 정말 꼭 봐야한다. 처음부터 끝까지 눈을 땔수 없다.,,,,,,,,,,,,,
6073,명작이란이런것이다.,,,,,,,,,,,,,
6074,진짜 이영화를 어떻게 찍었을까? 하고 의문을품게만든 작품임.... 진짜 흥미진진하고 현실감있는 그런영화였음.. 추천,,,,,,,,,,,,,
6075,알폰소 쿠아론의 칠드런 오브 맨을 보고 이 감독 성공하겠다 했는데역시 이런 대작을 뽑아내는 구나,,,,,,,,,,,,,
6076,알폰소 쿠아론 감독의 최고의 영화!,,,,,,,,,,,,,
6077,고퀄리티영화  2013년 명작,,,,,,,,,,,,,
6078,내 인생 top 5 걸작으로 임명한다.,,,,,,,,,,,,,
6079,아.... 평생 이런 경험은 처음임. 그냥 3D로 한번 보고 IMAX로 또 볼거임.,,,,,,,,,,,,,
6080,이정도 연출에 이정도 스토리면 감독에게 절한번 올리고 봐야된다,,,,,,,,,,,,,
6081,감동. 내 삶의 소중함을 다시한번 느낍니다.,,,,,,,,,,,,,
6082,영화 보는 내내 숨이 차올랐습니다. 이거슨 영화의 혁명입니다.,,,,,,,,,,,,,
6083,고요하고 외롭지만 환상적이다,,,,,,,,,,,,,
6084,간만에 좋은 영화 봤네요. imax로 못본게 후회 ㅜ ㅜ,,,,,,,,,,,,,
6085,이영화를보고전립선암이나았습니다,,,,,,,,,,,,,
6086,그래비티를 아는 사람과 모르는 사람으로 구분하네 예측 불가한 카메라 움직임은 정말 입을 벌리고 볼수 밖에... 우주를 배경으로 이렇게 긴 롱테이크씬이 있었나 궁금하네 외계인 없는 우주가 더욱 공포스럽다는 걸 너무 잘...,,,,,,,,,,,,,
6087,여러 의미로 엄청난 영화,,,,,,,,,,,,,
6088,진짜.. 좋드라.. 경이로울 정도로..,,,,,,,,,,,,,
6089,굿뜨!!! 볼만합니다. 연기도 좋구..,,,,,,,,,,,,,
6090,줄거리는 솔직히 예고편이 절반이 맞다. 하지만 영화라는게 단순히 스토리 혹은 영상미가 아니라는걸 알게 해줬다. 이영화는 영상미나 몰입도,,,,,,,,,,,,,
6091,아바타이후 오랜만에 느끼는 감정.. 평점이 9점인 이유는 런닝타임이 짧아서 아쉬움 그외에는 최고의 영화. 시각적인 영상물이 우주로 한번도 가본적 없는 우리에게 우주가 이렇다고 체험시켜주는 영화...메세지도 적절하고 ...,,,,,,,,,,,,,
6092,?스릴과 약간의 감동이 있었던 영화였습니다. 재밌게봤네요,,,,,,,,,,,,,
6093,꼭 3d 로 보시는걸 추천합니다,,,,,,,,,,,,,
6094,부끄러 운지 알아야지..,,,,,,,,,,,,,
6095,아름답고 무서운 우주 이야기,,,,,,,,,,,,,
6096,먹먹함과 안도감이 동시에 느껴지는 영화.,,,,,,,,,,,,,
6097,경이적인영화..보는내내 전율과.소름의 연속..,,,,,,,,,,,,,
6098,90분 동안 숨도 제대로 못 쉬었네.,,,,,,,,,,,,,
6099,영화가 경이롭고 위대하가고 느낀적이 처음이다,,,,,,,,,,,,,
6100,존나 새롭네큐브 이후 처음이야,,,,,,,,,,,,,
6101,발아래 땅이 있다는 것이 마음 놓고 숨 쉴 수 있다는 것이 이렇게 감사 할 줄이야,,,,,,,,,,,,,
6102,오스카상이 기대된다,,,,,,,,,,,,,
6103,단연코 올해 최고의 걸작!,,,,,,,,,,,,,
6104,4D로 봤다. 정말 대단하다. 여운이 엄청나다. 기회가 된다면 아이맥스로 한번 더 보고싶다..,,,,,,,,,,,,,
6105,예고만볼땐 기대작치곤 지루한데?에서 영화관감상후 대박..이말밖에 안나왔다. 영화관에서 보지않는다면 이 영화를  제대로 본것이  아니다. 보는 내내 긴장감이 끊이질 않고 우주를 체험하는  기분이 들다 마지막엔 지구의 ...,,,,,,,,,,,,,
6106,영상미도,,,,,,,,,,,,,
6107,최고의.영상 소리 말이  필요없는듯..,,,,,,,,,,,,,
6108,그냥 보시면 압니다..얼마나 미쳤는지..삶 과 죽음정말최고의 여운을 남기네요..이건 영화가 아닙니다..,,,,,,,,,,,,,
6109,재밋기만 하구만 뭘 아이맥스 3D아니면 4DX3D 로 보세요 완전 강추 여태껏 본영화중 가장 으뜸!!~,,,,,,,,,,,,,
6110,13시즌 최고의 영화. 산드라 블록 다리 개쩜.,,,,,,,,,,,,,
6111,어떻게 이런 걸 영화로 만들 생각을 했을까ㄷㄷ,,,,,,,,,,,,,
6112,짧지만고품격!!!    적인걸2도봤는데극과극영화체험   덕분에그래비티더빛남,,,,,,,,,,,,,
6113,3D로 또 보고 싶다. 영화보는 내내 빠져나올 수 없었던 영화.,,,,,,,,,,,,,
6114,와우 막 보고 나왔는데 마지막 소름이 끼치네요 우주재난영화 극 사실주의 IMAX에서 볼껄 너무 후회됨 올해 나온 영화중에서 최고의 대작인듯 초반에 하도 웅장해서 중간 중간 숨돌릴땐 조금 지루한 감도 있지만 아주 심장...,,,,,,,,,,,,,
6115,개인적인 취향상 아주아주 마음에 드는 작품입니다. 하지만 가벼운액션등의 작품들을 좋아하는 분들은 지겹게 느낄수 있겠네요. 위급한상황에 빠진 개인의 심리와 행동을 중점적으로 보여주는 약간 다큐느낌이랄까요?,,,,,,,,,,,,,
6116,애니메이션 아니었음??,,,,,,,,,,,,,
6117,정말괜찮아요 삶에대해서생각하게해주는... 연출도훌륭하구요 근데빅재미라든가 웃기거나하는그런부분은없음 그런걸원하시는분은딴걸보시길ㅋㅋ,,,,,,,,,,,,,
6118,아바타이후 그냥 디지털로 봤는데 돈주고 3D로 다시봤으면 좋겠다고 생각한 영화!!!!,,,,,,,,,,,,,
6119,우주라는 곳은 선택된자들만이 갈수있는곳이라 감이 멀것 같았는데..이 영화는 다르다..주인공과 관객이 한 몸이 되어 우주공간에서 떠다니는 것을 영화 내내 느낄수있었다..스토리..영상..음향..다 좋다!!이 영화~ 굿!...,,,,,,,,,,,,,
6120,중력이 중력차이가 너무 빠르게나니까 고마 정신을 잃어삐가지고,,,,,,,,,,,,,
6121,오오미 오오미 오오미 오오미,,,,,,,,,,,,,
6122,도대체 이걸 어떻게 찍었을까?,,,,,,,,,,,,,
6123,우주에서는 우주효과를 주기위해 카메라 효과를 줬고 지구에서는 영화용 카메라를 이용했네요... 러시아는 책임을 묻게 생겼네여.. 언제나 미국영화의 흔한 일.. 러샤는 민폐로 떨구는 ㅋㅋ,,,,,,,,,,,,,
6124,중력이 주도하는 질서!,,,,,,,,,,,,,
6125,쩐다~ imax 봤으니 4dx로 한번더 봐야지~,,,,,,,,,,,,,
6126,팍 올라갔다가 확 내려갔다했다가  그 중력이  중력차이가 너무 빠르게 나니까 그만,,,,,,,,,,,,,
6127,영상 기술력은 말할 것도 없고,,,,,,,,,,,,,
6128,진심 신비로움...특히 막바지 ㅇㅇ,,,,,,,,,,,,,
6129,ㅋㅋㅋ구라안치고 올해 돈안아까운 영화,,,,,,,,,,,,,
6130,그냥 최고다... 더 말할 것도 없구. 진심으로 하는 말인데 영화 내리고 후회하지 말고 얼른 극장 가세요ㅎㅎ (알바 아님),,,,,,,,,,,,,
6131,졸잼! 개리얼! 긴장감굳!,,,,,,,,,,,,,
6132,스릴은 있었지만 뭔가 부족한 느낌..,,,,,,,,,,,,,
6133,음귿보는내내불안함여ㅋㅋ,,,,,,,,,,,,,
6134,하이고 어지러워라~^,,,,,,,,,,,,,
6135,정말 훌륭하다. 우주를 배경으로 치고박고 싸우거나 외계인이 등장하지 않고색다른 소재로 이렇게 재밌게 만들 수 있다니 . 중간중간 손에 땀을 쥐게 만드는 장면도 좋았고,,,,,,,,,,,,,
6136,이동진 말대로 정말 우주를 체험한다. 아이맥스로 봐라. 광활한 우주의 공포감에 현기증마저 느껴지려 한다. 3D기술력의 최대치를 느끼게 해준다. 우주를 한껏 느끼고 온 기분이다. 스토리가 비교적 단순하긴한데 나름 의미...,,,,,,,,,,,,,
6137,우주와 지구 그리고 중력 !!,,,,,,,,,,,,,
6138,훌륭하다.매우 훌륭하다,,,,,,,,,,,,,
6139,ㅎㄷ 새벽2시에보러감 짱짱맨,,,,,,,,,,,,,
6140,느껴보지 못했던,,,,,,,,,,,,,
6141,최고의 영화 두말 필요없음 강추,,,,,,,,,,,,,
6142,맷은 진정한 영웅조력자!,,,,,,,,,,,,,
6143,최고의 우주영화,,,,,,,,,,,,,
6144,Imax 4dx에서 조조로 봤는데 몰입도 짱이다!! 26.000원으로 우주여행한듯하다... 돈아깝지 않아!!,,,,,,,,,,,,,
6145,간접 우주경험!!!!,,,,,,,,,,,,,
6146,진짜 올 영화중 최고 최고 ~!산드라 블록의.혼신의 연기도 단연 돋보이고 음악도 맘에든다.진짜.숨조차.못쉴만한.상황의.재난,,,,,,,,,,,,,
6147,후반부 신드라블록의 연기와 영화 연출에 온몸에 전율과 눈물이 글썽 ㅠ 오랜만에 칼세이건의 코스모스를 읽고픈 생각이... 정말 이건 극장에서 봐야함. 강추!!!,,,,,,,,,,,,,
6148,말로는 표현이 안되는 대작. 내 심장은 아직도 빨리뛰고있다.,,,,,,,,,,,,,
6149,소름끼치도록재밌는영화,,,,,,,,,,,,,
6150,올해 최고의 영화!!!,,,,,,,,,,,,,
6151,매장면이 장관의 연속 경이로움이란걸 보여준다.,,,,,,,,,,,,,
6152,스릴넘치고 재밌었습니다,,,,,,,,,,,,,
6153,공포영화보다 무서운 재난영화,,,,,,,,,,,,,
6154,사실 영화에 대해서 난 잘모르겠다 나사에 가고싶어했던 고등학교 친구가 보러가자고 했고영화중간에 어떤 아저씨의 코고는 소리가 생각난다 지루한 느낌이라서 이해는 갔지만 우주에 관심없었지만 생각보다 빠져들면서 봤다7년이 ...,,,,,,,,,,,,,
6155,감독이 혼을 갈아 넣은 영상임엔 틀림 없다. 근데 왜 알폰소는 여성 캐릭터를 다룰 때 위축되는 거 같지... 허둥지둥대고 아는 거 없어서 답답한 여성보다 영민하게,,,,,,,,,,,,,
6156,이OOO 패널고치느라 다OO거아녀 OO 암덩어리년,,,,,,,,,,,,,
6157,SF영화 중 최고의 영화~,,,,,,,,,,,,,
6158,계속 도는데 어지러워 OO뻔,,,,,,,,,,,,,
6159,이게 재미없다는 사람은 뭐냐 볼까말까 중이면 봐야된다,,,,,,,,,,,,,
6160,엄청 기대하고 가서 그런가...아니면 난 진짜 이런 영화들이랑은 안 맞는 건지.. 광활하고 멋있긴 했는데 감동까지 받고 오진 못했다..,,,,,,,,,,,,,
6161,90분동안 빨려들다가 마지막에 여주인공의 숨이 트이는 순간 나도 막혔던 숨이 트였다가 여주 빵빵한 뒷태에 다시 숨이막힘,,,,,,,,,,,,,
6162,과학영화 아니고 재난영화임..우주 탈출기배경만 우주..저는 과학적인 내용의 과학영화를 매우 선호하기 때문에 보는내내 힘들었네요...,,,,,,,,,,,,,
6163,훌륭한 시각효과에 비해 내용은 별로 없다,,,,,,,,,,,,,
6164,인터스텔라 핵 거품 보지말고 이걸보셈,,,,,,,,,,,,,
6165,이거 재미없다고 하는 사람들은 극장에서 안 본거다. 중2,,,,,,,,,,,,,
6166,실화라 더 재밌었어요.,,,,,,,,,,,,,
6167,우주라는 공간에서 생명의 끈을 줄다리기하는 여주를 볼 수 있습니다. 독백과 행동들이 영화 같이 꾸며지기보단 뭔가 사실과 가깝게 표현해내지 않았나 싶어요. 우주의 광활함을 느끼고 싶으면 다른 우주영화 추천드려요. 전개...,,,,,,,,,,,,,
6168,하필이면 떨어진곳이 is 점령지역...산드라블록은 인질이 되어 결국은 참수당하는 안타까운 결말..,,,,,,,,,,,,,
6169,몰입도 쩌는듯 지루할 틈이없네,,,,,,,,,,,,,
6170,지루할줄 알고봤는데 생각보다 흥미진진했고 영화에서 전달하는 메세지가 마음에 와닿아서 좋았습니다. 영상미도 멋졌고요.죽기전에 한번쯤 볼만한 영호?!!,,,,,,,,,,,,,
6171,화려한 우주영화보다 훨씬 깔끔하고 재미있는 영화.,,,,,,,,,,,,,
6172,훌륭하네요~^^극장에서 보았더라면~ㅎ,,,,,,,,,,,,,
6173,훌륭했다 한정된 공간에서 풀어내는 연출,,,,,,,,,,,,,
6174,알폰소 쿠아론. 이번에도 sf 영화의 새로운 패러다임을 선보이다.,,,,,,,,,,,,,
6175,인터스텔라 빠들이 낮춰놓은 평점.... 어휴 ㅠ,,,,,,,,,,,,,
6176,영화보면서 이렇게 집중한건 처음인듯,,,,,,,,,,,,,
6177,영화의 역사는 그래비티 이전과 이후로 나뉜다,,,,,,,,,,,,,
6178,보면서 손에 땀이 난 유일한 영화. 정말 이건 인생 영화다!!,,,,,,,,,,,,,
6179,아무도 모를 그 고통과 조용함속에서 단순한 지구로 돌아가고싶다라는 내용을 잔잔하면서 모든것을 다표현하였다 그래비티와 인터스텔라는 나중에도 우주영화 톱으로뽑힐것이다,,,,,,,,,,,,,
6180,"마지막 장면후에 나오는 ""gravity""라는 글자에 눈물이 왈칵. 삶에서 가장 힘든 시간을 보내고있는 사람들이 봐야할 영화.",,,,,,,,,,,,,
6181,우주를 좋아하는 사람들에겐 완벽한 영화다,,,,,,,,,,,,,
6182,처음에 볼 땐 그렇게 재밌는건 몰랐었는데,,,,,,,,,,,,,
6183,이해가안된다는둥 막장이다는둥 지루하다는둥 징징대는 사람들참고하시길 한번보고 평점남기시는건가요 각 인물의 감정표현 고립된 우주속에서 전달하고자 하는 내용이 무엇인가를 생각하면서 보시면 될꺼같습니다. 개개인의 느낌은 다...,,,,,,,,,,,,,
6184,재미 감동 교훈 세박자를 고루갖춘작품이다,,,,,,,,,,,,,
6185,살아가고자 하는 의지와 뜨거운 감동,,,,,,,,,,,,,
6186,다시 태어남. 새로운 삶의 시작을 우주와 결합시킨 작품. 매트를 떠나보내고 정거장으로 들어와 산소를 들이마시면서 웅크리는 장면은 태아가 자궁 안에 웅크리는 모습을 의도한 듯. 지구에서 양수를 뚫고 땅을 밟는 주인공의...,,,,,,,,,,,,,
6187,아.. 극장에서 보는건데.. 생각보다 훨씬 더 좋았다.. 진짜 잘 만들었는데 이거....,,,,,,,,,,,,,
6188,어떤 영화는 보는 것이 아니라 체험하는 것이 된다. 우주를 그렇게 잘 표현하고 그 안에서 그렇게 극적인 장면들을 연출했다는 것,,,,,,,,,,,,,
6189,인터스텔라는 최악. 그래비티는 최고. 개쩐다ㅡㅡ 지루하고 억지에 허니버티칩마냥 오바떠는 무재미일줄 알았는데 와..대박 진짜다 꼭봐라 완전 최고..,,,,,,,,,,,,,
6190,솔까 난 이게 인터스텔라보다 더잼있게봤다..어떻게 이건 3분에1정도관객뿐이 안되지..,,,,,,,,,,,,,
6191,죽음에 대한 공포를 어떻게 이겨낼 수 있는지에 대해 정말 잘 표현한거 같다.,,,,,,,,,,,,,
6192,내용이 좋은 영화 삶에대해 생각해보는 기회,,,,,,,,,,,,,
6193,개노잼개노잼개노잼개노잼개노잼,,,,,,,,,,,,,
6194,뭔가 형용할 수 없는 감동이다.,,,,,,,,,,,,,
6195,어떻게 이런영화가 있을수 있나?   평론가의 평점이 정말 정확하다. 정말 놀라운 세상을 아름답게 그려낸 수작중 수작이다. 믿을수 없는 작품이다. 예술이다 이정도라면,,,,,,,,,,,,,
6196,극장에서 못본게 후회됩니다.,,,,,,,,,,,,,
6197,산소0% 되고 우주복 안에 있는 산소로 와인 마시듯이 소모하라 했을 때 나도 숨참았다,,,,,,,,,,,,,
6198,최고다 9.8을줄수없어서 10점드림,,,,,,,,,,,,,
6199,영화 자체는 괜찮음 근데 여주인공 졸라 멍청 답답함 뭐 할줄아는게없음 지때문에 남자도죽고 다죽음,,,,,,,,,,,,,
6200,인터스텔라 10점주는놈들이 여기서 1점주고 앉아있네ㅋㅋㅋㅋ,,,,,,,,,,,,,
6201,보는걸 절대 추천드립니다.,,,,,,,,,,,,,
6202,내인생에서 손꼽히는 영화,,,,,,,,,,,,,
6203,내인생 영화 베스트3에 등극,,,,,,,,,,,,,
6204,끝내주는 영화. 모든 측면에서 완벽하다.,,,,,,,,,,,,,
6205,체험에 가까운 영상미와 스킬에 압도!! 감동!!,,,,,,,,,,,,,
6206,단순히 등장하는 배우는 2명 어찌보면 단순한 소재,,,,,,,,,,,,,
6207,.... 닥치고 꼭봐라.,,,,,,,,,,,,,
6208,제임스 카메론이 말했다. 이 영화는 미쳤다.,,,,,,,,,,,,,
6209,그래비티 (중력). 중력은 사람을 넘어 뜨리기도 하지만 그와 동시에  역설적으로 영화 마지막 장면처럼 땅을 딛고 일어날 수 있게 해주는 힘이다. 이 영화는 죽음이 삶으로,,,,,,,,,,,,,
6210,뻔해서 지루하다는사람은 트랜스포머에서 오토봇이지고 아이언맨에서 아이언맨이 질줄알고 봤었나봐,,,,,,,,,,,,,
6211,내가다 우주에 떠있는 기분이들었다‥영화가 조금은지루해서 별한개 뺏음!,,,,,,,,,,,,,
6212,2D로 보는데도 너무 어지러웠음... 원래 3d게임에도 어지럼증을 느끼는지라...,,,,,,,,,,,,,
6213,이런 명작이 8점대라고? ㅋ 수상한 그녀 같은 건 9점이 넘는데? ㅋ 미치셨네 다들,,,,,,,,,,,,,
6214,별로. 평이나 기대보다 별로.,,,,,,,,,,,,,
6215,진짜 이 영화를 극장에서 보지 않았다는게 너무나도 후회된다 긴장의 끈을 놓을수 없는 엄청난 영화,,,,,,,,,,,,,
6216,우주 체험이란 표현이 어울릴 것 같은 가장 광범위하고 스펙타클한 조난 드라마,,,,,,,,,,,,,
6217,숨이 턱턱 막히는 영화.,,,,,,,,,,,,,
6218,산드라 블록이 64년생이라 9점. 그 나이에 그 미모는 반칙이잖아요? 우리엄마랑 동갑인데...,,,,,,,,,,,,,
6219,아바타는 잊어라. 3D 영화는 이 영화 이전과 이후로 나뉘게 될 것이다. SF 영화사에 아주 굵은 한획을 그은 역사에 길이 남을 걸작중에 걸작. 평단의 모든 생각이 내 생각과 똑같았던 영화는 이 영화가 처음이다. 놓...,,,,,,,,,,,,,
6220,올해 여러 영화들을 봤지만 이토록 수작은 드물었습니다. 억지 감동을 짜내기 위해서가 아닌,,,,,,,,,,,,,
6221,이영화 정말 아름답네요,,,,,,,,,,,,,
6222,체험해봐라. 그러면 알수 있을 것이다.,,,,,,,,,,,,,
6223,헐리우드와의 차이는 단순 기술력만의 차이가 아니다.,,,,,,,,,,,,,
6224,영화관에서 안봐서 그런가.. 잘만든영화긴하다,,,,,,,,,,,,,
6225,최고라는 말로도 부족한  영화,,,,,,,,,,,,,
6226,그래비티에 10점을 안주면 대체 어떤 영화에 주는거야..?,,,,,,,,,,,,,
6227,수준낮은 애새끼들이 이 영화 막말하는거 꼴보기싫다 진짜 ㅋ 정말 명화네요 명화.  집에서 봐도 숨죽이며 보게 되는 굉장한 연출력.,,,,,,,,,,,,,
6228,졵나 영화보면서 하품 여러번하긴  처음이다,,,,,,,,,,,,,
6229,그냥 영상을 위한 영화 그 이상 그 이하도 아님,,,,,,,,,,,,,
6230,이 영화가 10점이 아니면 몇 점이란 말인가.,,,,,,,,,,,,,
6231,말이 안나왔다 시간이 이렇게 빨리 흐른줄 몰랐다 그런데 원래 러닝타임이 짧은거구나,,,,,,,,,,,,,
6232,그냥 기대않했는데 보니깐 대박이구만 ㅡㅡ,,,,,,,,,,,,,
6233,진짜 누구도 생각못한걸 영화로 찍다니 ㄷㄷ,,,,,,,,,,,,,
6234,너무 고마운 지구란 존재. 그런 지구를 우리는 얼마나 망가뜨리고 있는지?,,,,,,,,,,,,,
6235,강력추천  생각보다   긴장감넘침,,,,,,,,,,,,,
