,content,,,,,,,,,,,,,,,
42,내가 에일리언 광팬이고 프로메테우스 다 좋았는데(스토리가 진행이 좀 느린게 아쉽지만 후속이 나오니) 과학자라는 잡것들이 처음가본 행성에서의 물질/생명체를 멋대로 만지질 않나  맘대로 행동하는 말도안되는 것들이 좀 아...,,,,,,,,,,,,,,,
43,이 영화는 너무 의문점이 많아 어떻게 보면 무책임하고 무성의한 영화로 비춰질수있으므로 9점 그외에 긴장감 몰입도 그래픽 배우들 연기력 영화사운드는 훌륭함.  이 영화 속편이 기대된다,,,,,,,,,,,,,,,
44,이 영화가 왜 7점대여.. 미친 어케 A특공대보다 평점이 아래야. 갠적으론 인터스텔라보다 잘 만든거 같은디..,,,,,,,,,,,,,,,
45,평론가들 지들 인생이나 평론 했으면 좋겠다 ㅋㅋ 진짜 재수없다 ㅋㅋ  후속편이 너무 기대되는 영화임,,,,,,,,,,,,,,,
46,차라리 낮은 평점이라 더 좋다!(씁쓸 ㅜ)현 시대에 나와 이 영화의 매니아들만이 프로메테우스의 퀄리티를 공유할 특권이 있으니까..난 후대에 더 빛이 날 걸작을 영화관에서 봤고 후속편을 목빠지게 기다리고 있다 ㅎ ㅎ,,,,,,,,,,,,,,,
47,이게 왜 7점대야영화에 영자도 모르는 놈들,,,,,,,,,,,,,,,
48,평점 왜이렇게 낮음???,,,,,,,,,,,,,,,
49,굉장히 고급진 SF영화..,,,,,,,,,,,,,,,
50,이런 영화가 7점밖에안된다는게 네이버의수준인가,,,,,,,,,,,,,,,
51,진짜 몇백편의영화를봤지만 정말 쌩뚱맞게 SF에서 감명받음. 진짜 희대의 역작. 내인생1순위영화,,,,,,,,,,,,,,,
52,별갯수로 단순하게 평가할 수 없는 엄청난 영화,,,,,,,,,,,,,,,
53,미쳤네 평점조작보소 10점짜리임,,,,,,,,,,,,,,,
54,삼류영화 봉이 김선달이 8점이 넘더만 ㅋㅋ 이게 7점대라니 기가막히네 ㅋㅋ,,,,,,,,,,,,,,,
55,뫼비우스의 고리처럼 무한히 반복되는 순환 속에 인류의 기원을 찾아 떠나는 영화,,,,,,,,,,,,,,,
56,대박 작품,,,,,,,,,,,,,,,
57,이 엄청난 프로메테우스를 Imax 3D로 관람했기때문에 내 인생은 성공한 인생이라고 생각한다.,,,,,,,,,,,,,,,
58,재평가 되어야만 한다!!!!,,,,,,,,,,,,,,,
59,나는 이런 영화가 참 좋더라.,,,,,,,,,,,,,,,
60,sf 명작 중 하나. 말이 필요없음,,,,,,,,,,,,,,,
61,정말 보고 또봐도 정말 질리지 않는 전개와 화려한 그래픽~ 외계쪽 영화 좋아하시는분들이라면 무좋건 강추 2편 너무 기대함,,,,,,,,,,,,,,,
62,세상에 이토록 철학적이고 독립적인영화가 7점대라니.. 매년 찍어내는 한국산 저예산 조폭 재벌 코메디 영화도 8점대 후반인데..도무지 이해 할수가 없다..,,,,,,,,,,,,,,,
63,단순 오락성 영화만 아는 사람과 조금이라도 영화를 아는 사람을 구분하게 해주는 영화,,,,,,,,,,,,,,,
64,5번은 본것 같네요. 보면 볼수록 디테일까지 엄청난 영화,,,,,,,,,,,,,,,
65,오래사세요 리들리스콧 할아버지,,,,,,,,,,,,,,,
66,쇼박사의 출산장면은 너무 충격적이다,,,,,,,,,,,,,,,
67,8점대는 받아도 괜찮을 영화인데... 점수보다 꽤 괜찮은 영화,,,,,,,,,,,,,,,
68,7점뭐야 돌앗나ㅋㅋㅋㅋ,,,,,,,,,,,,,,,
69,최고다. 꼭보길.힐리스도표. 신격인 창조주와 인간,,,,,,,,,,,,,,,
70,인류 기원에 대한 흥미로운 대답.속 시원한건 아니지만 그렇다고 속시원히 내렸으면 납득했을까?,,,,,,,,,,,,,,,
71,왜 옆으로 안뛰고 앞으로 뛰냐구? 왜 왜 왜!!!,,,,,,,,,,,,,,,
72,명불허전. 명성이란 이럴때 쓰는 단어. 진한 여운과 무거운 기대감.,,,,,,,,,,,,,,,
73,평점이 8.5는 되야 된다고 생각해요~,,,,,,,,,,,,,,,
74,엥 이거 완전 명작 아니냐,,,,,,,,,,,,,,,
75,아니 재미있구만 뭔 점수가 이리 낮아?,,,,,,,,,,,,,,,
76,최소 8점 후반에서 9점 이상인 영화가 7점대에 머물러있냐..영상,,,,,,,,,,,,,,,
77,전 솔직히 에이리언 시리즈 중에 최고는 프로메테우스가 아닌가 싶습니다.,,,,,,,,,,,,,,,
78,프로메테우스를 보고 sf를 깨달앗다,,,,,,,,,,,,,,,
79,그냥 내가 좋아하는 스타일의 영화라서 10점아이맥스영화관에서 시종 입벌리고 봤음,,,,,,,,,,,,,,,
80,진짜 몇번을 봐도 잘만들었다.. 대단하다. 속편이 기다려진다,,,,,,,,,,,,,,,
81,평점7은 오바다; 진짜 눈한번안떼고몰입하게되고 계속봐도 안질림. 이만한 영화없음,,,,,,,,,,,,,,,
82,뒷북같지만 이 영화가 19금인 이유는 19세 이상만 이해가능해서 그런 것 같다 매우 인상깊음,,,,,,,,,,,,,,,
83,7번방의 기적같은 쓰래기는  9점주고 프로메테우스는 7점주는 한국관객 클라쓰!,,,,,,,,,,,,,,,
84,이거 평점 왜케 낮음? 겁나 재밌음!!! 내 기준 9점 이상이다!!평점 낮아서 10점 줌!!!,,,,,,,,,,,,,,,
85,내가 이영화를 100%이해를 하던 못하던,,,,,,,,,,,,,,,
86,이 영화가 평점이 7점대인거 자체가 조작인거 같다,,,,,,,,,,,,,,,
87,에일리언의 기원을 알게되었다....,,,,,,,,,,,,,,,
88,이 영화가 재미없다 하는 애들은 한번더봐라. 그래도 재미없다 한번더봐라 그래도 재미없다 한번더봐라 그래도 재미없다 한번더봐라 그래도 재미없다 한번더봐라 그래도재미없다 한번더봐라. 이해하고 재밌을때까지 봐라 그것은 너...,,,,,,,,,,,,,,,
89,너무너무 재밌었습니다 예전부터 한 20번은 본거같은데도 질리지 않고 재미씁니다,,,,,,,,,,,,,,,
90,네이버전문평가단은 영화제작에 아무런 쓸모도 없으면서 여기다 글만 깨작깨작적으면서 점수만 낮게 주면 자신들이 좀 된다고 생각하는거 같군욤. 그냥 평가하지 마욤 데헷,,,,,,,,,,,,,,,
91,어마어마한 스케일... 작은것 하나하나까지 엄청나게 공을들인 영화다. 이  영화는 에일리언 프리퀄임에도 단순히 프리퀄로 치부하기에는 너무나  멋진 설정들이 넘쳐난다.,,,,,,,,,,,,,,,
92,영상미는 가히 존경스러울정도 .. 맨앞부분에 엔지니어가 폭포로 뛰어드는장면부터 압도당하는느낌 ..심오하면서도 숭고함이느껴지는장면 이였음 중간중간에 이해가 안가는 장면이나 전개들이있었지만 보고나서도 계속질문을하게끔만드...,,,,,,,,,,,,,,,
93,숲을 보면 괜찮은 영화이나.. 낯선 외계에서 다들 심하게 조심성이 없어서 답답. 피라미드 탐사도 그렇겐 안하겠다.,,,,,,,,,,,,,,,
94,이게 왜 7점대???? 9점대 영화. 리들리스콧 감독님 감사합니다. 그리고,,,,,,,,,,,,,,,
95,말이필요없다.sf에서 전율이돋네,,,,,,,,,,,,,,,
96,이게 왜 7점대?? 맙소사 김치영화보단 훨씬 재밌는대;,,,,,,,,,,,,,,,
97,이게 왜 7점밖에 안되지?,,,,,,,,,,,,,,,
98,평점 좃망이네.. 영화보는 수준들 하고는ㅋㅋ 할말이없다ㅋ 스콧옹 오래오래사세요,,,,,,,,,,,,,,,
99,너무너무 저평가되어 있군요. 액션SF 영화를 정말사랑하고 심도있게 즐기시는 분들이라면 9점미만으로 나올수가 없는 영화 입니다!!,,,,,,,,,,,,,,,
100,광속 은하 여행을 할 정도의 기술력을 갖추고 천가방에 머리를 담아 오다니??,,,,,,,,,,,,,,,
101,한국인들 아무리 주관적이라지만  ㅋㅋ 1점주는애들은 뭐냐,,,,,,,,,,,,,,,
102,한국인 영화 보는 안목보소....이게 7점대라고??,,,,,,,,,,,,,,,
103,프로메테우스 후속작 만든다고 할떄 잔뜩 기대 했는데 이번에 나온 커버넌트 좀 실망.결국 수습불가였다.  그런데 왜 그게 더 평점 높은지 이해불가,,,,,,,,,,,,,,,
104,처음장면에 등장했던 분해되어 DNA를 흩뿌리며 죽는 외계인이 프로메테우스를 암시하는것이 아닐까? 인류에게 불을 전해주고 벌을 받는 그리스신화처럼...내용은 에일리언과 인류 탄생과 그에 얽힌 이야기를 전개하지만 산만한...,,,,,,,,,,,,,,,
105,7점 말이되냐 야이 까막눈시키들아 이새키들 7번방같은 질질짜는감성팔이 신파극에 8~9점주지 이런 명작이 고작 7점?,,,,,,,,,,,,,,,
106,최고예용!!!프로메테우스 사랑해요!,,,,,,,,,,,,,,,
107,친절한 영화는 아닌만큼 아는만큼 보일것이다. 대단한 작품..,,,,,,,,,,,,,,,
108,이 영화를 보고 낮은 점수를 준다면 그냥 각목으로 치고박는 조폭영화나 보세요 제발~~우리나라에선 나올수없는 시나리오 자본력 연출 삼박자가 잘 어우러진 심오한 sf영화. 9점이지만 점수가 너무 낮은거 같아 10점!!,,,,,,,,,,,,,,,
109,역시 리들리스콧. 역시 제대로된 외계인을 표현했고 2시간 영화가 끝날때까지 긴장감을 이어주네요. 특히 마지막 에일리언의 위엄 대박.그리고 아래아래 평 적으신분. 불가능한 현실이라고 하시는데 엄현히 2094년도임. 지...,,,,,,,,,,,,,,,
110,너무 흥미진진   찡합니다,,,,,,,,,,,,,,,
111,재밌고 심오하고 프리퀄로서 역할 다 한 영화인데 평점 존나 낮네,,,,,,,,,,,,,,,
112,참...이상한 매력을 가진 영화... 이 영화 개봉도 엄청 기다리긴 했었는데,,,,,,,,,,,,,,,
113,마지막은 충격적인부분도 있었지만 영화자체 작품성은 우수하다,,,,,,,,,,,,,,,
114,어메이징 하다 정말 역대급영화,,,,,,,,,,,,,,,
115,리들리 스콧에 계속 후속작을 만들어주길 ~,,,,,,,,,,,,,,,
116,컨버넌트 보려고 이거 먼저봤었는데 이게 더 재밌다;;,,,,,,,,,,,,,,,
117,5년전 에일리언 영화인지 모르고 봤는데..일단 설정자체가 너무충격적이었고 후속편을 너무 기다렸다..근데. 감독영감님 흥행에 집착했나? 커버넌트를 오락영화로 가서 프로메테우스랑 달라. 기다린 떡밥들은? 인류창조의 목적...,,,,,,,,,,,,,,,
118,에일리언 커버넌트 때문에 다시한번봤는데 적당하게 긴장되고 몰입되서 봤다 역시 명장은 다르구나,,,,,,,,,,,,,,,
119,에일리언 오리진격인 작품. 보통 이런 작품들은 1년 뒤에 속편을 내는데.. 기다리는 사람 애타게 왜 이렇게 안 나오지...,,,,,,,,,,,,,,,
120,캐릭터들 좀 짜증나는건 둘째치고 완전 명작이네 ㅋㅋ 근데 딱봐도 지구인간들 식량으로 쓸라고 만들은것같은데?,,,,,,,,,,,,,,,
121,이 영화는 정말 경의롭다....,,,,,,,,,,,,,,,
122,프로메테우스 너무 심장쫄림. 패스벤더 연기 좋음,,,,,,,,,,,,,,,
123,수준있는애들만봐 아님이해불가다,,,,,,,,,,,,,,,
124,여주인공 케릭터 겁나 짜증나서 보는 내내 답답했음,,,,,,,,,,,,,,,
125,네이버  평점은 믿을게 못된다는 말의 증거,,,,,,,,,,,,,,,
126,진짜 명작이다....,,,,,,,,,,,,,,,
127,이런 영화가 평점이 8점대도 안된다고?ㅎㅎㅎ제발 SF라고 어벤저스나 아이언맨 같은 영화만 바라지마라...이런 영화 우리나라나 그 어떤나라에서 두번 다시 안나옴,,,,,,,,,,,,,,,
128,도무지 이해가 안가네 ㅎㅎ 지구를 멸망시키러 간다고 해서 선장이랑 조종사들 죽게 해놓고.. 또다시 거길 찾아간다고?! 억지스럽다. 인류 다 멸망시킬 셈인가?? 인간의 호기심이 인류를 발전시켰지만 인류를 위험하게 하는...,,,,,,,,,,,,,,,
129,보는 내내 이야기와 인물갈등 설정도 엉망으로 나가고 주제에 대한 진도는 하나도 나가지 않음.,,,,,,,,,,,,,,,
130,막장 쓰레기 영화 개연성도 엉망이고  도무지  팀웍이든 뭐든 지멋대로ㅋㅋ 한 4-5점대 영화가 딱인듯,,,,,,,,,,,,,,,
131,역대 최고의 떡밥 영화. 그리고 떡밥은 회수가 안됨.인물행동의 개연성이 없는 게 너무 많음.죽기 싫은 놈들은 왜 동굴에서 돌아다니고,,,,,,,,,,,,,,,
132,7점대라고? 개웃기네 ㅋ 평점테러 ㅈㅈㅈ,,,,,,,,,,,,,,,
133,커버넌트 보고 다시보고 싶어서 재탕했는데 와 겁나 재밌네,,,,,,,,,,,,,,,
134,어마어마합니다. 이게 왜 7점대죠?,,,,,,,,,,,,,,,
135,인생영화. 늦은밤 조용히 보다가 심오함에 빠져 몇일동안 여러 생각에 잠기게 할 영화.,,,,,,,,,,,,,,,
136,평점이 외 이런거임??,,,,,,,,,,,,,,,
137,이렇게 주인공이 잘 안되길 바란 영화도 없었던듯.,,,,,,,,,,,,,,,
138,한 30번 봤음 위대한 영화임,,,,,,,,,,,,,,,
139,이런 명작이 7.7이라고??  제정신들인가?,,,,,,,,,,,,,,,
140,걸작감독의 대단한 프리퀄!!!,,,,,,,,,,,,,,,
141,최고최고최고최고최고,,,,,,,,,,,,,,,
142,그래서 인류의 기원이 뭐라고...?,,,,,,,,,,,,,,,
143,지금 평점은 말이 안된다.,,,,,,,,,,,,,,,
144,스릴 넘치고 재밌게 잘봤습니다. 다만 이해나 해석이 되지 않는 부분과 지구의 엄청난 인재들의 바보같은 행동이 일부있어서 이해가 되지 않았습니다.,,,,,,,,,,,,,,,
145,와.. 상상력에  압도당한다는  진부한  말이  제일  어울리네.,,,,,,,,,,,,,,,
146,2편이 기대된다.,,,,,,,,,,,,,,,
147,다음편이 더욱 기대되는 영화,,,,,,,,,,,,,,,
148,다른 행성까지 가게하려고 고르고 고른 엘리트들일텐데 뭔 길거리 시정잡배데려놓은것마냥 전문성들은 없고 멍청하게 행동하는 뻔한 클리셰의 반복 배안에있는 외계인 꺼내려 마취하고 수술하는데수술이 끝나자마자 바로 달려서 도망...,,,,,,,,,,,,,,,
149,평가절하된 수작이다. 정말 충격과 공포임..,,,,,,,,,,,,,,,
150,진짜 재미있게 본 영화이다 평점은 9점 이상이라 생각한다. 이걸 보면서 외계인이 있다고 믿는다,,,,,,,,,,,,,,,
151,역대급 철학영화!  이런영화는 여러번봐도 안아까움,,,,,,,,,,,,,,,
152,재밌내..   외 평점이 낮은거야..,,,,,,,,,,,,,,,
153,평점 너무 낮은거 아니냐..,,,,,,,,,,,,,,,
154,이런 수작이 7점대라니...,,,,,,,,,,,,,,,
155,리들리스캇은 위대하다.,,,,,,,,,,,,,,,
156,평점 올리기위해 왔다.에이리언 시리즈가 기사회생하길 바라며,,,,,,,,,,,,,,,
157,그냥 잘만들었다고 밖에는 설명이 안됨,,,,,,,,,,,,,,,
158,우주의 묘하고 신비한 분위기를 너무나 잘 표현해낸 깊이있는 영화,,,,,,,,,,,,,,,
159,지루할거라고 생각했는데 손에 땀을 쥐고 봤다.,,,,,,,,,,,,,,,
160,그냥 최고임 2탄 기대한다,,,,,,,,,,,,,,,
161,sf 좋아하면  꽤나 신선하고 재밌게 다가옵니다  아주재밌었어요,,,,,,,,,,,,,,,
162,드럽게 재미없고 유치한 한국여화도 8점대가 수두룩인데 이건 너무 저평가다 9점이 맞다,,,,,,,,,,,,,,,
163,개잼잇네  개명작 이제사 보다니,,,,,,,,,,,,,,,
164,다시한번 1편의 위대함을 느끼네. 이영화 역대급이맞음..,,,,,,,,,,,,,,,
165,평점을 안달수가없네. 긴장감과 몰임감 장난아님.,,,,,,,,,,,,,,,
166,리들리스콧 마이클패스벤더 프로메테우스,,,,,,,,,,,,,,,
167,대박.. 개재밌다,,,,,,,,,,,,,,,
168,최고입니다. 여러번 봤습니다.,,,,,,,,,,,,,,,
169,레게노 띵작!!!!  평점이 왜 낮은지,,,,,,,,,,,,,,,
170,저그에게 공격당한 프로토스를 찾아나선 테란들의 이야기,,,,,,,,,,,,,,,
171,이 명작이 왜 7점대.,,,,,,,,,,,,,,,
172,창조주와 피조물의 관계를 SF로 표현한 영화. 우리가 믿고 있는 신이 알고보니 진짜로 우주에서온 외계인이였다면? 신이 인간을 만들었고,,,,,,,,,,,,,,,
173,입이 쩍벌어진다 진짜 잘만들었다,,,,,,,,,,,,,,,
174,여주인공 통증 연기 최강..내가 아픈거 같이 느껴질 정도.,,,,,,,,,,,,,,,
175,의외로 평점이 낮네..,,,,,,,,,,,,,,,
176,평소 평점을 신뢰하는 편이지만 이 영화의 7점대는 불가해,,,,,,,,,,,,,,,
177,이 영화가 7점대라니 역시 네이버 평점은 믿을게 못된다.,,,,,,,,,,,,,,,
178,옆으로 안뛰어서 샤를리즈 테론이 죽는게 말이 되나? 허!,,,,,,,,,,,,,,,
179,최고 이거보고 정주행했다,,,,,,,,,,,,,,,
180,생각보다 너무 낮아서 10점준다 개인적으로 9점 영화는 됨,,,,,,,,,,,,,,,
181,뭔가 철학적‥인문학적이랄까 몰입감‥,,,,,,,,,,,,,,,
182,극장에서 티비에서 다 봤음. 리들리스콧의 역량과 한계가 동시에 느껴짐.,,,,,,,,,,,,,,,
183,마지막에 에이리언이 나오다니 굿,,,,,,,,,,,,,,,
184,수술대에 들어가 치료 받는게 너무 압권 잊혀지지가 않는다,,,,,,,,,,,,,,,
185,정말 철학이있는영화  진짜 5번짜보고있음,,,,,,,,,,,,,,,
186,개인적으로 정말 감명깊게 봤던 영화입니다. 신이라는 존재에 대해 다시금 생각하게 되는,,,,,,,,,,,,,,,
187,환상적인 창의력과 에일리언 시리즈로 이어지는 충격적인 프리퀼. 그러나 팬들의 입김에 커버넌트로 넘어오면서 프로메테우스가 보인 모든 혁신이 다 깨져버렸다. 고인물이 제일 문제다,,,,,,,,,,,,,,,
188,최근 몇년간 본 최고의 SF영화. 긴장감 스토리 비주얼 뭐하나 빠지지 않고 보고난 후에도 많은 생각에 잠기게 하는 영화,,,,,,,,,,,,,,,
189,이게 어찌 7점대 영화일수있나.이래서 네이버영화평점은 믿고걸러야함,,,,,,,,,,,,,,,
190,최고최강극강의 영화!!,,,,,,,,,,,,,,,
191,내 인생 Sf철학영화...,,,,,,,,,,,,,,,
192,10점 줘야한다.11점이 없는게 아쉬울뿐,,,,,,,,,,,,,,,
193,몰입도 높은 영화. 에일리언 과거버전이라니..,,,,,,,,,,,,,,,
194,죽는 창조자에게 안 죽는 방법을 물으러 그 먼 거리를 갔다가 맞아 죽으니 소득이 없었군,,,,,,,,,,,,,,,
195,프로메테우스2가 보고 싶다...커버넌트는 프로메테우스의 후속이 아니라 애일리언의 속편 혹은 리부트인 느낌이고 엔지니어에 대한 이야기가 생략되고 데이빗 중심의 주제와 메시지를 띈 내용이라 프로메테우스의 흥미를 이어가질...,,,,,,,,,,,,,,,
196,오래오래 사세요 감독님,,,,,,,,,,,,,,,
197,볼때마다 새롭고 몰입하게 됨. SF 장르의 마스터피스.,,,,,,,,,,,,,,,
198,레전드레전드레전드레전드레전드레전드,,,,,,,,,,,,,,,
199,스캇형님 만수무강해서 많은 영화 보여주세요,,,,,,,,,,,,,,,
200,누미라파스 예쁘다 / 재미있다,,,,,,,,,,,,,,,
201,명작입니다 내일 커버넌트 개봉사수 하러 갑니다~^^/,,,,,,,,,,,,,,,
202,긴말 안한데이~~명작,,,,,,,,,,,,,,,
203,두시간이 후딱 지나가있다는게 신기 ㅋㅋ,,,,,,,,,,,,,,,
204,명작이다 9점은되야되않나,,,,,,,,,,,,,,,
205,잘만들었네 블루레이로 보니깐 진짜 디테일하다 소품들도,,,,,,,,,,,,,,,
206,이거 보다 어떻게 더 잘만들어? 도대체 1점 준 인간들은 뭐냐?!,,,,,,,,,,,,,,,
207,말이 필요없는 최고의 SF,,,,,,,,,,,,,,,
208,한번봤을때는 ? 두번봤을때 진짜 흥미롭다.제스쳐하나 대사하나하나가 의미를두고있어 매우 섬세하다.이렇게 후속편이 기다려진 영화는 매트릭스이후 없었다,,,,,,,,,,,,,,,
209,긴장감도 좋고,,,,,,,,,,,,,,,
210,왜케 평점이 낮은겨...영화 보고 충격 그 자체였는데...;;,,,,,,,,,,,,,,,
211,많은 사람들이 한번쯤은 상상해 봤을수 있지만 이렇게 디테일하고  정말 이럴수도 있겠구나  라고 생각하게 만드는것은 쉬운일이  아닌것 같습니다. 역시 에일리언영화의 원조 다운영화입니다.,,,,,,,,,,,,,,,
212,평점 최소 8~9 이상은 된다고 보는데 왜이리 낮지? 난 왜 이 작품을 이제야 봤지? 그저 감독이 대단하다는 생각밖에 들지 않는다.,,,,,,,,,,,,,,,
213,인간의 욕망은 끝이없고 창조물은 우리에게 호기심과 지식을줬다   그리고 끝없는 지식의 갈구 우리가 인간이고 존재하는가치,,,,,,,,,,,,,,,
214,몇번을 다시봐도 충격적인 비주얼! 인류의 기원을 생각하게 만드는 스토리 진짜 개명작,,,,,,,,,,,,,,,
215,호기심과 두려움을 갖고 절대 가보지 못한 우주라는 미지의 공간에 가장 그럴듯한 상상력을 불어넣는다.,,,,,,,,,,,,,,,
216,대박 재미지다 이런게 평점이 8점이상이여야는데 너무낮다,,,,,,,,,,,,,,,
217,매트릭스에 이어 인류 최고의 작품 중 3 손가락 안에 들어가야 한다고 본다,,,,,,,,,,,,,,,
218,평점 실화냐? 적어도 9.0이상은 되어야할 영화.,,,,,,,,,,,,,,,
219,평점이 너무 낮잖아요..ㅠㅠ 강추 합니다,,,,,,,,,,,,,,,
220,프로메테우스는 개인적으로 21세기 sf중 인터텔라와 버금가는 명작이었다. 그런데 왜!! 커버넌트는 정말 같은 감독이 만든 영화가 맞는거냐jQuery224030349710932932794_1527085774149,,,,,,,,,,,,,,,
221,보고있는데 여주인공 박사뇬 핵발암 개쩜... 항암제 옆에 두고보시길,,,,,,,,,,,,,,,
222,다 좋은데 한국 정서로 엘리자벳 이기적인 OOO년 보면 암 쌓인다ㅋㅋ,,,,,,,,,,,,,,,
223,이게 7점대라고??  정신나갔네 ㅋ,,,,,,,,,,,,,,,
224,창조와 파괴  본능이라는것인가?,,,,,,,,,,,,,,,
225,괜찮음....7점대는 아닌데,,,,,,,,,,,,,,,
