,content,,,,,,,,,,,
56,사람의 소중함'이란 아주 간단한 주제를 이리도 장황하게 풀어야했을까?쓸데없이 겉멋에 환장하고 있어보일려고 무게 잡는 허탈한 영화입니다.,,,,,,,,,,,
57,이게 평점이 왜 높지?? ㅋㅋㅋ. 토미리존스 발암에다가 전혀 비상식적인 내용전개 ㅋㅋㅋ. 개코원숭이가 하드캐리지,,,,,,,,,,,
58,두시간 꿀잠자고 일어났는데 뭔가 재미없는 꿈을 꾼거 같아 원숭이도 나오고,,,,,,,,,,,
59,진짜 장난아니고1. 처음 시작하자마자 하품 나옴.2. 나도 모르게 잠자다가 원숭이나올때 깨서 헐 갑자기?3. 다시 잠듬※앉자마자 2시간동안 무중력상태로 숙면. . 바디프랜드 저리가랏일주일 피로를 싹 날려주는 힐링영화...,,,,,,,,,,,
60,그래비티 기대하고 남편한테 보고 싶다고 해서 같이 보고 왔다 남편한테 영화선택권을 박탈당했다,,,,,,,,,,,
61,영화관에서 처음으로 나를 잠들게한 영화...배우의 연기도좋지만 너무지루하고 잔잔한 영화...그냥 우주여행을느끼고싶은사람은 꼭 보시길 완전 잘자고 나왔네요 특히 심야라,,,,,,,,,,,
62,그래비티의 장점 인터스텔라의 장점 둘 중 하나도 없는 개연성 노 서정성 노 보는 재미 노 우주의 장관 노 시작부터 아빠 찾으러 가서 달에서 스타워즈 찍다가 화성가서 빨간 하늘보고 지하실에서 울고 혜왕성에서 방패들고 ...,,,,,,,,,,,
63,단순히 우주영화가 아니라 많은것을 생각하게 해주는 영화였습니다. SF 지만 스펙터클한거 원하는사람들은 재미없을수도 있지만,,,,,,,,,,,
64,판단은 각자의 몫이라 생각합니다.가까운 미래라는 설정이지만 우주에 대한 상식이 조금이라도 있는 관객이라면 이건 그냥 너무 억지 설정.상황연출 이네요.,,,,,,,,,,,
65,여러분은 이쪽저쪽에서 코고는소리를 듣다가 어느새 나도골고있는 신세계를경험하실겁니다,,,,,,,,,,,
66,왜 평점이 높은지 노 이해 피트 연기는 인정 그거 하나랑 아 원숭이 ㅋ 진짜 잤다,,,,,,,,,,,
67,묵직한 울림과  여운이 있는  영화.. 인간내면을 브레드피드가  너무  잘 표헌함...,,,,,,,,,,,
68,왜... 이런 영화를 ... 만들었죠...?,,,,,,,,,,,
69,평점보고 낚였네극장 나올때 기억에 남는게 없음,,,,,,,,,,,
70,진짜 꼭보셔야 되요 정말 꿀잼 심야추천! 보다가시간보면아침 밥 먹을시간 입니다 눈한번만 감으세요피곤이사라집니다. 우와 진짜미쳤네요영화시작순간영화관을 우주로 만들어드려요 진짜 평점 알바의 위대함을보여주네요 영화보고 평...,,,,,,,,,,,
71,내가 우주에 간다면,,,,,,,,,,,
72,단순한 이야기를 쓸대 없는 큰 스케일에 담았어. 이 영화에서 먼가 큰 감명을 받는다는 것이 나에겐 왜 그렇게 힘든 일일까? 가족의 소중함은 코믹영화에도 깔려있는 소재인데,,,,,,,,,,,
73,모든걸 떠나서 진심 재미가 없다 진짜 영화보는거 좋아해서 비디오방까지 했을정도로 영화 좋아하는데 극장에서 잠들어 보긴처음임 인터스텔라 운운 하는 분들은 혼자 죽기 싫어서 그러는건지,,,,,,,,,,,
74,어떤 장면이 나오더라도 BGM은 잔잔한 뿅뿅 뾰로뿅뿅~ 무슨 엠씨스퀘언줄. 알파파가 유도해서 절로 수면상태에 들게 함,,,,,,,,,,,
75,너무 지루해서 영화보는 내내 개짜증남,,,,,,,,,,,
76,인터스텔라같은 영화보고싶었는데ㅜㅜ 저는 개인적으로 지루했어요..,,,,,,,,,,,
77,넓은 우주를 여행하지만마음 속은 좁은 동굴만 같았던 주인공.갑갑하고 우울하고 외로운 우리들에게결국 행복은 우주 어디가 아닌 바로 자신의 마음 속에달려 있다는 것. 그리고 그건 다른 사람들과의 관계에 마음을 여는 것에...,,,,,,,,,,,
78,그래비티 인터스텔라가 아니라,,,,,,,,,,,
79,감독문과출신이 아닐까 할정도로 우주에 대한 지식이 하나도 없다.. 우주선문짝들고 해왕성에 뛰어들때 기가차더라ㅋㅋㅋ,,,,,,,,,,,
80,이거 0점도 가능한거죠?이건 SF가 아니고 스페이스 오페라라고 생각돼요.SF란 단어를 모독하는거죠.브래드 피트가 변사처럼 주구장창 혼잣말하고 막판에 몬가 반전이 있을줄 알았더니 아무것도 없어.내 인생 최악의 영화!,,,,,,,,,,,
81,진짜 뭘 얘기하고싶은지도 모르겠고 처음부터 끝까지 개민폐덩어리 부자얘기 ;,,,,,,,,,,,
82,인터스텔라 그래비티 마션을 안본 제 여친은 극찬하더라구요 저는 위에 세영화 다 너무 재밌게 본사람인데 보면서 졸았습니다 작품성 연기력 교훈 이런거 다떠나서 재미없는건 재미없는거에요,,,,,,,,,,,
83,정신병와서 자기 부하 킬한.아빠 만나기.위해무단침입해 세명킬하고 부자상봉햇더만결국 누가.덜 미쳣나.하는영화최악이다 ㄴㅂ,,,,,,,,,,,
84,인터스텔라랑 비교하는건 많이심했다우주를 좋아해서 우주관련된영화는 전부 다 보는데 이게 재미있다고? 팝콘먹는것도 눈치보일정도로 조용했던것밖에 기억이안나네..처음으로 중간에 나오고싶었던 영화..,,,,,,,,,,,
85,ㅋㅋㅋㅋ 장난치냐 댓글들? 우주 소재를 썼다 뿐이지 우주랑 1도 관련 없다 ㅋㅋㅋㅋ 픽션 + 철학 영화임 ㅋㅋㅋㅋ 와 진짜 나 우주 핵 매니안데 내가 우주 영화를 보면서 지루할 수 있구나 라는 생각이 드는 수준이었음...,,,,,,,,,,,
86,시작부터 지적생명체 어그로 끌다가 결국은 아무것도 없음 핵노잼,,,,,,,,,,,
87,하아지금 보고 나왔는데 저 진짜 알바아니고 네이버 평점보고 갔다왔는데 진짜 끝까지 모가 있겠지 하다가 끝까지 자다가 나왔어요...정말 미치는줄 알았어요...정말 가뜩이나 오늘 머리도 어지러웠는데 더 멍..,,,,,,,,,,,
88,하..밤샘작업하고 꿀잠자러 갔다가 잠깨서 나왔네,,,,,,,,,,,
89,뭘 말하려는 영화였는지?   우주? 사람의 심리?  보는이에따라 느끼는게 다르겠지만...  평점이 이렇게 높은건 좀...,,,,,,,,,,,
90,하고 싶었던 말을 알겠음. 근데 SF 영화라면 최소한의 과학적 개연성은 유지해 줘야 하지 않을까??,,,,,,,,,,,
91,아빠랑 연 끈으려면 해왕성까지 가야된다,,,,,,,,,,,
92,이 영화는 아무리 우주의 심오함과 감정선에중심을둔 영화라고해도솔직히최악으로지루했습니다. 최대한 그 어떠한 다른 쪽의 의미라도 느껴 보려고 마지막 자막이 오르는 그 순간 까지도 저는 정말 두눈 부릅뜨고 열심히 본 영화...,,,,,,,,,,,
93,0점 없나요? 돈많고 시간많고 불평없는 사람들만 보세요...,,,,,,,,,,,
94,우주해적 과 카트라이더하고 아빠한테 편지쓰다가 얼음땡놀이로 모두 잡은후 아빠찾아 42.195억Km 찾아가 부전자전이라는걸 확인한 후에 추진력을 얻기위해 핵폭탄을 터트리는영화,,,,,,,,,,,
95,제가 여친한테 이거 보자해서 봤는데 지루한거 억지로 봤다면서 저한테 하루종일 기분안좋았어요.,,,,,,,,,,,
96,영화에 클라이막스부분이 없는거 같습니다 SF영화 덕후인데 좀 많이 실망했습니다..;;,,,,,,,,,,,
97,엔딩크레딧 올라갈때 관객의 절반 이상이 기지개 켜는 신기한 광경 볼 수 있음. 일반 2D로 본 것도 짜증났는데,,,,,,,,,,,
98,경고한다 보지마라...,,,,,,,,,,,
99,존재하지 않는 무언가를 찾느라 인생 허비말고 네가 가진 무언가를 소중히 여기고 사랑하란 진부한 이야기를 2시간 동안 끎진짜 망작,,,,,,,,,,,
100,거짓말안하고  보는내내 지루했고  진짜  중간에잠들었음..,,,,,,,,,,,
101,1점도 주고싶지 않은 20번을 졸아본  첫 영화!정신 차리려고 팝콘을 억지로 먹어가며 버틴 내 인생에 두고두고 화가날 영화 주려는 메시지도 당최;;;모두가 억지 스러웠다.우주가 아름다워 보이지도 않았다.높은 평점은 ...,,,,,,,,,,,
102,우주 철학영화졸린거 싫으심 절대비추,,,,,,,,,,,
103,너무 지루함 결국 참지 못하고 잤는데 중간에 유인원은 머고 대체 이해가 하나도 안감,,,,,,,,,,,
104,1. 과학 sf는 아닙니다.2. 일에 미친 남자에게 이제 그만 주변을 보라고 권하는 영화입니다.3. 중간중간 침묵이 과하고 마지막엔 작가가 아예 등장인물로 자기 주장을 퍼붓습니다.4. 영상미는 예쁘지만 답답합니다. ...,,,,,,,,,,,
105,있지도 않은거 찾지말고 가까이 있는거 챙기라는게 영화 교훈같은데 전투씬이던  도킹이던 원숭이던 모든 연출이 다 어설퍼 방패하나로 천왕성 고리뚫을때가 제일 어이없음 뭐 고뇌를 엄청 많이 늒게 하는 척 하는데 별로 고뇌...,,,,,,,,,,,
106,영화관에서 잔 적 한번도 없는데잔잔한 음악과 푸른빛영상과 브래드피트 속삭이는 목소리 덕에 꿀잠자고왔다 침팬지 나올때만 잠깐 깼다,,,,,,,,,,,
107,너무 잠오는데 돈아까워서 보려고 했지만 끝까지 노잼 ㅠ 벌서는 느낌이었음,,,,,,,,,,,
108,최악의 영화..내돈 ㅠㅠㅠㅠ,,,,,,,,,,,
109,우주영화는 그래비티가 끝인 줄 알았는데.. 와 이건 뭐 두시간 내내 몰입감 대박이었음,,,,,,,,,,,
110,재미없습니다 장르도 정확히 뭔지 모르겠고 분위기는 어둡기만하고 내용에 기승전결도 느껴지지도 않고 뭘 말하고자 하는지도 전혀 전달이안됩니다 보지마세요,,,,,,,,,,,
111,전 그냥 일반인입니다..영화상영시간동안 잘자고 왔습니다.,,,,,,,,,,,
112,유인원 나올때까진 흥미진진했는데...,,,,,,,,,,,
113,할말을 잃음. 브래드피트가 찍은 것 치고 구성이 이렇게 엉성한 게 있었나.. 감독이 말하고자 하는 의미는 알겠는데.. 개연성도 없고 우주비행을 다룬 기존 작품에서 다룬 것과 차별성을 이루지도 못했는데 심지어 그 부분...,,,,,,,,,,,
114,삶이 어떻게 흘러가더라도. . .너무 사실적인. .공허한 우주. . .영화보고나서 나오는 발걸음으로 느껴지는 중력이 왜이리 행복한지. .,,,,,,,,,,,
115,이게 재밌다는 놈들 뭐냐,,,,,,,,,,,
116,할 말을 잃었다.. 기대이상이라..,,,,,,,,,,,
117,"한단어로 설명 가능하네요""수 면 제""",,,,,,,,,,,
118,굳이 혜왕성을 가야했을까?,,,,,,,,,,,
119,언제 잠들어도 이상하지 않은 영화,,,,,,,,,,,
120,우주 영화를 빙자 한 심리극이다.,,,,,,,,,,,
121,이걸 재밌다는 놈들은 도데체 어떤 놈일까.,,,,,,,,,,,
122,너무 정적이라 지루하고 졸립다,,,,,,,,,,,
123,도대체 뭔내용인지 장르가뭔지 모르겠고 감정이입하나도 안되고 끝나고나오면 존이까운영화,,,,,,,,,,,
124,브래드 피트 혼자서 다했다..,,,,,,,,,,,
125,심야영화관에 5명있엇습니다4명다 고개가꺾엇엿네요,,,,,,,,,,,
126,꿀잠자기 좋은 영홥니다                                                                     불면증 해소용으로 강추합니다.,,,,,,,,,,,
127,저랑 와이프는지루하게 봤어요~철학적인데 그렇다고 메시지가 참신한 것도 아니고...,,,,,,,,,,,
128,빵형...이렇게 연기 잘해도 되는거야? ㅠㅠ,,,,,,,,,,,
129,지루하다는 사람한테 뭐라하고 싶지는 않다. 다만 나에게 있어선 삶을 되돌아보게하고,,,,,,,,,,,
130,정말 깊게 잘잤어요 인터스텔라 그래비티 생각하고 오는거면 안보는게 나아요,,,,,,,,,,,
131,뭐라 설명하기 힘드네요. 마지막쯤에 교훈 하나빼고는 너무 지루하네요.,,,,,,,,,,,
132,절대 10점 줄 영화가 아니다... 8.88이니 평점 조절차원에서 최하점 드리겠음.영화보고 나오는 관객들 표정이 다 아쉽다는 표정이었고,,,,,,,,,,,
133,우주영화 기대하고 봤다간 개노잼일겁니다,,,,,,,,,,,
134,지루함의 극치. 졸림의 극치.,,,,,,,,,,,
135,홍보는 무슨 우주 추격전으로 하더니 실상은 다큐네.이런 주제의식에 이렇게 무게를 잡다니 한심허다,,,,,,,,,,,
136,원숭이가 그나마 잠캐워줘서 1점이다,,,,,,,,,,,
137,저도 우주배경 영화 매우 광팬이고 지구에 관한영화도 매우 좋아합니다. 코어부터 그레비티 마션 페신저스 인터스텔라 등등 진짜 웬만해선 다봤는데,,,,,,,,,,,
138,기대하고 갔는데 별로. 스토리가 별로임. 연출도 그닥..,,,,,,,,,,,
139,슈퍼히어로 영화보다 낫다고? 마지막에 슈퍼히어로도 못할 엄청난 자체 연산으로 고리 방패하나로 모든 것을 다 뚫어서 우주선 도착하는데 그게 슈퍼히어로가 아니고 뭔가 또 핵을 이용한 반동으로 지구까지 가는 장면그게 사람...,,,,,,,,,,,
140,삶의 소중함을 꼭 해왕성까지 다녀와야만 아냐?,,,,,,,,,,,
141,아니 여친손잡고 영화 잘보고 눈떳는데 여친님이 눈을뜨지안으신 영화,,,,,,,,,,,
142,원숭이 나올때 빼곤 지루합니다...,,,,,,,,,,,
143,별점 다 알바들이였네 짜증난다 너무 재미없어....ㅡㅡ,,,,,,,,,,,
144,2점도 아깝다 진짜 영화 러닝타임이 두시간도 채 안된다는걸 잊게 하는 영화 . 네시간 앉아있었던거 같다 엉덩이에 종기 날거같음 성장영화나 예술영화는 꼭 이런식으로 만들어야만 하나이제 우주비행사들의 숨소리가 들어간 영...,,,,,,,,,,,
145,심박이 80 이상 오르지 않는 영화.살인원숭이,,,,,,,,,,,
146,광활한 우주 속 인간의 내면의 이야기 슬프지만 여운이 남는영화,,,,,,,,,,,
147,왠만해선 영화관서 졸지 않는데 미친듯이 잠이 쏟아짐 ..영화초반에 졸고있는 나를 여친이 한 5번정도 깨웠는데 그냥 그정도면 자게 냅두지 하고 살짝 승질냈다가 싸움남ㅋㅋ그래서 볼내용은 다봤지만...난 쫌...그렇다,,,,,,,,,,,
148,브래드피트의 인생연기...! 지금까지 우주영화들과는 다른 느낌입니다!!,,,,,,,,,,,
149,사이코패스(감정결여) 애비와 아들의 눈물겨운 우주 이산가족 상봉 대체 뭘 말하고 싶었던거야? 되도 않는 중2병 주인공의 독백을 영화보는 내내 듣느라 괴로웠다. 누가 그래비티 인터스텔라에 비교를 하는거냐 대체...,,,,,,,,,,,
150,미치게 졸린다.. 수면제 영화임,,,,,,,,,,,
151,지루할수도 있고 전달하는 메시지도 생각보다 단순하지만 요즘의 저질코미디 한국영화보다 훨씬좋았고,,,,,,,,,,,
152,보이지않는 것을 찾느라 인생을 허비하기보다는바로 눈앞에 보이는 것들을 알아보고 사랑하는 사람이 되야겠다.,,,,,,,,,,,
153,절대 심야시간에는 보지 마시길...기억나는거 영화 시작 브래드 핏트 얼굴 중간에 한번 깸 개코 원숭이 터지는 장면 우주 해적들과의 추격전 그리고 마지막 브래드 피트 형 얼굴뿐....,,,,,,,,,,,
154,이거는 배경이 한국이랑 남극으로 했어도 줄거리랑은 상관없음,,,,,,,,,,,
155,브래드피트의 내면연기 넘 좋았어요!,,,,,,,,,,,
156,별 한개도 아깝다진심 최악이다 .알바에 속았다...,,,,,,,,,,,
157,어제 개봉일에 맞춰서 단체로 보러 갔는데요,,,,,,,,,,,
158,인간적으로 이 평점은 아닙니다,,,,,,,,,,,
159,인터스텔라>그래비티>라이프>>>>~>>>>~>>>>애드아스트라,,,,,,,,,,,
160,대단하네요 아침에 입벌리고 봤습니다,,,,,,,,,,,
161,하 클리세 덩어리 ?내용은 없었다  스페이스 오딧세이의 번뜩이는 철학적 탐구를 오마쥬 하지도 못하고 뻔한 결만을 위한 긴 여정의 지루한 나열과 영상장치뿐 ?,,,,,,,,,,,
162,추석때 거지같은 한국영화 삼총사때문에 영화관가서 보고 싶은 영화기다리다 간만에 나온거 같아 아이맥스에 갔지만..하...계속 하품 나오고 졸리고 졸리고..내용은 진부하고...이런 시나리오를 굳이 비싼돈 들여서 우주 배...,,,,,,,,,,,
163,내가 너무 피곤할때 영화를 봤나 ㅠㅠ 퍼스트맨 이후 두번째로 극장에서 잠든영화.,,,,,,,,,,,
164,도대체 평점을 못 믿어서 영화를 못보겠다!,,,,,,,,,,,
165,빵오빠 ㅜㅜ 이런 영화 자주자주 나왔으면 좋겠당. 우주에서도 존잘러네. 눈을 못 떼고 봄,,,,,,,,,,,
166,사이언스픽션인데 사이언스는 다 무시한 영화. 우주에서 필요할 땐 중력이 있고 필요 없을 땐 없고. 해왕성 고리의 운석(?)을 겨우 우주복 포함해도 200kg를 못 넘길 브래드피트가 다 뚫고 작은 운석들의 충돌로 인한...,,,,,,,,,,,
167,우주영화인줄 알앗는데,,,,,,,,,,,
168,저에겐 너무 수준높은 영화였습니다....,,,,,,,,,,,
169,별 주제같지도 않은 주제를 표현하고자 큰 돈 들여 sf배경과 브래드피트라는 대배우를 써서 흥행몰이 할려는 의도로 밖에 전혀 안보이는 병맛 영화이며 이걸 또 찬양하는 인간들이 있다는게 참 신기할 따름이다.. 우주를 배...,,,,,,,,,,,
170,재미없었다 무늬만 sf 속은 드라마,,,,,,,,,,,
171,자다가 개코원숭이에 잠깐 깨고 다시 잠,,,,,,,,,,,
172,브래드피트 asmr 개꿀잠잠,,,,,,,,,,,
173,우주만큼 넓고 깊은 인간의 공허함,,,,,,,,,,,
174,나만 죽을수 없다 꼭봐라!,,,,,,,,,,,
175,와 이거 죽이네..ㄷㄷㄷ,,,,,,,,,,,
176,스릴러 장면이 많이 나오지 않아서 사람에따라서 지루하다고 느낄수도 있지만 브래드 피트의 내면연기에 빠져드는순간 이영화의 몰입감은 올해 역대급 영화 였던 것 같아요.,,,,,,,,,,,
177,시작도 좋고 광활한 우주배경도 감동이었으나이해하기 힘든 마무리가 아쉽네요.,,,,,,,,,,,
178,이건 작품성도 뛰어나고 눈호강도 하고 몰입감 최고다.. 러닝타임이 너무 짧게 느껴졋고 긴장감도 있었으며 등장인물에 심리에 완전 이입되엇던.. 인간의 내면적 갈등 묘사가 최고며 브래드피트는 자신의 삶과 닮아잇는거 같기...,,,,,,,,,,,
179,한없이 멀어져가는 아버지를 보는 아들의 눈물은 무중력의 공간에서도 뺨을 타고 흐를만큼 무거웠던 것.,,,,,,,,,,,
180,여러가지 생각이 드는 영화지만 결론... 집가고싶다,,,,,,,,,,,
181,"먼 우주에서 무언가 찾으려했지만 그안에 있는것은 ""공허함""이였다",,,,,,,,,,,
182,모비딕이 아니라 에이헤브 선장을 찾아 떠나는 모험. 자아성찰과 훌륭한 영상미,,,,,,,,,,,
183,피트형아하고 태양계 여행 잘 하다 왔어요,,,,,,,,,,,
184,우주영화 너무 좋아하는데.. 완전 취저 영화 ㅠㅠ 찢었다 진짜,,,,,,,,,,,
185,불면증있으신 분만 꼭 추천드립니다.,,,,,,,,,,,
186,인터스텔라는 반전이 있었고 그래비티는 편안함이 있었다. 이 영화는 무의 정서를 표현했다고 하지만 무의 정서을 표현했다기엔 내용전개의 걸림돌이 너무 많았다. 옆에 있는사람을 소중히 하자는 생각은 길거리에 3일만 버려져...,,,,,,,,,,,
187,아... 진짜 초반에 잤구요.중반에 원숭이 때문에잠깼구요.막판에 방패들고 있슷 브래드피트를보고 트로이가 생각났습니다.영화 2천편이상봤지만 이건아니죠...,,,,,,,,,,,
188,방금 극장에서 보고...아니 극장에서 자고 옴...,,,,,,,,,,,
189,우주라는  이미지 심연안에서  내면의  성찰을 이루다.  브래드피트의 연기는 가히  으뜸,,,,,,,,,,,
190,솔직히 말해 재밌는 영화는 아니다. 적막한 분위기에 관객의 지루함도 느껴졌다. 하지만 그럼에도 9점짜리 영화. 한국영화와 비교하고 싶진 않지만,,,,,,,,,,,
191,제임스 그레이 감독의 연출에 또 한 번 감탄 ㄷㄷ 2시간 넘는 시간이 1도 지루하지 않고 흠뻑 빠져들다가 왔다,,,,,,,,,,,
192,경이로움 그 자체,,,,,,,,,,,
193,기대 이상.. 2시간이 짧게 느껴질 정도..,,,,,,,,,,,
194,고릴라 나올때 당황스러웟음,,,,,,,,,,,
195,감독이 말하고자 하는 뜻 잘 알수 있었으나 뭔가 가슴 깊숙이 아 맞다... 깨우쳐주는 그런 뜻도 아니고 걍 너무 평범하고 당연한 말을 우주 대서사를 펼쳐가면서 씀 이 영화를 요약하면 내주변 가까이에 있는 소중한 것들...,,,,,,,,,,,
