,Word
78,러시아 러시아조직바우 조직 바우 킹 털끝 털끝하나 하나 진짜 별 
79,일본 일본중국인 중국인 윅 윅보고 보고 팬 유리 인위적 후반 
80,2 1 몸 몸싸움 싸움 초반 총장 총장전 전 거 
81,긴장감 하나 키 나이 나이때문 때문 팩트 액션 스토리 바닥 
82,장르 의심 정도 개그 개그요소 요소 이것 영화 매력 액션 
83,액션영화 화려 주기 주기식이 식이 리얼 살상 효율적 동작 대부분 
84,ㅈ 차기 때 제압 심장 심장1발 1 발 머리 머리1 
85,평론가 신경 마십쇼존윅 거 시간 열명 영화 존윅 엉덩이 배 
86,액션 할아버지 악당 장님 영화 영화 감독 확인 동양 동양액션 
87,액션 호흡 쌩뚱 합 완벽 느낌 초반 최고 최고속도 속도 
88,루즈 결국 피로감 건 건1 1 때 내가 너 느낌 
89,2 일본 대머리 후반 뭐 윅 팬 거 하나 나 
90,머 완벽 완벽했습 했습 니 너 뮤 실망 윅 윅1 
91,1 생각 존 존윅 윅 시리즈 스토리 액션 하나하나 기억 
92,정 정도로 도로 4 4편 편 시리즈 시리즈중 중 최고 
93,액션 4 전주 토요일 메가 메가박스 박스 상 상암월드컵 암 
94,월드컵 시사회 뒷발굽 뒷발굽차기 차기 칼 도끼 도끼던지기 던지기 파트 
95,고환 고환깨물기 깨 물기 총 뚝배기 철갑 철갑방탄복 방탄복 등등 
96,액션 얏 데 눈 호강 요소 액 액선 선 개 
97,개실망 실망 릴 링 링타임 타임 용 스토리 건 별 
98,신경 안 소피아 가하 여자 뜬금 대머리 쪽 쪽바리때문 바리 
99,때문 개연성 부분 1 2 2편 편 단순 거 2019 
100,2019년 년 절반 올해 이것 액션 영화 나이 액션 액션씬 
101,씬 완벽 소화 키 리브 리브스가 스가 존경 키 리브스만 
102,만족 액션 액션영화 영화 획 별 별점 점 1 1점 
103,점 영화 영화존윅 존 윅 12 생각 긴장감 멋 멋짐 
104,짐 탄성 웃음 허탈감 어이 말 필요 절대 액션 마지막 
105,1 1초 초 때문 123 123편 편 예고 예고편이 편이 
106,평 평식이 식이 영화 거 존윅 고통 악당 이젠 지경 
107,담 담편 편 이상 개그 포인트 킹스 킹스맨 맨 이전 
108,존윅느낌 계속 액션 신 지 칼질 칼질액션ㅎ ㅎ 스케일 전작 
109,15 15세 세 마녀 독전 이번 총칼 잔인 잔인하다 하다 
110,피 난무 소름 지존 지존윅 윅 여유 워 거 대사 
111,액션 킬러 전쟁 서사 예술 동물 사랑 전쟁영화 영화 윅액션자체 
112,자체 교훈 주 평 평식이 식이 덕분 영화 떡 학계 
113,정설 짱 17 17대1 대 1 말 머릿수 머릿수임 임 
114,액션 함 사실 유치 있음 키 리브 리브스형 스형 건 
115,왤 봄 1 1편 편 못 스토리 2 2편 액션 
116,오늘 알바 중반 중반이후 이후 갑 갑분 분 일본 자 
117,컨셉 연출 거 감독 존윅만 실망 이번 존 존윅 윅 
118,3 3편 편 액션 액션영화 영화 액션예술 예술 존윅 맛 
119,이번 느낌 4 4편 편 기대 마무리 오늘 조조 키 
120,리브 액션 사운드 영화관 추천 내가 액션 영화 영화관 수 
121,감사 존윅 최고 최고봉 봉 듯 개 리얼 액션 영화 
122,별 보 보셈 셈 3 3편 편 4 4편 동시 
123,영화 존 윅 져스 가도 이거 애 영화 새ㅡ끼들임 분명 
124,후반부 참담 수준 이것 존 존윅2 윅 2 존윅3 3 
125,눈 느낌 느낌임 임 영화감독 거 액션 액션영화 영화 교과서 
126,편집 속임수 속임수따위 따위 윅 감동 ㅜ 즘 반감 이번 
127,영화 과도 액션 액션영화 현 현실적 실적 강점 존윅 총기 
128,총기사용자 사용자 자가 도륙 장면 이해 재 재밌으 밌으 진짜 
129,존 존윅팬 윅 팬 이번 이번편 편 존윅만 매력 자 
130,야쿠자 건 4 4편 편 기대 마지막 대사 긴장감 1 
131,싸움 ㅈ 무술 무술액션 액션 연습 느낌 상대 존윅 행동 
132,이것 영화 실전 헤드 유도 영화 전 전편 편 권총 
133,제압 머리 확인 확인사살 사살 간 액션 업 몸싸움 주 
134,주구장창 구장 창 스토리 산 윈스턴 말 말한마디 한마디 꺼 
135,사막 손 은 연기자 어디 액션 액션씬 씬 티 몰입 
136,몰입감과 감과 흥분 존 윅 윅4 4 발 뭐 존 
137,존윅 윅 총질 누 거 쌈 예절 쪽발이 ㅉ 나 
138,12 편 재미 후반부 액션 별로였다존윅만 액션스타일 스타일 일 일뽕 
139,뽕 무술 무술감독 감독 누구 액션 어색 어색해합 해합 티나 
140,액션 리얼리티 짐 초반 몸 격투 격투씬 씬 눈 보임 
141,내용 처음 끝 함 1 2 액션 액션영화 영화 청 
142,청불이 불이 잔인 일본인 사무라이 전 시원 액션 액션영화 영화 
143,필요 서사 머리 머리안 안 평 평식 식 20 20년만 
144,년 만 대사 총 강아지 마라 이것 평점 8 8점 
145,점 수 의문 생각 10 10점 영화사 관계자 요즘 네이버 
146,자체 신뢰성 영화 올해 처음 액션 듯 하기 키에누리브스 첫사랑 
147,촌 느낌 평점 시간 존윅 발 대도 안 안맞어 맞어 
148,리 리로드 로드 키 키누 누 슬로우 로 액션 파라 
149,파라벨룸 벨 룸 연습 티 정도 진일보 모습 박수 말 
150,존 존윅시리즈중 윅 시리즈 중 잔인 존윅 맨몸 맨몸액션 액션 
151,총 앞 시리즈 느낌 뒤 액션 중반 액션연기 연기 합 
152,막 준비 키 나이 이해 예전 존윅 싸움 존 존윅2 
153,윅 2 거 후반 샷 신 영화 가치 오랜만 눈 
154,수 액션 봣네 21 21세기 세기 최고 액션 액션영화 영화 
155,칼싸움 잔인 거 결말 1 1편 편 액션 액션영화 영화 
156,서사 인간 중국집 스테이크 거랑 뭐 달러 나 지금 액션 
157,액션영화 영화 이것 진짜 개지 일 일뽕 뽕 마지막 이랑 
158,씬 루즈 가운데 손가락 연기 키 리브 리브스가 스가 최고 
159,듯 액션 엑기스 엑기스131분 131 분 존 존윅 윅 2 
160,2번 번 3 보세 서사 서사따위 따위 마세 시간 10 
161,10명 명 저승 조 단 본질 듯 1 2 기대 
162,안됨 기대 실망 ㅠ 액션 액션장면 장면 집중 결국 마크 
163,카스 카스커스 커스 동양인 배우 12 12의 의 신 신박 
164,박 느낌 스케일 액션 2 2시간 시간 스토리 재미없고ㅠ액션 영화 
165,돈 대박 대박잼있음 잼 있음 나 알라딘 토이 토이스토리 스토리 
166,근래 근래본영화중 본 영화 중 액션 합 원빈 아저씨 하다 
167,짐 개 실망 1 2 2편 편 진심 기생충 알라딘 
168,악인 악인전 전 최근 봣 영화 영화중 중 존윅 최고 
169,요새 개인적 6 7 윅 9 뽕 뽕땜 땜 별 
170,별하나 하나 존윅만 세계 룰 이해 공감 액션 10 10점 
171,점 20 20점 사실적 리얼 액션신 신 헤드 헤드샷 샷 
172,노리 투신 장전 모습 지휘자 손짓 영상 미 다음 목표 
173,문 문재앙 재앙 12 잼 액션 액션 득점 스토리 이상 
174,진짜 마무리 끝 줄 존 윅 분노 분노게이지 게이지 3 
175,3편끝 편 정점 4 4편 적 그 명복 듯 눈요기 
176,눈요기거리 거리 3 3편 편 뒤 루즈 루즈해지 해지 4 
177,4편 생각 존윅 10 10편 듯 존 존윅3 윅 3 
178,액션 영화 기준 1 레 레전 전 2 3 쓰레기 
179,쓰레기임 임 쌍 년도 짱 영화 액션 액션씬 씬 핫 
180,핫핫 요 요ㅈ ㅈ 스토리 개연성 씹망 4 90 확률 
181,용두 용두사미ㅉ 사미 ㅉ 베리 연기 윅 윅시리즈 시리즈 최악 
182,어색 액션 액션씬 씬 입이 감정 감정선 선 시종일관 표정 
183,개 장면 참신 유치 일 물때 악당 나 키 액션 
184,액션씬 씬 몸 설정 스턴드 느낌 바보 전문 전문킬러 킬러 
185,어디 4 4편 편 과정 사무라이 감점 액션 액션씬 씬 
186,반복 콘티 콘티넨 넨 호텔 파라 파라벨룸 벨 룸 전쟁 
187,전쟁시작 시작 을 비발디 사계 겨울 겨울악장 악장 액션 액션씬 
188,씬 백 백년 년 회자 듯 2 2편 편 스토리 
189,액션 못 전편 칼부림 듯 감독 4 4편 런지 신보 
190,수 이거 사실 코미디 영화 개연성 유치 액션 액션씬 씬 
191,게임 트레일러 거 초딩정도 정신 정신연령 연령 분 볼만 쪽 
192,쪽빠리 빠리 영화 극 돈 생각 영화 개 개유치뽕짝 유치 
193,뽕짝 알바 전작 액션 호평 감독 듯 스토리 완전 맹탕 
194,맹탕영화 영화 키 리브 리브스도 스도 고생 리스 리스펙 펙 
195,액션 단물 2 2편 편 악당 번 악 당 5 
196,5명 명 자기 차례 거 재미 키 형 60 60세라 
197,세라 ㅜ 배 거 폼 남 남ㅜ 감독 줄 투자자 
198,영향 작의 존윅 행동 이해 이번 이번편 편 당 당위성 
199,위성 액션 합 무술 무술시범 시범 장점 애견가 멍뭉이들 콜라 
200,액션 눈 다음 다음편이 편이 몸 키 리브스 인상적 후반부 
201,비발디 사계 파트 판타스틱 최고 액션 윅 말 존윅 적 
202,한명 상태 때 주 주위적 위적 거 링 링타임 타임 
203,이전 이전편 편 아쉬움 타이밍 적 데 주먹 발차기 칼 
204,감독 일본 협박 시상식 당근 평화 원 원하다 하다 전쟁 
205,준비 라 존윅 암살 암살명령 명령 평점 자신 우월 고고 
206,지식 사람 생각 박 박평식 평 식 사살 자 자내 
207,내 7 7점 점 그것 내의 실 실수지 수지 행 
208,청 청불액션 불 액션 일반 일반액션 레벨 차이 영화 말 
209,2 2시간 시간 2021 2021년 년 내용 완전 별 액션 
210,액션합 합 이상 어이 평점 키 리브 면 2 2시간 
211,시간 쌍 쌍팔년 팔 년 홍 홍콩영화 콩 영화 수준 
212,변태 자 싸움 흐름 존윅 탄창 때 적 중이 존 
213,존윅 윅 12 능력 능력치가 치가 즘 몰입 여 2 
214,2편 편 총기 액션 칼부림 아시아 중동 생각 이것 저것 
215,호불호 듯 시 액션 백 백프로 프로 공감 영화 머리 
216,눈 1 1편 편 2 2편 해학 12 12편 편 
217,3 3편 스시 스시집운영 집 운영 사무라이 사무라이패거리 패거리 때문 
218,실망 불사조 존 존윅 윅 액션 영화 액션 예술 역대 
219,최고 우리 우리나라 나라 절대 불가능 영화 명 명 ㅋ 
220,카타르시스 말 필요 내 스타일 스타일임 임 한동안 네오 지금 
221,미모 예전 예전만큼 만큼 4 4편 편 존윅 10 10점 
222,점 바 바바야가 야가 액션 초 초결정체 결정체 오락 충실 
223,영화 오락영화 서사 뿐 어색 이것 테 매 놈 치기 
224,반복 영화 액션 전 전작품 작품 중 일본 쓰랙 쓰랙영화 
225,영화 마지막 마지막1대1 1 대 장면 초 초딩싸움 딩 싸움 
226,키 배 베리 베리할매 할매 합 라 액션 액션배우 배우 
227,개고 초반 무기 무기창고 창고 칼 씬 별 개 나 
228,존윅 어디 사무라이 버전 액션 싸움 계속 최악 평 1.23 
229,중 이번 이번것 스릴 스릴긴박 긴박 박자 액션 손발 글 
230,심판관 눈빛 개 스토리 스토리상 상 인물 이번건 건 망 
231,망작 작 전편 긴박감 1 1편 편 개가 2 2편 
232,개 얌전 3 3편 사람 잡넼 윅 시리즈 팬 10 
233,10점 점 역대 역대급 급 액션 찬사 키 리브스 완벽 
234,모습 화해 화해내 내 흥분 개연성 의아 수 개 윅 
235,총칼 총칼싸움 싸움 사무라이 맹세 키 누도 돈 장 평 
236,평식이 식이 진 리 영화 도중 처음 존윅 앞 액션 
237,액션영화 영화 판도 노력 노력안 안 3 3류 류 철저 
238,배제 이것 때문 근접 근접액션 액션 듀얼 듀얼액션 스토리 여러분 
239,후회 액션 오랜만 처음 영화 중간 존윅 사람 생각 무방비 
240,킬러 마지막 일본 사무라이 때 링 링포인트ㅋ 포인트 ㅋ 평점 
241,합 짐 전 전작 작 비교 수 4 4편 편 
242,발판 이상 이하 요즘 킬러 주인공 때 봄 지금 방송 
243,편집 편집씬 씬 존윅 무엇 평점 내 꺼 건 영화 
244,3 3번 번 윅 존 존윅 윅 시리즈 치킨 영화 
245,최고 최고봉 봉 존윅 액션 영화 악당 환타지 요소 12 
246,몰입 자본주의 액션 기승 기승전 전 영화 2 마무리 박 
247,박평 평 진짜 실력 평론가 중간 5 5점 점 중립 
248,컨셉 안전 눈치 상 영화 주고 지속적 액션 기대 실망감 
249,영화 액션 내용 산 뜬금 일본 일본물 물 챕터 4 
250,액션 화려 후반부 전 전작 작 일본 사무라이 비중 중 
251,중2병 2 병 연기 전작 잔인 존 존윅 윅 다음 
252,다음편도 편도 악당 악당놈 놈 거 존 존윅 윅 영화 
253,존잼수준 잼 수준 2 2편 편 1 1편 3 3편 
254,진짜 사무라이 내 친구 이것 영화 잠 ㅡ 백대 백대일로 
255,일로 해 불사신 형 이번 이번편 편 키 리브 리브스가 
256,스가 스트레스 현존 최고 액션 액션영화 영화 세계관 세계관설정 설정 
257,천 데 간만 열광 다키아 다키아누 누 존경심 명작 스토리 
258,개연성 개 4 4편 편 없애주 없애주길 길 응원 머 
259,머리 일본인 전 존 존윅 윅 말 때 멋 처음 
260,하아 전작 액션 액션계 계 반칙 치트 치트키 키 4 
261,4편 편 4 4편 편 완벽 영화 제일 액션 양손 
262,도끼 때 간지 간지남 남 잼 하자 리브 리브스형님 스형 
263,님 나이 액션 유리 장면 장면보고 보고 총 손 존윅 
264,액션 거 이것 놈 우뢰 우뢰매액션 매 섀 섀키 키 
265,전형적 급 급영화 영화 영화 9 9점10점 점 10 사람 
266,무엇 액션물 존윅 몸싸움 액션 액션참 참 악당 윅 듯 
267,씬 위이 손 12 12편 편 팬 실망 산 존 
268,윅 답지 일 일뽕 뽕 노 노잼 잼 영화 영화내가 
269,내가 알 존윅 중반 중반부 부 액션 2 2편 편 
270,윅 이제 언제 우려 우려먹 먹 정도 맷집 최고 킬러 
271,개 존윅 개가 액션 액션때문 때문 재미 재미반감 반감 액션 
272,시리즈 희생 개연성 일 일뽕 뽕 있었고 스토리 습 윅 
273,정체성 자체 사멸 영화 혼자 절대 안 패기 총기 액션 
274,최고 최고봉 봉 입지 개 동네 칼 칼 칼씬 씬 
275,건푸 식상 초중반 액션 액션신은 신은 123 역대 역대급 급 
276,레 레이드 이드 런 캐릭터 루즈 느낌 느낌액션씬 중간 중간중간 
277,웃음 웃음포인트 포인트 자연 존 존윅 윅 스타일 아 4 
278,진지 일 시리즈 시리즈중 중 이것 존윅 1.2 1.2편 편 
279,야 키 급 액션 액션배우 배우 등극 영화 밖 설명 
280,내용 액션씬 씬 장 로드 반 반담급 담 전락 생각 
281,존윅 액션 사람 실망 수 윅 윅3 3 그 기대 
282,벨트 10 10점 점 리 리오 오 급 잔인 뿐 
283,액션 느림 존 존윅발 윅 발 듯이 존윅 뒷걸음 유리 
284,액션 부자연 부자연스로운 스로 운 장면 상대방 노 노잼 잼 
285,스토리 뒤죽박죽 듯 개연성 악당 티 남 기대 총 거 
286,거기대 기대 핵 핵대존잼 대 존 잼 시간 폭 폭팔 
287,팔 액션 브릿 적 주인공 대 총 ㅋ 롱 롱테이크 
288,테이크 고집 존 액션 겁 짐 총 주먹질 속도 실망 
289,액션 액션씬 씬 전 전준비 준비 액션신이 신이 억지 유치 
290,액션 액션신 신 임 영화 재 재밋 밋 구간 돈 
291,형의 액션 조연 서사 아케이드 기대 수준 수준미달 미달 2 
292,사실 3 거 무엇 급 급정서 정서 60 60억대 억 
293,대 1 판 1.2 잼 3 3편 편 무적치트키쓰 디아블로 
294,기분 개 족 영화 별 주고 존윅 수십 수십명 명 
295,평점 이정 영화 분노 총질 해대 1 1편 편 존쥑 
296,적 농담 장난 칼질 시리즈 중 최악 동양인 킬러 대체 
297,코미디언 뭐 극중 극중분위기 분위기 매치 안됨 2 2편 편 
298,한참 미침 작품 말 중국 중국자본 자본 이것 평점 8.5 
299,8.5점 점 기존 액션 연출 싹 거 스토리 안 근대 
300,그 합 초반 거인 격투 격투씬 씬 실소 금 악당 
301,개 액션 개 개2마리 2 마리 거 개극 극 그것 
302,번 반복 씹극혐 일본 일본등장 등장 재미 내용 액션 산 
303,리 리베리 베리 정도 전작 이번 편 수준 액션 영화 
304,2 3 오 오합지졸 합 지 졸 적 총싸움 칼싸움 
305,전부 눈 합 중국 연극 거 아쉬움 친구 내용 액션 
306,왓 데 냥 러시아 이탈리아 배합 12 편 잘못 일본 
307,내음 나 동양 동양무술 무술 향연 유머 제외 10 10점 
308,점 4 4편 편 선 부기 부기맨 맨 완벽 총기 
309,무협지 표방 존 윅 로 토마토 김치 겁 신 신김치 
310,말 고양이 개도 긴말 안 개 꿀 잼 전 액션 
311,역대 존 존윅 윅 시리즈 시리즈중 중 이것 제일 노 
312,노잼 잼 액션 액션신 신 부자연 움 합 터 번 
313,느낌 전작 참신 설정 안간힘 무리수 존윅 손 순서 악당 
314,모습 층 노골적 콘 콘스탄 스탄 매트릭스 쓰까 대머리 니 
315,개 개망 망 각 각종 종 짱 짱깨 깨 동남아 
316,유럽 유럽짱깨 존윅 합 영화 자체 유머 123 123이 이 
317,감독 존 윅 3 3편 편 1 1점 점 일 
318,호텔 입성 일뽕 뽕 순간 션 기대 내용 ㅠ 서사 
319,중요 액션 칼싸움 자 인가 스토리 액션 돈 개 진정 
320,남자 액션 솔 솔직 직 후기 스토리 1 액션 액션8 
321,8 비율 일본 평 사라지 사라지길 길 냥 머리 몰입 
322,4 4편 편 언제쯤 액션 끝판 끝판왕 왕 재미 99 
323,99프로 프로 액션 액션신 신 키 리브 리브스의노인네 스의 노인네 
324,몸동작 한숨 감독 모험 거구 누 노력 노력부족 부족 영화 
325,도전적 액션 영화 후반 전투 전투씬 씬 전개 긴장감 기존 
326,존 존윅 윅 장면 연속 듯 중간 중간중간 맥 기분 
327,키 리브 예전 총 때 몸 액션 부자연 있음 이번 
328,이번영화 영화 이상 전 전작 식상 식상해진 해진 감이 리브스의 
329,스의 장점 초반 20 20분 분 최고 중반 중반부 부 
330,후반부 하품 칼 사무라이 팬 뭐 하면서 대련 구조 액션 
331,결국 모피 모피어스 어스 네오 영화 년 년만 만 처음 
332,처음봄 봄 레 레전 전 급 액션 감동 3 3편 
333,편 12 12편 보고 극장가 4 4편 기대 볼거리 동물 
334,동물액션 액션 ㅋ 칼질 건 문제 키 리브 이 무 
335,거 적 맞을려 대기 대기타고있음 타고 있음 매너 한명 때 
336,진짜 액션 오지 개고 개고생 생 키 리브스 영화 모두 
337,오해 오해라 라 존 존윅 윅 반부 칼 칼액션 액션 
338,중반 오토바이 ㅇ 막판 일본인 사무라이 오 오바 바 ㄹ 
339,ㄹㅇ 라이 막스 막스일때 일 때 일본인베프 베 프 과정 
340,건지 감독 의도 제작사 눈칫밥 일본 일본돈 돈 은퇴 때 
341,됬네 배 됬 건 12 액션 점 영상 화려 액션 
342,액션끝장판 끝 장판 최고 내가 토니쟈 옹 옹박 박 이후 
343,총 옹박과 박과 액션 키 리 리브스 브스 형님 영화 
344,안방 한구석 감동 불사신 존 존윅 윅 게다 놈 존윅 
345,마음 액션 다음 다음편 편 중 중뽕 뽕 장풍 듯 
346,총 위대 칼 영화 날 꼬라지 사인 생각 기대 기대안 
347,안 액션 굿 1 2 2편 편 스타일 스타일리쉬 리 
348,쉬 액션 정수 최근 영화 영화중 중 최고 액션 일관성 
349,세계관 마라톤 액션 연속 액션 위주 위주여 여 줄거리 존 
350,윅이 위원회 손가락 과거 기대 호평 망 망작 작 액션 
351,한국 한국영화 영화 못 수준 존윅 이름 이상한 영화 배신 
352,데 손가락 거랑 일본 사무라이 거 영화 분위기 터 개 
353,개노잼 노 잼 미국 미국애 애 12 시리즈 3 기대 
354,의리 편 장면 시선 집중 시간 순삭 4 4편 편 
355,짐 존 존윅 윅 헤드 헤드샷 샷 키 나이 몸 
356,액션 최고 존경 정도 음악 음악역사 역사 센스 센스짱 짱 
357,80 장면 하나 안지 하다 머 머리 12 12편 편 
358,안 안보고 보고 시리즈 영화 애 전작 전작안보고 시리즈물 물 
359,이해 영화 대박 2 2시간 시간 총질 영화 상대 방 
360,마음 손 손바닥 바닥 서로 오후 1 1시 시 영 
361,영환대 환대 100 100명 명 관객 중 90 이상 남자 
362,특 상영관 라 놈 세계관 4 4편 편 기대 12 
363,12편 편 말 뒷다리 액션 땜 5 5점 점 1 
364,1부 부 키 틈 고스톱 티 비주얼 일본 일본애 애 
365,문어 문어남 남 극 시리즈 중 제일 일 일뽕 뽕 
366,액션 작위적 작위적임 임 사람 맛 영화 이것 거 설 
367,설특선 특선 막판 감 존윅 존 존윅 윅 마지막 전율 
368,수 존윅 서사 마라 액션 액션영화 영화 벨 벨런 런 
369,체력 무시 무 무조건다이김 조건 다이 김 평 평식이 식이 
370,말 솔 이것 존웍이 극 극초반 초반 존 존웍 웍 
371,칼 때 이거 이후 1.2 감독 생각 바 바꿘거 꿘 
372,거 액션 약해 뜬금 포 사무라이 저래 손가락 아랍 아랍졸부 
373,졸부 두목 사무라이여 여 마 가든 명분 몰입 몰입감 감 
374,이 저 졸 총 죽 고 적 스토리 노 노잼 
375,잼 정도 타노스 기세 일본 킬러 몰입 방해 함 전편 
376,기대 말자 코미디 링 링타임 타임 쏘쏘 피로 가중 총성 
377,비명 연속 키 리 리브스 브스 님 존 윅 을 
378,통해 지금 할리우드 액션 액션영화 영화 미션 임파 의 톰 
379,크루즈 님 대항 대항마 마 리브스형 메트릭스 이후 존윅으 완전 
380,제기 성공 탑 탑배우중 배우 중 톰 톰크루즈 크루즈 더블 
381,산맥 존윅 3 3편 편 일본 때문 집중 영화 건 
382,건액션때문 액션 무술 할거 천하 천하제일무도회 제일 무도회 전 1 
383,1편 번 완벽 영화 10 10점 점 안주 사람 뭐 
384,존 존윅 윅 특유 분위기 자 과 레지던트 이 거 
385,장면 번 4 4편 편 반지 오늘 존윅 초중반 후반 
386,액션 느낌 아쉬움 잔인 링 링타임 타임 최근 년 년간 
387,간 적 처음 좌석 중간 관객 어이 헤드 헤드샷 샷 
388,진짜 생각 재미 사무라이새퀴들 팩 2 킹 킹펜 펜 과 
389,최고 총싸움 총싸움씬 씬 끝 탓 액션 개 책 자 
390,정체성 중장비 부대 투입 은 은엄폐 엄폐 권총 주인공 강제 
391,생명 생명연 연 게 개인적 마지막 1 1대2 대 2 
392,코 끼 싸움 존 존윅 윅 킬러 영화 키 키작 
